SYMP:0000001	abdominal cramp
SYMP:0000005	ataxia
SYMP:0000007	bleeding
SYMP:0000015	giddiness
SYMP:0000017	crinkle
SYMP:0000018	darkening of skin
SYMP:0000021	delirium
SYMP:0000023	disorientation
SYMP:0000025	dry cough
SYMP:0000032	flaccidity
SYMP:0000033	flat keratotic capsule
SYMP:0000036	hemorrhagic gastroenteritis
SYMP:0000038	dyspneic enteritis
SYMP:0000039	enteritis
SYMP:0000041	hemorrhage
SYMP:0000056	hyperpigmentation
SYMP:0000061	inflammation
SYMP:0000066	keratotic nodules of the skin
SYMP:0000068	laryngitis
SYMP:0000069	laryngotracheitis
SYMP:0000070	lesions in myocardium
SYMP:0000074	lesions in swim bladder
SYMP:0000076	listlessness
SYMP:0000079	coordination symptom
SYMP:0000082	lesions in lung
SYMP:0000083	lymphangitis
SYMP:0000084	lymphoblastoma
SYMP:0000087	massive hepatic necrosis
SYMP:0000089	meningoencephalitis
SYMP:0000091	mild encephalitis
SYMP:0000092	skin lesion
SYMP:0000099	pain
SYMP:0000100	lesions in pancreas
SYMP:0000109	mouth papules
SYMP:0000112	tracheitis
SYMP:0000116	prostration
SYMP:0000118	rales
SYMP:0000124	seizure
SYMP:0000125	liver inflammation
SYMP:0000127	severe backache
SYMP:0000129	severe conjunctivitis
SYMP:0000130	severe headache
SYMP:0000131	severe joint pain
SYMP:0000132	necrosis
SYMP:0000133	severe necrosis
SYMP:0000139	sneezing
SYMP:0000144	bronchopneumonia
SYMP:0000146	feces and droppings symptom
SYMP:0000156	thirst
SYMP:0000157	thymus symptom
SYMP:0000158	spleen symptom
SYMP:0000160	tracheobronchitis
SYMP:0000162	tremor
SYMP:0000174	wasting
SYMP:0000177	weakness
SYMP:0000180	liver symptom
SYMP:0000182	bubo
SYMP:0000183	muscle symptom
SYMP:0000184	change in skin color
SYMP:0000185	weariness
SYMP:0000186	exhaustion
SYMP:0000187	tiredness
SYMP:0000188	abdominal discomfort
SYMP:0000189	postural reaction
SYMP:0000190	wheelbarrowing
SYMP:0000193	hopping
SYMP:0000194	conscious proprioception
SYMP:0000195	abnormal hemiwalking hemistanding
SYMP:0000196	reproductive system symptom
SYMP:0000197	abortion
SYMP:0000198	miscarriage
SYMP:0000200	acute arthritis
SYMP:0000201	acute meningoencephalitis
SYMP:0000202	acute painful vision loss
SYMP:0000205	salivary gland symptom
SYMP:0000206	acute suppurative parotiditis
SYMP:0000207	afebrile
SYMP:0000208	anemia
SYMP:0000209	ischemia
SYMP:0000211	asthenopia
SYMP:0000212	eye strain
SYMP:0000213	agraphia
SYMP:0000215	inability to comprehend speech
SYMP:0000217	inability to form words
SYMP:0000218	poor enunciation
SYMP:0000219	receptive aphasia
SYMP:0000221	absence of knee jerk reflex
SYMP:0000223	arm weakness
SYMP:0000225	asthenia
SYMP:0000227	blood vessel infection
SYMP:0000228	hemorrhagic diarrhea
