# curie_map:
#   DDPHENO: http://purl.obolibrary.org/obo/DDPHENO_
#   FBcv: http://purl.obolibrary.org/obo/FBcv_
#   FYPO: http://purl.obolibrary.org/obo/FYPO_
#   HP: http://purl.obolibrary.org/obo/HP_
#   MP: http://purl.obolibrary.org/obo/MP_
#   PHIPO: http://purl.obolibrary.org/obo/PHIPO_
#   PLANP: http://purl.obolibrary.org/obo/PLANP_
#   UPHENO: http://purl.obolibrary.org/obo/UPHENO_
#   WBPhenotype: http://purl.obolibrary.org/obo/WBPhenotype_
#   XPO: http://purl.obolibrary.org/obo/XPO_
#   ZP: http://purl.obolibrary.org/obo/ZP_
#   obo: http://purl.obolibrary.org/obo/
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://data.monarchinitiative.org/mappings/upheno/upheno-species-independent.sssom.tsv
subject_id	predicate_id	object_id	mapping_justification
UPHENO:0000508	semapv:crossSpeciesExactMatch	WBPhenotype:0000848	semapv:LogicalMatching
UPHENO:0000508	semapv:crossSpeciesExactMatch	ZP:0000606	semapv:LogicalMatching
UPHENO:0000511	semapv:crossSpeciesExactMatch	MP:0001938	semapv:LogicalMatching
UPHENO:0000511	semapv:crossSpeciesExactMatch	ZP:0146282	semapv:LogicalMatching
UPHENO:0000512	semapv:crossSpeciesExactMatch	MP:0003053	semapv:LogicalMatching
UPHENO:0000515	semapv:crossSpeciesExactMatch	MP:0003794	semapv:LogicalMatching
UPHENO:0000515	semapv:crossSpeciesExactMatch	ZP:0022715	semapv:LogicalMatching
UPHENO:0000517	semapv:crossSpeciesExactMatch	MP:0000054	semapv:LogicalMatching
UPHENO:0000518	semapv:crossSpeciesExactMatch	ZP:0130941	semapv:LogicalMatching
UPHENO:0000519	semapv:crossSpeciesExactMatch	MP:0009649	semapv:LogicalMatching
UPHENO:0000522	semapv:crossSpeciesExactMatch	HP:0012569	semapv:LogicalMatching
UPHENO:0000522	semapv:crossSpeciesExactMatch	MP:0003377	semapv:LogicalMatching
UPHENO:0000523	semapv:crossSpeciesExactMatch	MP:0005411	semapv:LogicalMatching
UPHENO:0000526	semapv:crossSpeciesExactMatch	MP:0012177	semapv:LogicalMatching
UPHENO:0000526	semapv:crossSpeciesExactMatch	ZP:0005310	semapv:LogicalMatching
UPHENO:0000527	semapv:crossSpeciesExactMatch	MP:0000060	semapv:LogicalMatching
UPHENO:0000527	semapv:crossSpeciesExactMatch	ZP:0002315	semapv:LogicalMatching
UPHENO:0000528	semapv:crossSpeciesExactMatch	MP:0000528	semapv:LogicalMatching
UPHENO:0000531	semapv:crossSpeciesExactMatch	MP:0004664	semapv:LogicalMatching
UPHENO:0000532	semapv:crossSpeciesExactMatch	MP:0031419	semapv:LogicalMatching
UPHENO:0000534	semapv:crossSpeciesExactMatch	MP:0002908	semapv:LogicalMatching
UPHENO:0000535	semapv:crossSpeciesExactMatch	ZP:0003081	semapv:LogicalMatching
UPHENO:0000536	semapv:crossSpeciesExactMatch	MP:0003129	semapv:LogicalMatching
UPHENO:0000537	semapv:crossSpeciesExactMatch	MP:0000422	semapv:LogicalMatching
UPHENO:0000538	semapv:crossSpeciesExactMatch	HP:0000823	semapv:LogicalMatching
UPHENO:0000541	semapv:crossSpeciesExactMatch	HP:0001510	semapv:LogicalMatching
UPHENO:0000541	semapv:crossSpeciesExactMatch	ZP:0005420	semapv:LogicalMatching
UPHENO:0000546	semapv:crossSpeciesExactMatch	MP:0003420	semapv:LogicalMatching
UPHENO:0000547	semapv:crossSpeciesExactMatch	MP:0009854	semapv:LogicalMatching
UPHENO:0000550	semapv:crossSpeciesExactMatch	MP:0003419	semapv:LogicalMatching
UPHENO:0000550	semapv:crossSpeciesExactMatch	ZP:0009445	semapv:LogicalMatching
UPHENO:0000551	semapv:crossSpeciesExactMatch	HP:0011401	semapv:LogicalMatching
UPHENO:0000552	semapv:crossSpeciesExactMatch	HP:0002188	semapv:LogicalMatching
UPHENO:0000553	semapv:crossSpeciesExactMatch	HP:0012448	semapv:LogicalMatching
UPHENO:0000560	semapv:crossSpeciesExactMatch	ZP:0014455	semapv:LogicalMatching
UPHENO:0000563	semapv:crossSpeciesExactMatch	WBPhenotype:0000442	semapv:LogicalMatching
UPHENO:0000564	semapv:crossSpeciesExactMatch	WBPhenotype:0000404	semapv:LogicalMatching
UPHENO:0000564	semapv:crossSpeciesExactMatch	ZP:0003211	semapv:LogicalMatching
UPHENO:0000565	semapv:crossSpeciesExactMatch	WBPhenotype:0000356	semapv:LogicalMatching
UPHENO:0000565	semapv:crossSpeciesExactMatch	ZP:0012632	semapv:LogicalMatching
UPHENO:0000569	semapv:crossSpeciesExactMatch	ZP:0148493	semapv:LogicalMatching
UPHENO:0000570	semapv:crossSpeciesExactMatch	ZP:0000334	semapv:LogicalMatching
UPHENO:0000573	semapv:crossSpeciesExactMatch	ZP:0000193	semapv:LogicalMatching
UPHENO:0000574	semapv:crossSpeciesExactMatch	ZP:0003735	semapv:LogicalMatching
UPHENO:0000576	semapv:crossSpeciesExactMatch	ZP:0009486	semapv:LogicalMatching
UPHENO:0000584	semapv:crossSpeciesExactMatch	ZP:0000071	semapv:LogicalMatching
UPHENO:0000585	semapv:crossSpeciesExactMatch	ZP:0100327	semapv:LogicalMatching
UPHENO:0000587	semapv:crossSpeciesExactMatch	ZP:0003031	semapv:LogicalMatching
UPHENO:0000588	semapv:crossSpeciesExactMatch	ZP:0008496	semapv:LogicalMatching
UPHENO:0000589	semapv:crossSpeciesExactMatch	ZP:0003747	semapv:LogicalMatching
UPHENO:0000593	semapv:crossSpeciesExactMatch	ZP:0005981	semapv:LogicalMatching
UPHENO:0000599	semapv:crossSpeciesExactMatch	ZP:0008736	semapv:LogicalMatching
UPHENO:0000603	semapv:crossSpeciesExactMatch	ZP:0008498	semapv:LogicalMatching
UPHENO:0000604	semapv:crossSpeciesExactMatch	ZP:0007594	semapv:LogicalMatching
UPHENO:0000606	semapv:crossSpeciesExactMatch	ZP:0007702	semapv:LogicalMatching
UPHENO:0000608	semapv:crossSpeciesExactMatch	ZP:0008474	semapv:LogicalMatching
UPHENO:0000613	semapv:crossSpeciesExactMatch	ZP:0000658	semapv:LogicalMatching
UPHENO:0000615	semapv:crossSpeciesExactMatch	ZP:0020290	semapv:LogicalMatching
UPHENO:0000616	semapv:crossSpeciesExactMatch	ZP:0000120	semapv:LogicalMatching
UPHENO:0000619	semapv:crossSpeciesExactMatch	ZP:0016051	semapv:LogicalMatching
UPHENO:0000620	semapv:crossSpeciesExactMatch	ZP:0018154	semapv:LogicalMatching
UPHENO:0000624	semapv:crossSpeciesExactMatch	ZP:0015146	semapv:LogicalMatching
UPHENO:0000630	semapv:crossSpeciesExactMatch	ZP:0011873	semapv:LogicalMatching
UPHENO:0000631	semapv:crossSpeciesExactMatch	ZP:0010158	semapv:LogicalMatching
UPHENO:0000635	semapv:crossSpeciesExactMatch	ZP:0004746	semapv:LogicalMatching
UPHENO:0000637	semapv:crossSpeciesExactMatch	ZP:0016935	semapv:LogicalMatching
UPHENO:0000641	semapv:crossSpeciesExactMatch	ZP:0103792	semapv:LogicalMatching
UPHENO:0000642	semapv:crossSpeciesExactMatch	ZP:0012389	semapv:LogicalMatching
UPHENO:0000649	semapv:crossSpeciesExactMatch	ZP:0002482	semapv:LogicalMatching
UPHENO:0000650	semapv:crossSpeciesExactMatch	ZP:0020238	semapv:LogicalMatching
UPHENO:0000651	semapv:crossSpeciesExactMatch	ZP:0002455	semapv:LogicalMatching
UPHENO:0000652	semapv:crossSpeciesExactMatch	ZP:0017011	semapv:LogicalMatching
UPHENO:0000653	semapv:crossSpeciesExactMatch	ZP:0004529	semapv:LogicalMatching
UPHENO:0000654	semapv:crossSpeciesExactMatch	ZP:0140470	semapv:LogicalMatching
UPHENO:0000659	semapv:crossSpeciesExactMatch	ZP:0017173	semapv:LogicalMatching
UPHENO:0000661	semapv:crossSpeciesExactMatch	ZP:0006586	semapv:LogicalMatching
UPHENO:0000662	semapv:crossSpeciesExactMatch	ZP:0017555	semapv:LogicalMatching
UPHENO:0000668	semapv:crossSpeciesExactMatch	ZP:0006587	semapv:LogicalMatching
UPHENO:0000669	semapv:crossSpeciesExactMatch	ZP:0008533	semapv:LogicalMatching
UPHENO:0000671	semapv:crossSpeciesExactMatch	ZP:0142577	semapv:LogicalMatching
UPHENO:0000672	semapv:crossSpeciesExactMatch	ZP:0003570	semapv:LogicalMatching
UPHENO:0000673	semapv:crossSpeciesExactMatch	ZP:0007587	semapv:LogicalMatching
UPHENO:0000675	semapv:crossSpeciesExactMatch	ZP:0001004	semapv:LogicalMatching
UPHENO:0000677	semapv:crossSpeciesExactMatch	ZP:0020036	semapv:LogicalMatching
UPHENO:0000680	semapv:crossSpeciesExactMatch	ZP:0010917	semapv:LogicalMatching
UPHENO:0000684	semapv:crossSpeciesExactMatch	ZP:0101251	semapv:LogicalMatching
UPHENO:0000690	semapv:crossSpeciesExactMatch	ZP:0007645	semapv:LogicalMatching
UPHENO:0000697	semapv:crossSpeciesExactMatch	ZP:0020789	semapv:LogicalMatching
UPHENO:0000698	semapv:crossSpeciesExactMatch	ZP:0010270	semapv:LogicalMatching
UPHENO:0000700	semapv:crossSpeciesExactMatch	ZP:0008364	semapv:LogicalMatching
UPHENO:0000702	semapv:crossSpeciesExactMatch	ZP:0017158	semapv:LogicalMatching
UPHENO:0000704	semapv:crossSpeciesExactMatch	ZP:0017761	semapv:LogicalMatching
UPHENO:0000706	semapv:crossSpeciesExactMatch	ZP:0019034	semapv:LogicalMatching
UPHENO:0000707	semapv:crossSpeciesExactMatch	ZP:0002320	semapv:LogicalMatching
UPHENO:0000709	semapv:crossSpeciesExactMatch	ZP:0014300	semapv:LogicalMatching
UPHENO:0000714	semapv:crossSpeciesExactMatch	ZP:0011336	semapv:LogicalMatching
UPHENO:0000715	semapv:crossSpeciesExactMatch	ZP:0005283	semapv:LogicalMatching
UPHENO:0000716	semapv:crossSpeciesExactMatch	ZP:0001807	semapv:LogicalMatching
UPHENO:0000717	semapv:crossSpeciesExactMatch	ZP:0007156	semapv:LogicalMatching
UPHENO:0000718	semapv:crossSpeciesExactMatch	ZP:0004190	semapv:LogicalMatching
UPHENO:0000719	semapv:crossSpeciesExactMatch	ZP:0005781	semapv:LogicalMatching
UPHENO:0000722	semapv:crossSpeciesExactMatch	ZP:0005681	semapv:LogicalMatching
UPHENO:0000723	semapv:crossSpeciesExactMatch	ZP:0005304	semapv:LogicalMatching
UPHENO:0000726	semapv:crossSpeciesExactMatch	ZP:0007751	semapv:LogicalMatching
UPHENO:0000727	semapv:crossSpeciesExactMatch	ZP:0103994	semapv:LogicalMatching
UPHENO:0000728	semapv:crossSpeciesExactMatch	ZP:0000343	semapv:LogicalMatching
UPHENO:0000729	semapv:crossSpeciesExactMatch	ZP:0002688	semapv:LogicalMatching
