defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/HP_0010975	Abnormal B cell count	http://purl.obolibrary.org/obo/CL_0000236	B cell
http://purl.obolibrary.org/obo/HP_0011839	Abnormal T cell count	http://purl.obolibrary.org/obo/CL_0000084	T cell
http://purl.obolibrary.org/obo/HP_0031806	Abnormal basophil count	http://purl.obolibrary.org/obo/CL_0000767	basophil
http://purl.obolibrary.org/obo/HP_0011893	Abnormal leukocyte count	http://purl.obolibrary.org/obo/CL_0000738	leukocyte
http://purl.obolibrary.org/obo/HP_0040088	Abnormal lymphocyte count	http://purl.obolibrary.org/obo/CL_0000542	lymphocyte
http://purl.obolibrary.org/obo/HP_0030326	Abnormal macrophage count	http://purl.obolibrary.org/obo/CL_0000235	macrophage
http://purl.obolibrary.org/obo/HP_0012102	Abnormal mitochondrial number	http://purl.obolibrary.org/obo/GO_0005739	mitochondrion
http://purl.obolibrary.org/obo/HP_0012310	Abnormal monocyte count	http://purl.obolibrary.org/obo/CL_0000576	monocyte
http://purl.obolibrary.org/obo/HP_0040089	Abnormal natural killer cell count	http://purl.obolibrary.org/obo/CL_0000623	natural killer cell
http://purl.obolibrary.org/obo/HP_0011991	Abnormal neutrophil count	http://purl.obolibrary.org/obo/CL_0000775	neutrophil
http://purl.obolibrary.org/obo/HP_0012131	Abnormal number of erythroid precursors	http://purl.obolibrary.org/obo/CL_0000038	erythroid progenitor cell
http://purl.obolibrary.org/obo/HP_0011873	Abnormal platelet count	http://purl.obolibrary.org/obo/CL_0000233	platelet
