defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/MP_0002459	abnormal B cell physiology	http://purl.obolibrary.org/obo/CL_0000236	B cell
http://purl.obolibrary.org/obo/MP_0005463	abnormal CD4-positive, alpha-beta T cell physiology	http://purl.obolibrary.org/obo/CL_0000624	CD4-positive, alpha-beta T cell
http://purl.obolibrary.org/obo/MP_0004392	abnormal CD8-positive, alpha-beta T cell physiology	http://purl.obolibrary.org/obo/CL_0000625	CD8-positive, alpha-beta T cell
http://purl.obolibrary.org/obo/MP_0005362	abnormal Langerhans cell physiology	http://purl.obolibrary.org/obo/CL_0000782	myeloid dendritic cell
http://purl.obolibrary.org/obo/MP_0008042	abnormal NK T cell physiology	http://purl.obolibrary.org/obo/CL_0000814	mature NK T cell
http://purl.obolibrary.org/obo/MP_0010766	abnormal NK cell physiology	http://purl.obolibrary.org/obo/CL_0000623	natural killer cell
http://purl.obolibrary.org/obo/MP_0009195	abnormal PP cell physiology	http://purl.obolibrary.org/obo/CL_0000696	PP cell
http://purl.obolibrary.org/obo/MP_0013487	abnormal Paneth cell physiology	http://purl.obolibrary.org/obo/CL_0000510	paneth cell
http://purl.obolibrary.org/obo/MP_0011904	abnormal Schwann cell physiology	http://purl.obolibrary.org/obo/CL_0002573	Schwann cell
http://purl.obolibrary.org/obo/MP_0002444	abnormal T cell physiology	http://purl.obolibrary.org/obo/CL_0000084	T cell
http://purl.obolibrary.org/obo/MP_0010189	abnormal T follicular helper cell physiology	http://purl.obolibrary.org/obo/CL_0002038	T follicular helper cell
http://purl.obolibrary.org/obo/MP_0005465	abnormal T-helper 1 physiology	http://purl.obolibrary.org/obo/CL_0000545	T-helper 1 cell
http://purl.obolibrary.org/obo/MP_0010222	abnormal T-helper 17 cell physiology	http://purl.obolibrary.org/obo/CL_0000899	T-helper 17 cell
http://purl.obolibrary.org/obo/MP_0005466	abnormal T-helper 2 physiology	http://purl.obolibrary.org/obo/CL_0000546	T-helper 2 cell
http://purl.obolibrary.org/obo/MP_0008916	abnormal astrocyte physiology	http://purl.obolibrary.org/obo/CL_0000127	astrocyte
http://purl.obolibrary.org/obo/MP_0004184	abnormal baroreceptor physiology	http://purl.obolibrary.org/obo/CL_0000602	pressoreceptor cell
http://purl.obolibrary.org/obo/MP_0002464	abnormal basophil physiology	http://purl.obolibrary.org/obo/CL_0000767	basophil
http://purl.obolibrary.org/obo/MP_0020426	abnormal beige fat cell physiology	http://purl.obolibrary.org/obo/CL_0001070	beige adipocyte
http://purl.obolibrary.org/obo/MP_0009278	abnormal bone marrow cell physiology	http://purl.obolibrary.org/obo/CL_0002092	bone marrow cell
http://purl.obolibrary.org/obo/MP_0005621	abnormal cell physiology	http://purl.obolibrary.org/obo/CL_0000000	cell
http://purl.obolibrary.org/obo/MP_0009780	abnormal chondrocyte physiology	http://purl.obolibrary.org/obo/CL_0000138	chondrocyte
http://purl.obolibrary.org/obo/MP_0013208	abnormal cilium physiology	http://purl.obolibrary.org/obo/GO_0005929	cilium
http://purl.obolibrary.org/obo/MP_0004432	abnormal cochlear hair cell physiology	http://purl.obolibrary.org/obo/CL_0000202	auditory hair cell
http://purl.obolibrary.org/obo/MP_0004433	abnormal cochlear inner hair cell physiology	http://purl.obolibrary.org/obo/CL_0000589	cochlear inner hair cell
http://purl.obolibrary.org/obo/MP_0004434	abnormal cochlear outer hair cell physiology	http://purl.obolibrary.org/obo/CL_0000601	outer hair cell
http://purl.obolibrary.org/obo/MP_0005078	abnormal cytotoxic T cell physiology	http://purl.obolibrary.org/obo/CL_0000794	CD8-positive, alpha-beta cytotoxic T cell
http://purl.obolibrary.org/obo/MP_0002376	abnormal dendritic cell physiology	http://purl.obolibrary.org/obo/CL_0000451	dendritic cell
http://purl.obolibrary.org/obo/MP_0020352	abnormal endoplasmic reticulum physiology	http://purl.obolibrary.org/obo/GO_0005783	endoplasmic reticulum
http://purl.obolibrary.org/obo/MP_0008882	abnormal enterocyte physiology	http://purl.obolibrary.org/obo/CL_0000584	enterocyte
http://purl.obolibrary.org/obo/MP_0002465	abnormal eosinophil physiology	http://purl.obolibrary.org/obo/CL_0000771	eosinophil
http://purl.obolibrary.org/obo/MP_0011005	abnormal epidermal stem cell physiology	http://purl.obolibrary.org/obo/CL_1000428	stem cell of epidermis
http://purl.obolibrary.org/obo/MP_0003656	abnormal erythrocyte physiology	http://purl.obolibrary.org/obo/CL_0000232	erythrocyte
http://purl.obolibrary.org/obo/MP_0020364	abnormal female germ cell physiology	http://purl.obolibrary.org/obo/CL_0000021	female germ cell
http://purl.obolibrary.org/obo/MP_0011390	abnormal fetal cardiomyocyte physiology	http://purl.obolibrary.org/obo/CL_0002495	fetal cardiomyocyte
http://purl.obolibrary.org/obo/MP_0011245	abnormal fetal derived definitive erythrocyte physiology	http://purl.obolibrary.org/obo/CL_0002357	fetal derived definitive erythrocyte
http://purl.obolibrary.org/obo/MP_0020414	abnormal fibroblast physiology	http://purl.obolibrary.org/obo/CL_0000057	fibroblast
http://purl.obolibrary.org/obo/MP_0008191	abnormal follicular B cell physiology	http://purl.obolibrary.org/obo/CL_0000843	follicular B cell
http://purl.obolibrary.org/obo/MP_0008197	abnormal follicular dendritic cell physiology	http://purl.obolibrary.org/obo/CL_0000442	follicular dendritic cell
http://purl.obolibrary.org/obo/MP_0020363	abnormal germ cell physiology	http://purl.obolibrary.org/obo/CL_0000586	germ cell
http://purl.obolibrary.org/obo/MP_0008192	abnormal germinal center B cell physiology	http://purl.obolibrary.org/obo/CL_0000844	germinal center B cell
http://purl.obolibrary.org/obo/MP_0003690	abnormal glial cell physiology	http://purl.obolibrary.org/obo/CL_0000125	glial cell
http://purl.obolibrary.org/obo/MP_0002462	abnormal granulocyte physiology	http://purl.obolibrary.org/obo/CL_0000094	granulocyte
http://purl.obolibrary.org/obo/MP_0003879	abnormal hair cell physiology	http://purl.obolibrary.org/obo/CL_0000855	sensory hair cell
http://purl.obolibrary.org/obo/MP_0010763	abnormal hematopoietic stem cell physiology	http://purl.obolibrary.org/obo/CL_0000037	hematopoietic stem cell
http://purl.obolibrary.org/obo/MP_0012241	abnormal hepatoblast physiology	http://purl.obolibrary.org/obo/CL_0005026	hepatoblast
http://purl.obolibrary.org/obo/MP_0010080	abnormal hepatocyte physiology	http://purl.obolibrary.org/obo/CL_0000182	hepatocyte
http://purl.obolibrary.org/obo/MP_0003453	abnormal keratinocyte physiology	http://purl.obolibrary.org/obo/CL_0000312	keratinocyte
http://purl.obolibrary.org/obo/MP_0002442	abnormal leukocyte physiology	http://purl.obolibrary.org/obo/CL_0000738	leukocyte
http://purl.obolibrary.org/obo/MP_0011131	abnormal lung endothelial cell physiology	http://purl.obolibrary.org/obo/CL_1001567	lung endothelial cell
http://purl.obolibrary.org/obo/MP_0003945	abnormal lymphocyte physiology	http://purl.obolibrary.org/obo/CL_0000542	lymphocyte
http://purl.obolibrary.org/obo/MP_0003172	abnormal lysosome physiology	http://purl.obolibrary.org/obo/GO_0005764	lysosome
http://purl.obolibrary.org/obo/MP_0002451	abnormal macrophage physiology	http://purl.obolibrary.org/obo/CL_0000235	macrophage
http://purl.obolibrary.org/obo/MP_0020362	abnormal male germ cell physiology	http://purl.obolibrary.org/obo/CL_0000015	male germ cell
http://purl.obolibrary.org/obo/MP_0008193	abnormal marginal zone B cell physiology	http://purl.obolibrary.org/obo/CL_0000845	marginal zone B cell
http://purl.obolibrary.org/obo/MP_0002423	abnormal mast cell physiology	http://purl.obolibrary.org/obo/CL_0000097	mast cell
http://purl.obolibrary.org/obo/MP_0020397	abnormal megakaryocyte physiology	http://purl.obolibrary.org/obo/CL_0000556	megakaryocyte
http://purl.obolibrary.org/obo/MP_0020465	abnormal megakaryocyte progenitor cell physiology	http://purl.obolibrary.org/obo/CL_0000553	megakaryocyte progenitor cell
http://purl.obolibrary.org/obo/MP_0008194	abnormal memory B cell physiology	http://purl.obolibrary.org/obo/CL_0000787	memory B cell
http://purl.obolibrary.org/obo/MP_0008051	abnormal memory T cell physiology	http://purl.obolibrary.org/obo/CL_0000813	memory T cell
http://purl.obolibrary.org/obo/MP_0003691	abnormal microglial cell physiology	http://purl.obolibrary.org/obo/CL_0000129	microglial cell
http://purl.obolibrary.org/obo/MP_0006036	abnormal mitochondrial physiology	http://purl.obolibrary.org/obo/GO_0005739	mitochondrion
http://purl.obolibrary.org/obo/MP_0013209	abnormal motile cilium physiology	http://purl.obolibrary.org/obo/GO_0031514	motile cilium
http://purl.obolibrary.org/obo/MP_0004215	abnormal myocardial fiber physiology	http://purl.obolibrary.org/obo/CL_0000746	cardiac muscle cell
http://purl.obolibrary.org/obo/MP_0004811	abnormal neuron physiology	http://purl.obolibrary.org/obo/CL_0000540	neuron
http://purl.obolibrary.org/obo/MP_0002463	abnormal neutrophil physiology	http://purl.obolibrary.org/obo/CL_0000775	neutrophil
http://purl.obolibrary.org/obo/MP_0013211	abnormal nonmotile primary cilium physiology	http://purl.obolibrary.org/obo/GO_0097730	non-motile cilium
http://purl.obolibrary.org/obo/MP_0011677	abnormal olfactory sensory neuron physiology	http://purl.obolibrary.org/obo/CL_0000207	olfactory receptor cell
http://purl.obolibrary.org/obo/MP_0008917	abnormal oligodendrocyte physiology	http://purl.obolibrary.org/obo/CL_0000128	oligodendrocyte
http://purl.obolibrary.org/obo/MP_0008305	abnormal organ of Corti supporting cell physiology	http://purl.obolibrary.org/obo/CL_0002490	organ of Corti supporting cell
http://purl.obolibrary.org/obo/MP_0005006	abnormal osteoblast physiology	http://purl.obolibrary.org/obo/CL_0000062	osteoblast
http://purl.obolibrary.org/obo/MP_0001541	abnormal osteoclast physiology	http://purl.obolibrary.org/obo/CL_0000092	osteoclast
http://purl.obolibrary.org/obo/MP_0030477	abnormal osteocyte physiology	http://purl.obolibrary.org/obo/CL_0000137	osteocyte
http://purl.obolibrary.org/obo/MP_0010042	abnormal oval cell physiology	http://purl.obolibrary.org/obo/CL_0002196	hepatic oval stem cell
http://purl.obolibrary.org/obo/MP_0009147	abnormal pancreatic acinar cell physiology	http://purl.obolibrary.org/obo/CL_0002064	pancreatic acinar cell
http://purl.obolibrary.org/obo/MP_0003563	abnormal pancreatic alpha cell physiology	http://purl.obolibrary.org/obo/CL_0000171	pancreatic A cell
http://purl.obolibrary.org/obo/MP_0003562	abnormal pancreatic beta cell physiology	http://purl.obolibrary.org/obo/CL_0000169	type B pancreatic cell
http://purl.obolibrary.org/obo/MP_0008952	abnormal pancreatic delta cell physiology	http://purl.obolibrary.org/obo/CL_0000502	type D enteroendocrine cell
http://purl.obolibrary.org/obo/MP_0009194	abnormal pancreatic epsilon cell physiology	http://purl.obolibrary.org/obo/CL_0005019	pancreatic epsilon cell
http://purl.obolibrary.org/obo/MP_0020847	abnormal peroxisome physiology	http://purl.obolibrary.org/obo/GO_0005777	peroxisome
http://purl.obolibrary.org/obo/MP_0008769	abnormal plasmacytoid dendritic cell physiology	http://purl.obolibrary.org/obo/CL_0000784	plasmacytoid dendritic cell
http://purl.obolibrary.org/obo/MP_0009446	abnormal platelet dense granule physiology	http://purl.obolibrary.org/obo/GO_0042827	platelet dense granule
http://purl.obolibrary.org/obo/MP_0005464	abnormal platelet physiology	http://purl.obolibrary.org/obo/CL_0000233	platelet
http://purl.obolibrary.org/obo/MP_0011863	abnormal podocyte physiology	http://purl.obolibrary.org/obo/CL_0000653	glomerular visceral epithelial cell
http://purl.obolibrary.org/obo/MP_0002452	abnormal professional antigen presenting cell physiology	http://purl.obolibrary.org/obo/CL_0000145	professional antigen presenting cell
http://purl.obolibrary.org/obo/MP_0004946	abnormal regulatory T cell physiology	http://purl.obolibrary.org/obo/CL_0000815	regulatory T cell
http://purl.obolibrary.org/obo/MP_0014054	abnormal sebocyte physiology	http://purl.obolibrary.org/obo/CL_0002140	acinar cell of sebaceous gland
http://purl.obolibrary.org/obo/MP_0010055	abnormal sensory neuron physiology	http://purl.obolibrary.org/obo/CL_0000101	sensory neuron
http://purl.obolibrary.org/obo/MP_0004543	abnormal sperm physiology	http://purl.obolibrary.org/obo/CL_0000019	sperm
http://purl.obolibrary.org/obo/MP_0009333	abnormal splenocyte physiology	http://purl.obolibrary.org/obo/CL_2000074	splenocyte
http://purl.obolibrary.org/obo/MP_0020842	abnormal supporting cell of carotid body physiology	http://purl.obolibrary.org/obo/CL_0002256	supporting cell of carotid body
http://purl.obolibrary.org/obo/MP_0020843	abnormal type I cell of carotid body physiology	http://purl.obolibrary.org/obo/CL_0002292	type I cell of carotid body
http://purl.obolibrary.org/obo/MP_0009099	abnormal uterine NK cell physiology	http://purl.obolibrary.org/obo/CL_0002343	decidual natural killer cell
http://purl.obolibrary.org/obo/MP_0004003	abnormal vascular endothelial cell physiology	http://purl.obolibrary.org/obo/CL_0000071	blood vessel endothelial cell
http://purl.obolibrary.org/obo/MP_0004438	abnormal vestibular hair cell physiology	http://purl.obolibrary.org/obo/CL_0000609	vestibular hair cell
http://purl.obolibrary.org/obo/MP_0011678	abnormal vomeronasal sensory neuron physiology	http://purl.obolibrary.org/obo/CL_1001561	vomeronasal sensory neuron
