defined_class	defined_class_label	chemical_entity	chemical_entity_label	location	location_label
http://purl.obolibrary.org/obo/MP_0003905	abnormal aorta elastin content	http://purl.obolibrary.org/obo/PR_000007034	elastin	http://purl.obolibrary.org/obo/UBERON_0000947	aorta
http://purl.obolibrary.org/obo/MP_0002329	abnormal blood gas level	http://purl.obolibrary.org/obo/CHEBI_25805	oxygen atom	http://purl.obolibrary.org/obo/UBERON_0001969	blood plasma
http://purl.obolibrary.org/obo/MP_0005265	abnormal blood urea nitrogen level	http://purl.obolibrary.org/obo/CHEBI_16199	urea	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0008820	abnormal blood uric acid level	http://purl.obolibrary.org/obo/CHEBI_27226	uric acid	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0000676	abnormal body water content	http://purl.obolibrary.org/obo/CHEBI_15377	water	http://purl.obolibrary.org/obo/UBERON_0000468	multicellular organism
http://purl.obolibrary.org/obo/MP_0012779	abnormal brain cholesterol level	http://purl.obolibrary.org/obo/CHEBI_16113	cholesterol	http://purl.obolibrary.org/obo/UBERON_0000955	brain
http://purl.obolibrary.org/obo/MP_0011213	abnormal brain copper level	http://purl.obolibrary.org/obo/CHEBI_28694	copper atom	http://purl.obolibrary.org/obo/UBERON_0000955	brain
http://purl.obolibrary.org/obo/MP_0014073	abnormal brain glycogen level	http://purl.obolibrary.org/obo/CHEBI_28087	glycogen	http://purl.obolibrary.org/obo/UBERON_0000955	brain
http://purl.obolibrary.org/obo/MP_0008811	abnormal brain iron level	http://purl.obolibrary.org/obo/CHEBI_18248	iron atom	http://purl.obolibrary.org/obo/UBERON_0000955	brain
http://purl.obolibrary.org/obo/MP_0009616	abnormal brain zinc level	http://purl.obolibrary.org/obo/CHEBI_27363	zinc atom	http://purl.obolibrary.org/obo/UBERON_0000955	brain
http://purl.obolibrary.org/obo/MP_0011216	abnormal brainstem copper level	http://purl.obolibrary.org/obo/CHEBI_28694	copper atom	http://purl.obolibrary.org/obo/UBERON_0002298	brainstem
http://purl.obolibrary.org/obo/MP_0010212	abnormal circulating C-reactive protein level	http://purl.obolibrary.org/obo/PR_000005897	C-reactive protein	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0000184	abnormal circulating HDL cholesterol level	http://purl.obolibrary.org/obo/CHEBI_47775	high-density lipoprotein cholesterol	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0000181	abnormal circulating LDL cholesterol level	http://purl.obolibrary.org/obo/CHEBI_47774	low-density lipoprotein cholesterol	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0005144	abnormal circulating VLDL cholesterol level	http://purl.obolibrary.org/obo/CHEBI_47773	very-low-density lipoprotein cholesterol	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0005660	abnormal circulating adrenaline level	http://purl.obolibrary.org/obo/CHEBI_33568	adrenaline	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0030672	abnormal circulating alanine level	http://purl.obolibrary.org/obo/CHEBI_16449	alanine	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0001573	abnormal circulating alanine transaminase level	http://purl.obolibrary.org/obo/PR_000008208	alanine aminotransferase 1	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0000202	abnormal circulating alkaline phosphatase level	http://purl.obolibrary.org/obo/PR_000003968	alkaline phosphatase, tissue-nonspecific isozyme	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0005311	abnormal circulating amino acid level	http://purl.obolibrary.org/obo/CHEBI_33709	amino acid	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0005308	abnormal circulating ammonia level	http://purl.obolibrary.org/obo/CHEBI_16134	ammonia	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0006373	abnormal circulating angiotensinogen level	http://purl.obolibrary.org/obo/PR_000036009	angiotensin II	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0005609	abnormal circulating antidiuretic hormone level	http://purl.obolibrary.org/obo/CHEBI_9937	vasopressin	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0010333	abnormal circulating apolipoprotein E level	http://purl.obolibrary.org/obo/PR_000004155	apolipoprotein E	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0010332	abnormal circulating apolipoprotein level	http://purl.obolibrary.org/obo/CHEBI_39015	apolipoprotein	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0030660	abnormal circulating arginine level	http://purl.obolibrary.org/obo/CHEBI_29016	arginine	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0000203	abnormal circulating aspartate transaminase level	http://purl.obolibrary.org/obo/PR_000008153	aspartate aminotransferase, cytoplasmic	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0005521	abnormal circulating atrial natriuretic factor level	http://purl.obolibrary.org/obo/PR_000011374	atrial natriuretic factor	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0003015	abnormal circulating bicarbonate level	http://purl.obolibrary.org/obo/CHEBI_17544	hydrogencarbonate	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0001569	abnormal circulating bilirubin level	http://purl.obolibrary.org/obo/CHEBI_16990	bilirubin IXalpha	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0001562	abnormal circulating calcium level	http://purl.obolibrary.org/obo/CHEBI_22984	calcium atom	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0003977	abnormal circulating carnitine level	http://purl.obolibrary.org/obo/CHEBI_17126	carnitine	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0003018	abnormal circulating chloride level	http://purl.obolibrary.org/obo/CHEBI_17996	chloride	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0000180	abnormal circulating cholesterol level	http://purl.obolibrary.org/obo/CHEBI_16113	cholesterol	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0020835	abnormal circulating citrulline level	http://purl.obolibrary.org/obo/CHEBI_18211	citrulline	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0005345	abnormal circulating corticosterone level	http://purl.obolibrary.org/obo/CHEBI_16827	corticosterone	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0010063	abnormal circulating creatine level	http://purl.obolibrary.org/obo/CHEBI_16919	creatine	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0005328	abnormal circulating creatinine level	http://purl.obolibrary.org/obo/CHEBI_16737	creatinine	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0030686	abnormal circulating cystathionine level	http://purl.obolibrary.org/obo/CHEBI_17755	cystathionine	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0003508	abnormal circulating dihydrotestosterone level	http://purl.obolibrary.org/obo/CHEBI_16330	17beta-hydroxy-5alpha-androstan-3-one	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0011284	abnormal circulating erythropoietin level	http://purl.obolibrary.org/obo/PR_000007141	erythropoietin	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0005183	abnormal circulating estradiol level	http://purl.obolibrary.org/obo/CHEBI_23965	estradiol	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0001553	abnormal circulating free fatty acids level	http://purl.obolibrary.org/obo/CHEBI_35366	fatty acid	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0010086	abnormal circulating fructosamine level	http://purl.obolibrary.org/obo/CHEBI_24103	fructosamine	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0004730	abnormal circulating gastrin level	http://purl.obolibrary.org/obo/PR_000007856	gastrin	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0011611	abnormal circulating ghrelin level	http://purl.obolibrary.org/obo/CHEBI_75431	ghrelin	http://purl.obolibrary.org/obo/UBERON_0000178	blood
