defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/MP_0030566	abnormal A band morphology	http://purl.obolibrary.org/obo/GO_0031672	A band
http://purl.obolibrary.org/obo/MP_0004939	abnormal B cell morphology	http://purl.obolibrary.org/obo/CL_0000236	B cell
http://purl.obolibrary.org/obo/MP_0004940	abnormal B-1 B cell morphology	http://purl.obolibrary.org/obo/CL_0000819	B-1 B cell
http://purl.obolibrary.org/obo/MP_0008164	abnormal B-1a B cell morphology	http://purl.obolibrary.org/obo/CL_0000820	B-1a B cell
http://purl.obolibrary.org/obo/MP_0008165	abnormal B-1b B cell morphology	http://purl.obolibrary.org/obo/CL_0000821	B-1b B cell
http://purl.obolibrary.org/obo/MP_0008166	abnormal B-2 B cell morphology	http://purl.obolibrary.org/obo/CL_0000822	B-2 B cell
http://purl.obolibrary.org/obo/MP_0010387	abnormal Bergmann glial cell morphology	http://purl.obolibrary.org/obo/CL_0000644	Bergmann glial cell
http://purl.obolibrary.org/obo/MP_0011739	abnormal Boettcher cell morphology	http://purl.obolibrary.org/obo/CL_0002084	Boettcher cell
http://purl.obolibrary.org/obo/MP_0010183	abnormal CD4-positive helper T cell morphology	http://purl.obolibrary.org/obo/CL_0000492	CD4-positive helper T cell
http://purl.obolibrary.org/obo/MP_0008397	abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell morphology	http://purl.obolibrary.org/obo/CL_0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell
http://purl.obolibrary.org/obo/MP_0002432	abnormal CD4-positive, alpha beta T cell morphology	http://purl.obolibrary.org/obo/CL_0000624	CD4-positive, alpha-beta T cell
http://purl.obolibrary.org/obo/MP_0008400	abnormal CD4-positive, alpha-beta intraepithelial T cell morphology	http://purl.obolibrary.org/obo/CL_0000793	CD4-positive, alpha-beta intraepithelial T cell
http://purl.obolibrary.org/obo/MP_0010834	abnormal CD4-positive, alpha-beta memory T cell morphology	http://purl.obolibrary.org/obo/CL_0000897	CD4-positive, alpha-beta memory T cell
http://purl.obolibrary.org/obo/MP_0008357	abnormal CD4-positive, gamma-delta intraepithelial T cell morphology	http://purl.obolibrary.org/obo/CL_0000803	CD4-negative CD8-negative gamma-delta intraepithelial T cell
http://purl.obolibrary.org/obo/MP_0008401	abnormal CD8 positive, alpha-beta intraepithelial T cell morphology	http://purl.obolibrary.org/obo/CL_0000796	CD8-alpha-beta-positive, alpha-beta intraepithelial T cell
http://purl.obolibrary.org/obo/MP_0005010	abnormal CD8-positive, alpha beta T cell morphology	http://purl.obolibrary.org/obo/CL_0000625	CD8-positive, alpha-beta T cell
http://purl.obolibrary.org/obo/MP_0002436	abnormal CD8-positive, alpha-beta cytotoxic T cell morphology	http://purl.obolibrary.org/obo/CL_0000794	CD8-positive, alpha-beta cytotoxic T cell
http://purl.obolibrary.org/obo/MP_0010837	abnormal CD8-positive, alpha-beta memory T cell morphology	http://purl.obolibrary.org/obo/CL_0000909	CD8-positive, alpha-beta memory T cell
