defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/MP_0008131	abnormal Peyer's patch number	http://purl.obolibrary.org/obo/UBERON_0001211	Peyer's patch
http://purl.obolibrary.org/obo/MP_0005452	abnormal adipose tissue amount	http://purl.obolibrary.org/obo/UBERON_0001013	adipose tissue
http://purl.obolibrary.org/obo/MP_0001778	abnormal brown adipose tissue amount	http://purl.obolibrary.org/obo/UBERON_0001348	brown adipose tissue
http://purl.obolibrary.org/obo/MP_0020572	abnormal corpus callosum cell number	http://purl.obolibrary.org/obo/UBERON_0002336	corpus callosum
http://purl.obolibrary.org/obo/MP_0013456	abnormal eccrine gland number	http://purl.obolibrary.org/obo/UBERON_0000423	eccrine sweat gland
http://purl.obolibrary.org/obo/MP_0009095	abnormal endometrial gland number	http://purl.obolibrary.org/obo/UBERON_0002451	endometrial gland
http://purl.obolibrary.org/obo/MP_0013896	abnormal eyelid cilium number	http://purl.obolibrary.org/obo/UBERON_0001702	eyelash
http://purl.obolibrary.org/obo/MP_0000700	abnormal lymph node number	http://purl.obolibrary.org/obo/UBERON_0000029	lymph node
http://purl.obolibrary.org/obo/MP_0013714	abnormal mammary gland number	http://purl.obolibrary.org/obo/UBERON_0001911	mammary gland
http://purl.obolibrary.org/obo/MP_0020457	abnormal myelin sheath amount	http://purl.obolibrary.org/obo/UBERON_0000347	entire myelin sheath
http://purl.obolibrary.org/obo/MP_0011289	abnormal nephron number	http://purl.obolibrary.org/obo/UBERON_0001285	nephron
http://purl.obolibrary.org/obo/MP_0008871	abnormal ovarian follicle number	http://purl.obolibrary.org/obo/UBERON_0001305	ovarian follicle
http://purl.obolibrary.org/obo/MP_0009166	abnormal pancreatic islet number	http://purl.obolibrary.org/obo/UBERON_0000006	islet of Langerhans
http://purl.obolibrary.org/obo/MP_0011123	abnormal primary ovarian follicle number	http://purl.obolibrary.org/obo/UBERON_0000035	primary ovarian follicle
http://purl.obolibrary.org/obo/MP_0011119	abnormal primordial ovarian follicle number	http://purl.obolibrary.org/obo/UBERON_0003981	primordial ovarian follicle
http://purl.obolibrary.org/obo/MP_0013190	abnormal sebaceous gland number	http://purl.obolibrary.org/obo/UBERON_0001821	sebaceous gland
http://purl.obolibrary.org/obo/MP_0011127	abnormal secondary ovarian follicle number	http://purl.obolibrary.org/obo/UBERON_0000037	tertiary ovarian follicle
http://purl.obolibrary.org/obo/MP_0012282	abnormal sternebra number	http://purl.obolibrary.org/obo/UBERON_0002208	sternebra
http://purl.obolibrary.org/obo/MP_0030611	abnormal tooth number	http://purl.obolibrary.org/obo/UBERON_0001091	calcareous tooth
http://purl.obolibrary.org/obo/MP_0020343	abnormal ureteric bud number	http://purl.obolibrary.org/obo/UBERON_0000084	ureteric bud
http://purl.obolibrary.org/obo/MP_0004643	abnormal vertebrae number	http://purl.obolibrary.org/obo/UBERON_0002412	vertebra
http://purl.obolibrary.org/obo/MP_0009003	abnormal vibrissa number	http://purl.obolibrary.org/obo/UBERON_0011933	vibrissa unit
http://purl.obolibrary.org/obo/MP_0001781	abnormal white adipose tissue amount	http://purl.obolibrary.org/obo/UBERON_0001347	white adipose tissue
