defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/MP_0002458	abnormal B cell number	http://purl.obolibrary.org/obo/CL_0000236	B cell
http://purl.obolibrary.org/obo/MP_0004976	abnormal B-1 B cell number	http://purl.obolibrary.org/obo/CL_0000819	B-1 B cell
http://purl.obolibrary.org/obo/MP_0012773	abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell number	http://purl.obolibrary.org/obo/CL_0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell
http://purl.obolibrary.org/obo/MP_0008073	abnormal CD4-positive, alpha beta T cell number	http://purl.obolibrary.org/obo/CL_0000624	CD4-positive, alpha-beta T cell
http://purl.obolibrary.org/obo/MP_0012769	abnormal CD4-positive, alpha-beta memory T cell number	http://purl.obolibrary.org/obo/CL_0000897	CD4-positive, alpha-beta memory T cell
http://purl.obolibrary.org/obo/MP_0008077	abnormal CD8-positive, alpha-beta T cell number	http://purl.obolibrary.org/obo/CL_0000625	CD8-positive, alpha-beta T cell
http://purl.obolibrary.org/obo/MP_0012774	abnormal CD8-positive, alpha-beta memory T cell number	http://purl.obolibrary.org/obo/CL_0000909	CD8-positive, alpha-beta memory T cell
http://purl.obolibrary.org/obo/MP_0013434	abnormal CD8-positive, naive alpha-beta T cell number	http://purl.obolibrary.org/obo/CL_0000900	naive thymus-derived CD8-positive, alpha-beta T cell
http://purl.obolibrary.org/obo/MP_0013411	abnormal Langerhans cell number	http://purl.obolibrary.org/obo/CL_0000453	Langerhans cell
http://purl.obolibrary.org/obo/MP_0008038	abnormal NK T cell number	http://purl.obolibrary.org/obo/CL_0000814	mature NK T cell
http://purl.obolibrary.org/obo/MP_0008043	abnormal NK cell number	http://purl.obolibrary.org/obo/CL_0000623	natural killer cell
http://purl.obolibrary.org/obo/MP_0013484	abnormal Paneth cell number	http://purl.obolibrary.org/obo/CL_0000510	paneth cell
http://purl.obolibrary.org/obo/MP_0000878	abnormal Purkinje cell number	http://purl.obolibrary.org/obo/CL_0000121	Purkinje cell
http://purl.obolibrary.org/obo/MP_0006387	abnormal T cell number	http://purl.obolibrary.org/obo/CL_0000084	T cell
http://purl.obolibrary.org/obo/MP_0010185	abnormal T follicular helper cell number	http://purl.obolibrary.org/obo/CL_0002038	T follicular helper cell
http://purl.obolibrary.org/obo/MP_0008085	abnormal T-helper 1 cell number	http://purl.obolibrary.org/obo/CL_0000545	T-helper 1 cell
http://purl.obolibrary.org/obo/MP_0010218	abnormal T-helper 17 cell number	http://purl.obolibrary.org/obo/CL_0000899	T-helper 17 cell
http://purl.obolibrary.org/obo/MP_0008089	abnormal T-helper 2 cell number	http://purl.obolibrary.org/obo/CL_0000546	T-helper 2 cell
http://purl.obolibrary.org/obo/MP_0013761	abnormal T-helper cell number	http://purl.obolibrary.org/obo/CL_0000912	helper T cell
http://purl.obolibrary.org/obo/MP_0012763	abnormal alpha-beta T cell number	http://purl.obolibrary.org/obo/CL_0000789	alpha-beta T cell
http://purl.obolibrary.org/obo/MP_0014227	abnormal alveolar macrophage number	http://purl.obolibrary.org/obo/CL_0000583	alveolar macrophage
http://purl.obolibrary.org/obo/MP_0008104	abnormal amacrine cell number	http://purl.obolibrary.org/obo/CL_0000561	amacrine cell
http://purl.obolibrary.org/obo/MP_0012064	abnormal astrocyte number	http://purl.obolibrary.org/obo/CL_0000127	astrocyte
http://purl.obolibrary.org/obo/MP_0012442	abnormal basophil cell number	http://purl.obolibrary.org/obo/CL_0000767	basophil
http://purl.obolibrary.org/obo/MP_0000172	abnormal bone marrow cell number	http://purl.obolibrary.org/obo/CL_0002092	bone marrow cell
http://purl.obolibrary.org/obo/MP_0009126	abnormal brown fat cell number	http://purl.obolibrary.org/obo/CL_0000449	brown fat cell
http://purl.obolibrary.org/obo/MP_0003706	abnormal cell nucleus count	http://purl.obolibrary.org/obo/GO_0005634	nucleus
http://purl.obolibrary.org/obo/MP_0030551	abnormal cementoblast number	http://purl.obolibrary.org/obo/CL_0000061	cementoblast
http://purl.obolibrary.org/obo/MP_0012771	abnormal central memory CD4-positive, alpha-beta T cell number	http://purl.obolibrary.org/obo/CL_0000904	central memory CD4-positive, alpha-beta T cell
http://purl.obolibrary.org/obo/MP_0012772	abnormal central memory CD8-positive, alpha-beta T cell number	http://purl.obolibrary.org/obo/CL_0000907	central memory CD8-positive, alpha-beta T cell
http://purl.obolibrary.org/obo/MP_0004023	abnormal chromosome number	http://purl.obolibrary.org/obo/GO_0005694	chromosome
http://purl.obolibrary.org/obo/MP_0004406	abnormal cochlear hair cell number	http://purl.obolibrary.org/obo/CL_0000202	auditory hair cell
http://purl.obolibrary.org/obo/MP_0004394	abnormal cochlear inner hair cell number	http://purl.obolibrary.org/obo/CL_0000589	cochlear inner hair cell
http://purl.obolibrary.org/obo/MP_0004400	abnormal cochlear outer hair cell number	http://purl.obolibrary.org/obo/CL_0000601	outer hair cell
http://purl.obolibrary.org/obo/MP_0020279	abnormal creatine kinase level	http://purl.obolibrary.org/obo/GO_0002185	creatine kinase complex
http://purl.obolibrary.org/obo/MP_0008125	abnormal dendritic cell number	http://purl.obolibrary.org/obo/CL_0000451	dendritic cell
http://purl.obolibrary.org/obo/MP_0013408	abnormal dendritic epidermal T cell number	http://purl.obolibrary.org/obo/CL_0000916	dendritic epidermal T cell
http://purl.obolibrary.org/obo/MP_0013762	abnormal effector T cell number	http://purl.obolibrary.org/obo/CL_0000911	effector T cell
http://purl.obolibrary.org/obo/MP_0012770	abnormal effector memory CD4-positive, alpha-beta T cell number	http://purl.obolibrary.org/obo/CL_0000905	effector memory CD4-positive, alpha-beta T cell
http://purl.obolibrary.org/obo/MP_0000481	abnormal enterocyte cell number	http://purl.obolibrary.org/obo/CL_0000584	enterocyte
http://purl.obolibrary.org/obo/MP_0002602	abnormal eosinophil cell number	http://purl.obolibrary.org/obo/CL_0000771	eosinophil
http://purl.obolibrary.org/obo/MP_0011177	abnormal erythroblast number	http://purl.obolibrary.org/obo/CL_0000765	erythroblast
http://purl.obolibrary.org/obo/MP_0001586	abnormal erythrocyte cell number	http://purl.obolibrary.org/obo/CL_0000232	erythrocyte
http://purl.obolibrary.org/obo/MP_0011241	abnormal fetal derived definitive erythrocyte cell number	http://purl.obolibrary.org/obo/CL_0002357	fetal derived definitive erythrocyte
http://purl.obolibrary.org/obo/MP_0008345	abnormal gamma-delta T cell number	http://purl.obolibrary.org/obo/CL_0000798	gamma-delta T cell
http://purl.obolibrary.org/obo/MP_0013680	abnormal germinal center B cell number	http://purl.obolibrary.org/obo/CL_0000844	germinal center B cell
http://purl.obolibrary.org/obo/MP_0013695	abnormal granulocyte monocyte progenitor cell number	http://purl.obolibrary.org/obo/CL_0000557	granulocyte monocyte progenitor cell
http://purl.obolibrary.org/obo/MP_0020201	abnormal granulocyte number	http://purl.obolibrary.org/obo/CL_0000094	granulocyte
