defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/MP_0002544	brachydactyly	http://purl.obolibrary.org/obo/UBERON_0002544	digit
http://purl.obolibrary.org/obo/MP_0002543	brachyphalangia	http://purl.obolibrary.org/obo/UBERON_0003221	phalanx
http://purl.obolibrary.org/obo/MP_0002772	brachypodia	http://purl.obolibrary.org/obo/UBERON_0002387	pes
http://purl.obolibrary.org/obo/MP_0001258	decreased body length	http://purl.obolibrary.org/obo/UBERON_0000468	multicellular organism
http://purl.obolibrary.org/obo/MP_0013956	decreased colon length	http://purl.obolibrary.org/obo/UBERON_0001155	colon
http://purl.obolibrary.org/obo/MP_0011862	decreased cranium length	http://purl.obolibrary.org/obo/UBERON_0003128	cranium
http://purl.obolibrary.org/obo/MP_0009272	decreased guard hair length	http://purl.obolibrary.org/obo/UBERON_0010512	strand of guard hair
http://purl.obolibrary.org/obo/MP_0030167	decreased inner canthal distance	http://purl.obolibrary.org/obo/UBERON_0013678	anatomical line between inner canthi
http://purl.obolibrary.org/obo/MP_0013916	decreased intestine length	http://purl.obolibrary.org/obo/UBERON_0000160	intestine
http://purl.obolibrary.org/obo/MP_0013960	decreased large intestine length	http://purl.obolibrary.org/obo/UBERON_0000059	large intestine
http://purl.obolibrary.org/obo/MP_0004686	decreased length of long bones	http://purl.obolibrary.org/obo/UBERON_0002495	long bone
http://purl.obolibrary.org/obo/MP_0003760	decreased palatal length	http://purl.obolibrary.org/obo/UBERON_0001716	secondary palate
http://purl.obolibrary.org/obo/MP_0013958	decreased small intestine length	http://purl.obolibrary.org/obo/UBERON_0002108	small intestine
http://purl.obolibrary.org/obo/MP_0006197	ocular hypotelorism	http://purl.obolibrary.org/obo/UBERON_0010222	anatomical line between pupils
http://purl.obolibrary.org/obo/MP_0013933	short Meckel's cartilage	http://purl.obolibrary.org/obo/UBERON_0003107	Meckel's cartilage
http://purl.obolibrary.org/obo/MP_0030420	short basicranium	http://purl.obolibrary.org/obo/UBERON_0002517	basicranium
http://purl.obolibrary.org/obo/MP_0030244	short chin	http://purl.obolibrary.org/obo/UBERON_0008199	chin
http://purl.obolibrary.org/obo/MP_0013898	short eyelid cilia	http://purl.obolibrary.org/obo/UBERON_0001702	eyelash
