defined_class	defined_class_label	chemical_entity	chemical_entity_label
http://purl.obolibrary.org/obo/MP_0004893	decreased adiponectin level	http://purl.obolibrary.org/obo/PR_000003777	adiponectin
http://purl.obolibrary.org/obo/MP_0030762	decreased adrenaline level	http://purl.obolibrary.org/obo/CHEBI_33568	adrenaline
http://purl.obolibrary.org/obo/MP_0005128	decreased adrenocorticotropin level	http://purl.obolibrary.org/obo/CHEBI_3892	corticotropin
http://purl.obolibrary.org/obo/MP_0030665	decreased arginine level	http://purl.obolibrary.org/obo/CHEBI_29016	arginine
http://purl.obolibrary.org/obo/MP_0012338	decreased bile salt level	http://purl.obolibrary.org/obo/CHEBI_22868	bile salt
http://purl.obolibrary.org/obo/MP_0020583	decreased ceramide level	http://purl.obolibrary.org/obo/CHEBI_17761	ceramide
http://purl.obolibrary.org/obo/MP_0003983	decreased cholesterol level	http://purl.obolibrary.org/obo/CHEBI_16113	cholesterol
http://purl.obolibrary.org/obo/MP_0010062	decreased creatine level	http://purl.obolibrary.org/obo/CHEBI_16919	creatine
http://purl.obolibrary.org/obo/MP_0030685	decreased cystathionine level	http://purl.obolibrary.org/obo/CHEBI_17755	cystathionine
http://purl.obolibrary.org/obo/MP_0005643	decreased dopamine level	http://purl.obolibrary.org/obo/CHEBI_18243	dopamine
http://purl.obolibrary.org/obo/MP_0011288	decreased erythropoietin level	http://purl.obolibrary.org/obo/PR_000007141	erythropoietin
http://purl.obolibrary.org/obo/MP_0005282	decreased fatty acid level	http://purl.obolibrary.org/obo/CHEBI_35366	fatty acid
http://purl.obolibrary.org/obo/MP_0005130	decreased follicle stimulating hormone level	http://purl.obolibrary.org/obo/CHEBI_81569	Follicle stimulating hormone
http://purl.obolibrary.org/obo/MP_0030733	decreased gamma-aminobutyric acid level	http://purl.obolibrary.org/obo/CHEBI_16865	gamma-aminobutyric acid
http://purl.obolibrary.org/obo/MP_0002868	decreased glutamic acid decarboxylase level	http://purl.obolibrary.org/obo/PR_000007785	glutamate decarboxylase 1
http://purl.obolibrary.org/obo/MP_0030737	decreased glutamic acid level	http://purl.obolibrary.org/obo/CHEBI_18237	glutamic acid
http://purl.obolibrary.org/obo/MP_0030707	decreased glutamine level	http://purl.obolibrary.org/obo/CHEBI_28300	glutamine
http://purl.obolibrary.org/obo/MP_0012604	decreased glutathione level	http://purl.obolibrary.org/obo/CHEBI_16856	glutathione
http://purl.obolibrary.org/obo/MP_0003440	decreased glycerol level	http://purl.obolibrary.org/obo/CHEBI_17754	glycerol
http://purl.obolibrary.org/obo/MP_0030659	decreased glycine level	http://purl.obolibrary.org/obo/CHEBI_15428	glycine
http://purl.obolibrary.org/obo/MP_0005439	decreased glycogen level	http://purl.obolibrary.org/obo/CHEBI_28087	glycogen
http://purl.obolibrary.org/obo/MP_0030756	decreased histamine level	http://purl.obolibrary.org/obo/CHEBI_18295	histamine
http://purl.obolibrary.org/obo/MP_0030679	decreased hydroxyproline level	http://purl.obolibrary.org/obo/CHEBI_24741	hydroxyproline
http://purl.obolibrary.org/obo/MP_0030713	decreased isoleucine level	http://purl.obolibrary.org/obo/CHEBI_24898	isoleucine
http://purl.obolibrary.org/obo/MP_0030748	decreased leucine level	http://purl.obolibrary.org/obo/CHEBI_25017	leucine
http://purl.obolibrary.org/obo/MP_0009817	decreased leukotriene level	http://purl.obolibrary.org/obo/CHEBI_25029	leukotriene
http://purl.obolibrary.org/obo/MP_0005132	decreased luteinizing hormone level	http://purl.obolibrary.org/obo/CHEBI_81568	Luteinizing hormone
http://purl.obolibrary.org/obo/MP_0030722	decreased lysine level	http://purl.obolibrary.org/obo/CHEBI_25094	lysine
http://purl.obolibrary.org/obo/MP_0030642	decreased methionine level	http://purl.obolibrary.org/obo/CHEBI_16811	methionine
http://purl.obolibrary.org/obo/MP_0030629	decreased methylmalonic acid level	http://purl.obolibrary.org/obo/CHEBI_30860	methylmalonic acid
http://purl.obolibrary.org/obo/MP_0012574	decreased noradrenaline level	http://purl.obolibrary.org/obo/CHEBI_33569	noradrenaline
http://purl.obolibrary.org/obo/MP_0030648	decreased ornithine level	http://purl.obolibrary.org/obo/CHEBI_18257	ornithine
http://purl.obolibrary.org/obo/MP_0030698	decreased phenylalanine level	http://purl.obolibrary.org/obo/CHEBI_28044	phenylalanine
http://purl.obolibrary.org/obo/MP_0013437	decreased phytosterol level	http://purl.obolibrary.org/obo/CHEBI_26125	phytosterols
http://purl.obolibrary.org/obo/MP_0011990	decreased porphyrin level	http://purl.obolibrary.org/obo/CHEBI_8337	porphyrin
http://purl.obolibrary.org/obo/MP_0005138	decreased prolactin level	http://purl.obolibrary.org/obo/PR_000013246	prolactin
http://purl.obolibrary.org/obo/MP_0020238	decreased proline level	http://purl.obolibrary.org/obo/CHEBI_26271	proline
http://purl.obolibrary.org/obo/MP_0009815	decreased prostaglandin level	http://purl.obolibrary.org/obo/CHEBI_26333	prostaglandin
http://purl.obolibrary.org/obo/MP_0005286	decreased saturated fatty acid level	http://purl.obolibrary.org/obo/CHEBI_26607	saturated fatty acid
http://purl.obolibrary.org/obo/MP_0030692	decreased serine level	http://purl.obolibrary.org/obo/CHEBI_17822	serine
http://purl.obolibrary.org/obo/MP_0010070	decreased serotonin level	http://purl.obolibrary.org/obo/CHEBI_28790	serotonin
http://purl.obolibrary.org/obo/MP_0020117	decreased sphingosine level	http://purl.obolibrary.org/obo/CHEBI_16393	sphingosine
http://purl.obolibrary.org/obo/MP_0012225	decreased sterol level	http://purl.obolibrary.org/obo/CHEBI_15889	sterol
http://purl.obolibrary.org/obo/MP_0020005	decreased sulfoglycosphingolipid level	http://purl.obolibrary.org/obo/CHEBI_36477	sulfoglycosphingolipid
http://purl.obolibrary.org/obo/MP_0030636	decreased taurine level	http://purl.obolibrary.org/obo/CHEBI_15891	taurine
