defined_class	defined_class_label	biological_process	biological_process_label	location	location_label
http://purl.obolibrary.org/obo/MP_0030930	decreased digit pigmentation	http://purl.obolibrary.org/obo/GO_0043473	pigmentation	http://purl.obolibrary.org/obo/UBERON_0015249	digit skin
http://purl.obolibrary.org/obo/MP_0011279	decreased ear pigmentation	http://purl.obolibrary.org/obo/GO_0043473	pigmentation	http://purl.obolibrary.org/obo/UBERON_0001459	skin of external ear
http://purl.obolibrary.org/obo/MP_0005172	decreased eye pigmentation	http://purl.obolibrary.org/obo/GO_0043473	pigmentation	http://purl.obolibrary.org/obo/UBERON_0000019	camera-type eye
http://purl.obolibrary.org/obo/MP_0011568	decreased foot pigmentation	http://purl.obolibrary.org/obo/GO_0043473	pigmentation	http://purl.obolibrary.org/obo/UBERON_0001513	skin of pes
http://purl.obolibrary.org/obo/MP_0030054	decreased forehead pigmentation	http://purl.obolibrary.org/obo/GO_0043473	pigmentation	http://purl.obolibrary.org/obo/UBERON_0016475	skin of forehead
http://purl.obolibrary.org/obo/MP_0011627	decreased skin pigmentation	http://purl.obolibrary.org/obo/GO_0043473	pigmentation	http://purl.obolibrary.org/obo/UBERON_0002097	skin of body
http://purl.obolibrary.org/obo/MP_0011277	decreased tail pigmentation	http://purl.obolibrary.org/obo/GO_0043473	pigmentation	http://purl.obolibrary.org/obo/UBERON_0003534	tail skin
http://purl.obolibrary.org/obo/MP_0013371	hypohidrosis	http://purl.obolibrary.org/obo/GO_0046903	secretion	http://purl.obolibrary.org/obo/UBERON_0001820	sweat gland
http://purl.obolibrary.org/obo/MP_0005408	hypopigmentation	http://purl.obolibrary.org/obo/GO_0043473	pigmentation	http://purl.obolibrary.org/obo/UBERON_0000468	multicellular organism
http://purl.obolibrary.org/obo/MP_0003348	hypopituitarism	http://purl.obolibrary.org/obo/GO_0046903	secretion	http://purl.obolibrary.org/obo/UBERON_0000007	pituitary gland
http://purl.obolibrary.org/obo/MP_0000742	impaired contractility of ileal smooth muscle	http://purl.obolibrary.org/obo/GO_0014827	intestine smooth muscle contraction	http://purl.obolibrary.org/obo/UBERON_0002116	ileum
http://purl.obolibrary.org/obo/MP_0004006	impaired contractility of jejunal smooth muscle	http://purl.obolibrary.org/obo/GO_0014827	intestine smooth muscle contraction	http://purl.obolibrary.org/obo/UBERON_0002115	jejunum
http://purl.obolibrary.org/obo/MP_0000741	impaired contractility of urinary bladder detrusor smooth muscle	http://purl.obolibrary.org/obo/GO_0014827	intestine smooth muscle contraction	http://purl.obolibrary.org/obo/UBERON_0000381	urinary bladder detrusor smooth muscle
