defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/MP_0012480	decreased amygdala size	http://purl.obolibrary.org/obo/UBERON_0001876	amygdala
http://purl.obolibrary.org/obo/MP_0008226	decreased anterior commissure size	http://purl.obolibrary.org/obo/UBERON_0000935	anterior commissure
http://purl.obolibrary.org/obo/MP_0000868	decreased anterior vermis size	http://purl.obolibrary.org/obo/UBERON_0003941	cerebellum anterior vermis
http://purl.obolibrary.org/obo/MP_0000301	decreased atrioventricular cushion size	http://purl.obolibrary.org/obo/UBERON_0002062	endocardial cushion
http://purl.obolibrary.org/obo/MP_0012272	decreased axial mesoderm size	http://purl.obolibrary.org/obo/UBERON_0003068	axial mesoderm
http://purl.obolibrary.org/obo/MP_0001265	decreased body size	http://purl.obolibrary.org/obo/UBERON_0000468	multicellular organism
http://purl.obolibrary.org/obo/MP_0020141	decreased brain external capsule size	http://purl.obolibrary.org/obo/UBERON_0004545	external capsule of telencephalon
http://purl.obolibrary.org/obo/MP_0012462	decreased brain internal capsule size	http://purl.obolibrary.org/obo/UBERON_0001887	internal capsule of telencephalon
http://purl.obolibrary.org/obo/MP_0000774	decreased brain size	http://purl.obolibrary.org/obo/UBERON_0000955	brain
http://purl.obolibrary.org/obo/MP_0012488	decreased cerebellum dentate nucleus size	http://purl.obolibrary.org/obo/UBERON_0002132	dentate nucleus
http://purl.obolibrary.org/obo/MP_0020540	decreased cerebellum fastigial nucleus size	http://purl.obolibrary.org/obo/UBERON_0002153	fastigial nucleus
http://purl.obolibrary.org/obo/MP_0012472	decreased cerebellum interpositus nucleus size	http://purl.obolibrary.org/obo/UBERON_0004073	cerebellum interpositus nucleus
http://purl.obolibrary.org/obo/MP_0012474	decreased cingulate cortex size	http://purl.obolibrary.org/obo/UBERON_0003027	cingulate cortex
http://purl.obolibrary.org/obo/MP_0012486	decreased cochlear VIII nucleus size	http://purl.obolibrary.org/obo/UBERON_0001720	cochlear nucleus
http://purl.obolibrary.org/obo/MP_0000900	decreased colliculi size	http://purl.obolibrary.org/obo/UBERON_0002259	corpora quadrigemina
http://purl.obolibrary.org/obo/MP_0000781	decreased corpus callosum size	http://purl.obolibrary.org/obo/UBERON_0002336	corpus callosum
http://purl.obolibrary.org/obo/MP_0012484	decreased corticospinal tract size	http://purl.obolibrary.org/obo/UBERON_0002707	corticospinal tract
http://purl.obolibrary.org/obo/MP_0012460	decreased dentate gyrus size	http://purl.obolibrary.org/obo/UBERON_0001885	dentate gyrus of hippocampal formation
http://purl.obolibrary.org/obo/MP_0001698	decreased embryo size	http://purl.obolibrary.org/obo/UBERON_0000922	embryo
http://purl.obolibrary.org/obo/MP_0030825	decreased femur size	http://purl.obolibrary.org/obo/UBERON_0000981	femur
http://purl.obolibrary.org/obo/MP_0004200	decreased fetal size	http://purl.obolibrary.org/obo/UBERON_0000323	late embryo
http://purl.obolibrary.org/obo/MP_0012138	decreased forebrain size	http://purl.obolibrary.org/obo/UBERON_0001890	forebrain
http://purl.obolibrary.org/obo/MP_0012470	decreased genu of the facial nerve size	http://purl.obolibrary.org/obo/UBERON_0014915	genu of facial nerve
http://purl.obolibrary.org/obo/MP_0012482	decreased habenula size	http://purl.obolibrary.org/obo/UBERON_0001904	habenula
http://purl.obolibrary.org/obo/MP_0010580	decreased heart left ventricle size	http://purl.obolibrary.org/obo/UBERON_0002084	heart left ventricle
http://purl.obolibrary.org/obo/MP_0003649	decreased heart right ventricle size	http://purl.obolibrary.org/obo/UBERON_0002080	heart right ventricle
http://purl.obolibrary.org/obo/MP_0012263	decreased hindbrain size	http://purl.obolibrary.org/obo/UBERON_0002028	hindbrain
http://purl.obolibrary.org/obo/MP_0008222	decreased hippocampal commissure size	http://purl.obolibrary.org/obo/UBERON_0000908	hippocampal commissure
http://purl.obolibrary.org/obo/MP_0012466	decreased hippocampal fimbria size	http://purl.obolibrary.org/obo/UBERON_0002310	hippocampus fimbria
http://purl.obolibrary.org/obo/MP_0020545	decreased hippocampal fornix size	http://purl.obolibrary.org/obo/UBERON_0000052	fornix of brain
http://purl.obolibrary.org/obo/MP_0003162	decreased lateral semicircular canal size	http://purl.obolibrary.org/obo/UBERON_0001843	lateral semicircular canal
http://purl.obolibrary.org/obo/MP_0012456	decreased mammillothalamic tract size	http://purl.obolibrary.org/obo/UBERON_0002990	mammillothalamic tract of hypothalamus
http://purl.obolibrary.org/obo/MP_0009897	decreased maxillary shelf size	http://purl.obolibrary.org/obo/UBERON_0005871	palatine process of maxilla
http://purl.obolibrary.org/obo/MP_0012089	decreased midbrain size	http://purl.obolibrary.org/obo/UBERON_0001891	midbrain
http://purl.obolibrary.org/obo/MP_0020069	decreased neocortex size	http://purl.obolibrary.org/obo/UBERON_0001950	neocortex
http://purl.obolibrary.org/obo/MP_0013713	decreased nipple size	http://purl.obolibrary.org/obo/UBERON_0002030	nipple
http://purl.obolibrary.org/obo/MP_0020548	decreased optic chiasm size	http://purl.obolibrary.org/obo/UBERON_0000959	optic chiasma
http://purl.obolibrary.org/obo/MP_0012464	decreased optic tract size	http://purl.obolibrary.org/obo/UBERON_0001908	optic tract
http://purl.obolibrary.org/obo/MP_0009895	decreased palatine bone horizontal plate size	http://purl.obolibrary.org/obo/UBERON_0018242	palatine bone horizontal plate
http://purl.obolibrary.org/obo/MP_0012183	decreased paraxial mesoderm size	http://purl.obolibrary.org/obo/UBERON_0003077	paraxial mesoderm
http://purl.obolibrary.org/obo/MP_0012476	decreased piriform cortex size	http://purl.obolibrary.org/obo/UBERON_0004725	piriform cortex
http://purl.obolibrary.org/obo/MP_0011521	decreased placental labyrinth size	http://purl.obolibrary.org/obo/UBERON_0003946	placenta labyrinth
http://purl.obolibrary.org/obo/MP_0020533	decreased pons size	http://purl.obolibrary.org/obo/UBERON_0000988	pons
http://purl.obolibrary.org/obo/MP_0020562	decreased pontine nuclei size	http://purl.obolibrary.org/obo/UBERON_0002151	pontine nuclear group
http://purl.obolibrary.org/obo/MP_0020566	decreased pontocerebellar fibers size	http://purl.obolibrary.org/obo/UBERON_0022421	pontocerebellar tract
http://purl.obolibrary.org/obo/MP_0003164	decreased posterior semicircular canal size	http://purl.obolibrary.org/obo/UBERON_0001842	posterior semicircular canal
http://purl.obolibrary.org/obo/MP_0020570	decreased premotor cortex size	http://purl.obolibrary.org/obo/UBERON_0016634	premotor cortex
http://purl.obolibrary.org/obo/MP_0012450	decreased primary motor cortex size	http://purl.obolibrary.org/obo/UBERON_0001384	primary motor cortex
http://purl.obolibrary.org/obo/MP_0030886	decreased radius size	http://purl.obolibrary.org/obo/UBERON_0001423	radius bone
http://purl.obolibrary.org/obo/MP_0012453	decreased retrosplenial granular cortex size	http://purl.obolibrary.org/obo/UBERON_0014918	retrosplenial granular cortex
