defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/MP_0000392	accelerated hair follicle regression	http://purl.obolibrary.org/obo/GO_0042637	catagen
http://purl.obolibrary.org/obo/MP_0003506	acromegaly	http://purl.obolibrary.org/obo/GO_0030252	growth hormone secretion
http://purl.obolibrary.org/obo/MP_0030974	enhanced gluconeogenesis	http://purl.obolibrary.org/obo/GO_0006094	gluconeogenesis
http://purl.obolibrary.org/obo/MP_0001349	excessive tearing	http://purl.obolibrary.org/obo/GO_0070075	tear secretion
http://purl.obolibrary.org/obo/MP_0003239	fast REM	http://purl.obolibrary.org/obo/NBO_0000159	rapid eye movement sleep
http://purl.obolibrary.org/obo/MP_0001188	hyperpigmentation	http://purl.obolibrary.org/obo/GO_0043473	pigmentation
http://purl.obolibrary.org/obo/MP_0001753	hypersecretion of corticotropin-releasing hormone	http://purl.obolibrary.org/obo/GO_0043396	corticotropin-releasing hormone secretion
http://purl.obolibrary.org/obo/MP_0004992	increased bone resorption	http://purl.obolibrary.org/obo/GO_0045453	bone resorption
http://purl.obolibrary.org/obo/MP_0011700	increased cumulus expansion	http://purl.obolibrary.org/obo/GO_0001550	ovarian cumulus expansion
http://purl.obolibrary.org/obo/MP_0003867	increased defecation amount	http://purl.obolibrary.org/obo/GO_0030421	defecation
http://purl.obolibrary.org/obo/MP_0002710	increased glucagon secretion	http://purl.obolibrary.org/obo/GO_0070091	glucagon secretion
http://purl.obolibrary.org/obo/MP_0002714	increased glycogen catabolism rate	http://purl.obolibrary.org/obo/GO_0005980	glycogen catabolic process
http://purl.obolibrary.org/obo/MP_0002865	increased growth rate	http://purl.obolibrary.org/obo/GO_0040007	growth
http://purl.obolibrary.org/obo/MP_0008562	increased interferon-alpha secretion	http://purl.obolibrary.org/obo/GO_0072642	interferon-alpha secretion
http://purl.obolibrary.org/obo/MP_0008564	increased interferon-beta secretion	http://purl.obolibrary.org/obo/GO_0035546	interferon-beta secretion
http://purl.obolibrary.org/obo/MP_0008566	increased interferon-gamma secretion	http://purl.obolibrary.org/obo/GO_0072643	interferon-gamma secretion
http://purl.obolibrary.org/obo/MP_0008654	increased interleukin-1 alpha secretion	http://purl.obolibrary.org/obo/GO_0050703	interleukin-1 alpha secretion
http://purl.obolibrary.org/obo/MP_0008657	increased interleukin-1 beta secretion	http://purl.obolibrary.org/obo/GO_0050702	interleukin-1 beta secretion
http://purl.obolibrary.org/obo/MP_0008651	increased interleukin-1 secretion	http://purl.obolibrary.org/obo/GO_0050701	interleukin-1 secretion
http://purl.obolibrary.org/obo/MP_0008660	increased interleukin-10 secretion	http://purl.obolibrary.org/obo/GO_0072608	interleukin-10 secretion
http://purl.obolibrary.org/obo/MP_0008663	increased interleukin-12 secretion	http://purl.obolibrary.org/obo/GO_0072610	interleukin-12 secretion
http://purl.obolibrary.org/obo/MP_0008672	increased interleukin-13 secretion	http://purl.obolibrary.org/obo/GO_0072611	interleukin-13 secretion
