defined_class	defined_class_label	entity	entity_label	shape	shape_label
http://purl.obolibrary.org/obo/PLANP_0000499	abnormal shape of head 	http://purl.obolibrary.org/obo/PLANA_0000418	head	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/PLANP_0000500	abnormal shape of tail 	http://purl.obolibrary.org/obo/PLANA_0000421	tail	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/PLANP_0000493	columnar head	http://purl.obolibrary.org/obo/PLANA_0000418	head	http://purl.obolibrary.org/obo/PATO_0002063	columnar
http://purl.obolibrary.org/obo/PLANP_0000491	curled ventral surface	http://purl.obolibrary.org/obo/BSPO_0000384	ventral surface	http://purl.obolibrary.org/obo/PATO_0000405	curled
http://purl.obolibrary.org/obo/PLANP_0000799	curved medial head	http://purl.obolibrary.org/obo/PLANA_0000418	head	http://purl.obolibrary.org/obo/PATO_0002164	curved medial
http://purl.obolibrary.org/obo/PLANP_0000800	curved medial tail	http://purl.obolibrary.org/obo/PLANA_0000421	tail	http://purl.obolibrary.org/obo/PATO_0002164	curved medial
http://purl.obolibrary.org/obo/PLANP_0000797	hourglass-shaped head	http://purl.obolibrary.org/obo/PLANA_0000418	head	http://purl.obolibrary.org/obo/PATO_0002239	hourglass-shaped
http://purl.obolibrary.org/obo/PLANP_0000798	hourglass-shaped tail	http://purl.obolibrary.org/obo/PLANA_0000421	tail	http://purl.obolibrary.org/obo/PATO_0002239	hourglass-shaped
http://purl.obolibrary.org/obo/PLANP_0000492	pointed head	http://purl.obolibrary.org/obo/PLANA_0000418	head	http://purl.obolibrary.org/obo/PATO_0002258	pointed
http://purl.obolibrary.org/obo/PLANP_0000496	pointed tail	http://purl.obolibrary.org/obo/PLANA_0000421	tail	http://purl.obolibrary.org/obo/PATO_0002258	pointed
http://purl.obolibrary.org/obo/PLANP_0000796	ruffled epithelium	http://purl.obolibrary.org/obo/PLANA_0002118	epithelium	http://purl.obolibrary.org/obo/PATO_0001799	ruffled
