defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/WBPhenotype_0000183	apoptosis increased	http://purl.obolibrary.org/obo/GO_0006915	apoptotic process
http://purl.obolibrary.org/obo/WBPhenotype_0000172	cell proliferation increased	http://purl.obolibrary.org/obo/GO_0008283	cell population proliferation
http://purl.obolibrary.org/obo/WBPhenotype_0000237	foraging hyperactive	http://purl.obolibrary.org/obo/GO_0060756	foraging behavior
http://purl.obolibrary.org/obo/WBPhenotype_0000973	homologous recombination increased	http://purl.obolibrary.org/obo/GO_0035825	homologous recombination
http://purl.obolibrary.org/obo/WBPhenotype_0000642	hyperactive	http://purl.obolibrary.org/obo/GO_0040011	locomotion
http://purl.obolibrary.org/obo/WBPhenotype_0000005	hyperactive egg laying	http://purl.obolibrary.org/obo/GO_0018991	oviposition
http://purl.obolibrary.org/obo/WBPhenotype_0001799	inhibition of synaptogenesis hyperactive	http://purl.obolibrary.org/obo/GO_0051964	negative regulation of synapse assembly
http://purl.obolibrary.org/obo/WBPhenotype_0001231	intraflagellar transport accelerated	http://purl.obolibrary.org/obo/GO_0042073	intraciliary transport
http://purl.obolibrary.org/obo/WBPhenotype_0001742	lipid synthesis increased	http://purl.obolibrary.org/obo/GO_0008610	lipid biosynthetic process
http://purl.obolibrary.org/obo/WBPhenotype_0001397	necrotic cell death increased	http://purl.obolibrary.org/obo/GO_0070265	necrotic cell death
http://purl.obolibrary.org/obo/WBPhenotype_0000018	pharyngeal pumping increased	http://purl.obolibrary.org/obo/GO_0043050	pharyngeal pumping
