defined_class	defined_class_label	chemical_entity	chemical_entity_label
http://purl.obolibrary.org/obo/WBPhenotype_0000964	DMPP resistant	http://purl.obolibrary.org/obo/CHEBI_4290	1,1-dimethyl-4-phenylpiperazinium iodide
http://purl.obolibrary.org/obo/WBPhenotype_0001649	Fluorouracil resistant	http://purl.obolibrary.org/obo/CHEBI_46345	5-fluorouracil
http://purl.obolibrary.org/obo/WBPhenotype_0002048	abamectin resistant	http://purl.obolibrary.org/obo/CHEBI_39214	abamectin
http://purl.obolibrary.org/obo/WBPhenotype_0000017	aldicarb resistant	http://purl.obolibrary.org/obo/CHEBI_2555	aldicarb
http://purl.obolibrary.org/obo/WBPhenotype_0000089	alpha amanitin resistant	http://purl.obolibrary.org/obo/CHEBI_37415	alpha-amanitin
http://purl.obolibrary.org/obo/WBPhenotype_0000326	arecoline resistant	http://purl.obolibrary.org/obo/CHEBI_2814	arecoline
http://purl.obolibrary.org/obo/WBPhenotype_0001654	cadmium resistant	http://purl.obolibrary.org/obo/CHEBI_22977	cadmium atom
http://purl.obolibrary.org/obo/WBPhenotype_0000252	caffeine resistant	http://purl.obolibrary.org/obo/CHEBI_27732	caffeine
http://purl.obolibrary.org/obo/WBPhenotype_0001502	chemical resistant	http://purl.obolibrary.org/obo/CHEBI_24431	chemical entity
http://purl.obolibrary.org/obo/WBPhenotype_0000489	chloroquine resistant	http://purl.obolibrary.org/obo/CHEBI_3638	chloroquine
http://purl.obolibrary.org/obo/WBPhenotype_0000487	colchicine resistant	http://purl.obolibrary.org/obo/CHEBI_23359	colchicine
http://purl.obolibrary.org/obo/WBPhenotype_0001603	cyproheptadine resistant	http://purl.obolibrary.org/obo/CHEBI_4046	cyproheptadine
http://purl.obolibrary.org/obo/WBPhenotype_0002077	dopamine resistant	http://purl.obolibrary.org/obo/CHEBI_18243	dopamine
http://purl.obolibrary.org/obo/WBPhenotype_0001612	ethanol resistant	http://purl.obolibrary.org/obo/CHEBI_16236	ethanol
http://purl.obolibrary.org/obo/WBPhenotype_0001617	ethosuximide resistant	http://purl.obolibrary.org/obo/CHEBI_4887	ethosuximide
http://purl.obolibrary.org/obo/WBPhenotype_0001855	fluoride resistant	http://purl.obolibrary.org/obo/CHEBI_17051	fluoride
http://purl.obolibrary.org/obo/WBPhenotype_0000790	fluoxetine resistant	http://purl.obolibrary.org/obo/CHEBI_5118	fluoxetine
http://purl.obolibrary.org/obo/WBPhenotype_0001618	halothane resistant	http://purl.obolibrary.org/obo/CHEBI_5615	halothane
http://purl.obolibrary.org/obo/WBPhenotype_0000340	imipramine resistant	http://purl.obolibrary.org/obo/CHEBI_47499	imipramine
http://purl.obolibrary.org/obo/WBPhenotype_0001619	isoflurane resistant	http://purl.obolibrary.org/obo/CHEBI_6015	isoflurane
http://purl.obolibrary.org/obo/WBPhenotype_0002053	ivermectin resistant	http://purl.obolibrary.org/obo/CHEBI_6078	ivermectin
http://purl.obolibrary.org/obo/WBPhenotype_0001296	lannate resistant	http://purl.obolibrary.org/obo/CHEBI_6835	methomyl
http://purl.obolibrary.org/obo/WBPhenotype_0000421	levamisole resistant	http://purl.obolibrary.org/obo/CHEBI_6432	levamisole
http://purl.obolibrary.org/obo/WBPhenotype_0001904	manganese toxicity resistant	http://purl.obolibrary.org/obo/CHEBI_18291	manganese atom
http://purl.obolibrary.org/obo/WBPhenotype_0001602	methiothepin resistant	http://purl.obolibrary.org/obo/CHEBI_64203	methiothepin
http://purl.obolibrary.org/obo/WBPhenotype_0001604	mianserin resistant	http://purl.obolibrary.org/obo/CHEBI_51137	mianserin
http://purl.obolibrary.org/obo/WBPhenotype_0001204	muscimol resistant	http://purl.obolibrary.org/obo/CHEBI_7035	muscimol
http://purl.obolibrary.org/obo/WBPhenotype_0002258	nickel toxicity resistant	http://purl.obolibrary.org/obo/CHEBI_28112	nickel atom
http://purl.obolibrary.org/obo/WBPhenotype_0001203	nicotine resistant	http://purl.obolibrary.org/obo/CHEBI_18723	nicotine
http://purl.obolibrary.org/obo/WBPhenotype_0001599	ouabain resistant	http://purl.obolibrary.org/obo/CHEBI_472805	ouabain
http://purl.obolibrary.org/obo/WBPhenotype_0000461	paraquat resistant	http://purl.obolibrary.org/obo/CHEBI_34905	paraquat
http://purl.obolibrary.org/obo/WBPhenotype_0001338	phentolamine resistant	http://purl.obolibrary.org/obo/CHEBI_8081	phentolamine
http://purl.obolibrary.org/obo/WBPhenotype_0001839	phorbol ester resistant	http://purl.obolibrary.org/obo/CHEBI_37532	phorbol ester
http://purl.obolibrary.org/obo/WBPhenotype_0000671	resistant to copper	http://purl.obolibrary.org/obo/CHEBI_28694	copper atom
http://purl.obolibrary.org/obo/WBPhenotype_0000024	serotonin resistant	http://purl.obolibrary.org/obo/CHEBI_28790	serotonin
http://purl.obolibrary.org/obo/WBPhenotype_0001616	trimethadione resistant	http://purl.obolibrary.org/obo/CHEBI_9727	Trimethadione
http://purl.obolibrary.org/obo/WBPhenotype_0002422	tunicamycin resistant	http://purl.obolibrary.org/obo/CHEBI_29699	tunicamycin
http://purl.obolibrary.org/obo/WBPhenotype_0001750	zinc toxicity resistant	http://purl.obolibrary.org/obo/CHEBI_27363	zinc atom
