defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/XPO_0128000	absent behavior	http://purl.obolibrary.org/obo/GO_0007610	behavior
http://purl.obolibrary.org/obo/XPO_0131474	absent behavioral response to pain	http://purl.obolibrary.org/obo/GO_0048266	behavioral response to pain
http://purl.obolibrary.org/obo/XPO_0116494	absent biological process	http://purl.obolibrary.org/obo/GO_0008150	biological_process
http://purl.obolibrary.org/obo/XPO_0131473	absent courtship behavior	http://purl.obolibrary.org/obo/GO_0007619	courtship behavior
http://purl.obolibrary.org/obo/XPO_0131481	absent feeding behavior	http://purl.obolibrary.org/obo/GO_0007631	feeding behavior
http://purl.obolibrary.org/obo/XPO_0103783	absent hatching behavior	http://purl.obolibrary.org/obo/GO_0035187	hatching behavior
http://purl.obolibrary.org/obo/XPO_0133388	absent insulin receptor signaling pathway	http://purl.obolibrary.org/obo/GO_0008286	insulin receptor signaling pathway
http://purl.obolibrary.org/obo/XPO_0131482	absent locomotory behavior	http://purl.obolibrary.org/obo/GO_0007626	locomotory behavior
http://purl.obolibrary.org/obo/XPO_0131480	absent mating behavior	http://purl.obolibrary.org/obo/GO_0007617	mating behavior
http://purl.obolibrary.org/obo/XPO_0131476	absent mechanosensory behavior	http://purl.obolibrary.org/obo/GO_0007638	mechanosensory behavior
http://purl.obolibrary.org/obo/XPO_0131475	absent olfactory behavior	http://purl.obolibrary.org/obo/GO_0042048	olfactory behavior
http://purl.obolibrary.org/obo/XPO_0131478	absent optokinetic behavior	http://purl.obolibrary.org/obo/GO_0007634	optokinetic behavior
http://purl.obolibrary.org/obo/XPO_0131479	absent social behavior	http://purl.obolibrary.org/obo/GO_0035176	social behavior
http://purl.obolibrary.org/obo/XPO_0131471	absent swimming behavior	http://purl.obolibrary.org/obo/GO_0036269	swimming behavior
http://purl.obolibrary.org/obo/XPO_0131477	absent visual behavior	http://purl.obolibrary.org/obo/GO_0007632	visual behavior
http://purl.obolibrary.org/obo/XPO_0131472	absent vocalization behavior	http://purl.obolibrary.org/obo/GO_0071625	vocalization behavior
