defined_class	defined_class_label	entity	entity_label	shape	shape_label
http://purl.obolibrary.org/obo/XPO_0103602	abnormal anterior-posterior axis, curved dorsal 	http://purl.obolibrary.org/obo/XAO_0005202	anterior-posterior axis	http://purl.obolibrary.org/obo/PATO_0001468	curved dorsal
http://purl.obolibrary.org/obo/XPO_0131424	abnormal anterior-posterior axis, curved lateral 	http://purl.obolibrary.org/obo/XAO_0005202	anterior-posterior axis	http://purl.obolibrary.org/obo/PATO_0001649	curved lateral
http://purl.obolibrary.org/obo/XPO_0131425	abnormal anterior-posterior axis, curved ventral 	http://purl.obolibrary.org/obo/XAO_0005202	anterior-posterior axis	http://purl.obolibrary.org/obo/PATO_0001469	curved ventral
http://purl.obolibrary.org/obo/XPO_0103701	abnormal bending of anterior neural tube 	http://purl.obolibrary.org/obo/XAO_0000307	anterior neural tube	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/XPO_0103699	abnormal bending of anterior-posterior axis 	http://purl.obolibrary.org/obo/XAO_0005202	anterior-posterior axis	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/XPO_0103703	abnormal bending of dorsal tail 	http://purl.obolibrary.org/obo/XAO_0005264	dorsal tail	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/XPO_0103704	abnormal bending of dorsal trunk 	http://purl.obolibrary.org/obo/XAO_0005265	dorsal trunk	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/XPO_0103700	abnormal bending of humerus 	http://purl.obolibrary.org/obo/XAO_0003210	humerus	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/XPO_0103705	abnormal bending of left-right axis 	http://purl.obolibrary.org/obo/XAO_0005204	left-right axis	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/XPO_0103702	abnormal bending of tail 	http://purl.obolibrary.org/obo/XAO_0003026	tail	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/XPO_0115636	abnormal(ly) bent of metatarsus (T)	http://purl.obolibrary.org/obo/XAO_0003212	metatarsus	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/XPO_0115507	abnormal(ly) curved lateral of whole organism (T)	http://purl.obolibrary.org/obo/XAO_0003004	whole organism	http://purl.obolibrary.org/obo/PATO_0001649	curved lateral
http://purl.obolibrary.org/obo/XPO_0115547	abnormal(ly) curved ventral of tail (T)	http://purl.obolibrary.org/obo/XAO_0003026	tail	http://purl.obolibrary.org/obo/PATO_0001469	curved ventral
http://purl.obolibrary.org/obo/XPO_0115445	abnormal(ly) decreased coiling of foregut (T)	http://purl.obolibrary.org/obo/XAO_0000232	foregut	http://purl.obolibrary.org/obo/PATO_0001796	decreased coiling
http://purl.obolibrary.org/obo/XPO_0115761	abnormal(ly) decreased coiling of proximal tubule (T)	http://purl.obolibrary.org/obo/XAO_0004518	proximal tubule	http://purl.obolibrary.org/obo/PATO_0001796	decreased coiling
http://purl.obolibrary.org/obo/XPO_0115382	abnormal(ly) dorso-ventrally flattened of embryo (T)	http://purl.obolibrary.org/obo/XAO_0000113	embryo	http://purl.obolibrary.org/obo/PATO_0002053	dorso-ventrally flattened
http://purl.obolibrary.org/obo/XPO_0115683	abnormal(ly) increased branchiness of regenerating hindlimb (T)	http://purl.obolibrary.org/obo/XAO_0004107	regenerating hindlimb	http://purl.obolibrary.org/obo/PATO_0002285	increased branchiness
http://purl.obolibrary.org/obo/XPO_0115346	abnormal(ly) obtuse of somite (T)	http://purl.obolibrary.org/obo/XAO_0000058	somite	http://purl.obolibrary.org/obo/PATO_0001935	obtuse
http://purl.obolibrary.org/obo/XPO_0115659	abnormal(ly) ruffled of dorsal fin (T)	http://purl.obolibrary.org/obo/XAO_0004063	dorsal fin	http://purl.obolibrary.org/obo/PATO_0001799	ruffled
