defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/ZP_0021531	B cell increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0009142	B cell
http://purl.obolibrary.org/obo/ZP_0004910	CiD increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0005233	CiD
http://purl.obolibrary.org/obo/ZP_0004907	CoSA increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0005176	CoSA
http://purl.obolibrary.org/obo/ZP_0103806	DEL increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0000711	DEL
http://purl.obolibrary.org/obo/ZP_0000327	DoLA increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0005178	DoLA
http://purl.obolibrary.org/obo/ZP_0009579	Kolmer-Agduhr neuron increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0005240	Kolmer-Agduhr neuron
http://purl.obolibrary.org/obo/ZP_0004913	Mauthner neuron increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0009149	Mauthner neuron
http://purl.obolibrary.org/obo/ZP_0019543	Meckel's cartilage increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0001205	Meckel's cartilage
http://purl.obolibrary.org/obo/ZP_0015046	Muller cell increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0009280	Muller cell
http://purl.obolibrary.org/obo/ZP_0007469	NCC ionocyte increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0005579	NCC ionocyte
http://purl.obolibrary.org/obo/ZP_0101371	NaK ionocyte increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0005326	NaK ionocyte
http://purl.obolibrary.org/obo/ZP_0000067	RoL2 increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0005198	RoL2
http://purl.obolibrary.org/obo/ZP_0005587	Rohon-Beard neuron increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0009150	Rohon-Beard neuron
http://purl.obolibrary.org/obo/ZP_0103446	Sertoli cell increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0009133	Sertoli cell
http://purl.obolibrary.org/obo/ZP_0017952	T cell increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0009046	T cell
http://purl.obolibrary.org/obo/ZP_0020930	UV sensitive photoreceptor cell increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0009221	UV sensitive photoreceptor cell
http://purl.obolibrary.org/obo/ZP_0006692	VeLD increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0005177	VeLD
http://purl.obolibrary.org/obo/ZP_0021725	adipose tissue increased amount, abnormal	http://purl.obolibrary.org/obo/ZFA_0005345	adipose tissue
