defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/ZP_0016543	ERK1 and ERK2 cascade increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0070371	ERK1 and ERK2 cascade
http://purl.obolibrary.org/obo/ZP_0101024	aerobic respiration increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0009060	aerobic respiration
http://purl.obolibrary.org/obo/ZP_0014570	ammonium transport increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0015696	ammonium transport
http://purl.obolibrary.org/obo/ZP_0004961	apoptotic DNA fragmentation increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0006309	apoptotic DNA fragmentation
http://purl.obolibrary.org/obo/ZP_0004962	apoptotic process increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0006915	apoptotic process
http://purl.obolibrary.org/obo/ZP_0001672	associative learning increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0008306	associative learning
http://purl.obolibrary.org/obo/ZP_0001532	blood circulation increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0008015	blood circulation
http://purl.obolibrary.org/obo/ZP_0005957	calcium ion import increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0070509	calcium ion import
http://purl.obolibrary.org/obo/ZP_0014673	cardiac muscle cell proliferation increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0060038	cardiac muscle cell proliferation
http://purl.obolibrary.org/obo/ZP_0015520	cardiac muscle contraction increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0060048	cardiac muscle contraction
http://purl.obolibrary.org/obo/ZP_0104225	cardiac muscle tissue regeneration increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0061026	cardiac muscle tissue regeneration
http://purl.obolibrary.org/obo/ZP_0003420	cell death increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0008219	cell death
http://purl.obolibrary.org/obo/ZP_0010522	cell migration involved in gastrulation increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0042074	cell migration involved in gastrulation
http://purl.obolibrary.org/obo/ZP_0000676	cell population proliferation increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0008283	cell population proliferation
http://purl.obolibrary.org/obo/ZP_0007268	cilium movement increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0003341	cilium movement
http://purl.obolibrary.org/obo/ZP_0008190	cilium or flagellum-dependent cell motility increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0001539	cilium or flagellum-dependent cell motility
http://purl.obolibrary.org/obo/ZP_0008630	collagen biosynthetic process increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0032964	collagen biosynthetic process
http://purl.obolibrary.org/obo/ZP_0106409	defense response to bacterium increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0042742	defense response to bacterium
http://purl.obolibrary.org/obo/ZP_0018017	developmental growth increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0048589	developmental growth
http://purl.obolibrary.org/obo/ZP_0003423	epithelial cell proliferation increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0050673	epithelial cell proliferation
http://purl.obolibrary.org/obo/ZP_0131013	feeding behavior increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0007631	feeding behavior
http://purl.obolibrary.org/obo/ZP_0103668	fertilization increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0009566	fertilization
http://purl.obolibrary.org/obo/ZP_0014196	fin regeneration increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0031101	fin regeneration
http://purl.obolibrary.org/obo/ZP_0004837	generation of neurons increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0048699	generation of neurons
http://purl.obolibrary.org/obo/ZP_0006968	glycolytic process increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0006096	glycolytic process
http://purl.obolibrary.org/obo/ZP_0131161	growth increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0040007	growth
http://purl.obolibrary.org/obo/ZP_0001534	heart contraction increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0060047	heart contraction
http://purl.obolibrary.org/obo/ZP_0106419	heart trabecula formation increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0060347	heart trabecula formation
http://purl.obolibrary.org/obo/ZP_0014076	hindgut contraction increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0043133	hindgut contraction
http://purl.obolibrary.org/obo/ZP_0106406	inflammatory response increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0006954	inflammatory response
http://purl.obolibrary.org/obo/ZP_0011457	larval locomotory behavior increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0008345	larval locomotory behavior
http://purl.obolibrary.org/obo/ZP_0002616	locomotory behavior increased rate, abnormal	http://purl.obolibrary.org/obo/GO_0007626	locomotory behavior
