defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	location	location_label
http://purl.obolibrary.org/obo/ZP_0014857	anatomical region motor nucleus of vagal nerve increased size, abnormal	http://purl.obolibrary.org/obo/BSPO_0000070	anatomical region	http://purl.obolibrary.org/obo/ZFA_0000387	motor nucleus of vagal nerve
http://purl.obolibrary.org/obo/ZP_0017472	anatomical region statoacoustic (VIII) ganglion increased size, abnormal	http://purl.obolibrary.org/obo/BSPO_0000070	anatomical region	http://purl.obolibrary.org/obo/ZFA_0000588	statoacoustic (VIII) ganglion
http://purl.obolibrary.org/obo/ZP_0015563	anterior region neuroectoderm increased size, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0001120	neuroectoderm
http://purl.obolibrary.org/obo/ZP_0015859	antero-dorsal region forebrain neural keel increased size, abnormal	http://purl.obolibrary.org/obo/BSPO_0000026	antero-dorsal region	http://purl.obolibrary.org/obo/ZFA_0007026	forebrain neural keel
http://purl.obolibrary.org/obo/ZP_0008100	apical surface cell increased size, abnormal	http://purl.obolibrary.org/obo/BSPO_0000373	apical surface	http://purl.obolibrary.org/obo/ZFA_0009000	cell
http://purl.obolibrary.org/obo/ZP_0007872	bleb anterior axial hypoblast increased size, abnormal	http://purl.obolibrary.org/obo/GO_0032059	bleb	http://purl.obolibrary.org/obo/ZFA_0000004	anterior axial hypoblast
http://purl.obolibrary.org/obo/ZP_0012608	cardiac muscle cell atrium increased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009316	cardiac muscle cell	http://purl.obolibrary.org/obo/ZFA_0000471	atrium
http://purl.obolibrary.org/obo/ZP_0010666	cardiac muscle cell cardiac ventricle increased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009316	cardiac muscle cell	http://purl.obolibrary.org/obo/ZFA_0000009	cardiac ventricle
http://purl.obolibrary.org/obo/ZP_0000534	cardiac muscle cell heart increased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009316	cardiac muscle cell	http://purl.obolibrary.org/obo/ZFA_0000114	heart
http://purl.obolibrary.org/obo/ZP_0018965	cell EVL increased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009000	cell	http://purl.obolibrary.org/obo/ZFA_0000086	EVL
http://purl.obolibrary.org/obo/ZP_0016583	cell floor plate increased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009000	cell	http://purl.obolibrary.org/obo/ZFA_0000022	floor plate
http://purl.obolibrary.org/obo/ZP_0016585	cell hypochord increased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009000	cell	http://purl.obolibrary.org/obo/ZFA_0000031	hypochord
http://purl.obolibrary.org/obo/ZP_0007491	cell perichondrium increased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009000	cell	http://purl.obolibrary.org/obo/ZFA_0001634	perichondrium
http://purl.obolibrary.org/obo/ZP_0103970	cell periderm increased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009000	cell	http://purl.obolibrary.org/obo/ZFA_0001185	periderm
http://purl.obolibrary.org/obo/ZP_0017476	cell projection neuromast hair cell increased size, abnormal	http://purl.obolibrary.org/obo/GO_0042995	cell projection	http://purl.obolibrary.org/obo/ZFA_0009367	neuromast hair cell
http://purl.obolibrary.org/obo/ZP_0019760	chondrocyte ceratohyal-interhyal joint increased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009084	chondrocyte	http://purl.obolibrary.org/obo/ZFA_0005859	ceratohyal-interhyal joint
http://purl.obolibrary.org/obo/ZP_0003890	chondrocyte cranial cartilage increased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009084	chondrocyte	http://purl.obolibrary.org/obo/ZFA_0001458	cranial cartilage
http://purl.obolibrary.org/obo/ZP_0019762	chondrocyte interhyal-hyosymplectic joint increased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009084	chondrocyte	http://purl.obolibrary.org/obo/ZFA_0005860	interhyal-hyosymplectic joint
http://purl.obolibrary.org/obo/ZP_0006139	chondrocyte pharyngeal arch 3-7 increased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009084	chondrocyte	http://purl.obolibrary.org/obo/ZFA_0001613	pharyngeal arch 3-7
http://purl.obolibrary.org/obo/ZP_0005521	dorsal region cerebellum increased size, abnormal	http://purl.obolibrary.org/obo/BSPO_0000079	dorsal region	http://purl.obolibrary.org/obo/ZFA_0000100	cerebellum
