defined_class	defined_class_label	molecular_function	molecular_function_label
http://purl.obolibrary.org/obo/DDPHENO_0000782	aberrant DNA (cytosine-5-)-methyltransferase activity	http://purl.obolibrary.org/obo/GO_0003886	DNA (cytosine-5-)-methyltransferase activity
http://purl.obolibrary.org/obo/DDPHENO_0000737	aberrant DNA-methyltransferase activity	http://purl.obolibrary.org/obo/GO_0009008	DNA-methyltransferase activity
http://purl.obolibrary.org/obo/DDPHENO_0000799	aberrant GTPase activator activity	http://purl.obolibrary.org/obo/GO_0005096	GTPase activator activity
http://purl.obolibrary.org/obo/DDPHENO_0000798	aberrant GTPase regulator activity	http://purl.obolibrary.org/obo/GO_0030695	GTPase regulator activity
http://purl.obolibrary.org/obo/DDPHENO_0000789	aberrant adenylate cyclase activator activity	http://purl.obolibrary.org/obo/GO_0010856	adenylate cyclase activator activity
http://purl.obolibrary.org/obo/DDPHENO_0000786	aberrant adenylate cyclase regulator activity	http://purl.obolibrary.org/obo/GO_0010854	adenylate cyclase regulator activity
http://purl.obolibrary.org/obo/DDPHENO_0001255	aberrant binding	http://purl.obolibrary.org/obo/GO_0005488	binding
http://purl.obolibrary.org/obo/DDPHENO_0001331	aberrant catalase activity	http://purl.obolibrary.org/obo/GO_0004096	catalase activity
http://purl.obolibrary.org/obo/DDPHENO_0001105	aberrant catalytic activity	http://purl.obolibrary.org/obo/GO_0003824	catalytic activity
http://purl.obolibrary.org/obo/DDPHENO_0000321	aberrant cellulose binding	http://purl.obolibrary.org/obo/GO_0030248	cellulose binding
http://purl.obolibrary.org/obo/DDPHENO_0000147	aberrant chemorepellant activity	http://purl.obolibrary.org/obo/GO_0045499	chemorepellent activity
http://purl.obolibrary.org/obo/DDPHENO_0000324	aberrant cyclic nucleotide binding	http://purl.obolibrary.org/obo/GO_0030551	cyclic nucleotide binding
http://purl.obolibrary.org/obo/DDPHENO_0000331	aberrant folic acid binding	http://purl.obolibrary.org/obo/GO_0005542	folic acid binding
http://purl.obolibrary.org/obo/DDPHENO_0000729	aberrant histone H3K4 methyltransferase activity	http://purl.obolibrary.org/obo/GO_0042800	histone H3K4 methyltransferase activity
http://purl.obolibrary.org/obo/DDPHENO_0000731	aberrant histone H3K79 methyltransferase activity	http://purl.obolibrary.org/obo/GO_0031151	histone H3K79 methyltransferase activity
http://purl.obolibrary.org/obo/DDPHENO_0000733	aberrant histone H3K9 methyltransferase activity	http://purl.obolibrary.org/obo/GO_0046974	histone H3K9 methyltransferase activity
http://purl.obolibrary.org/obo/DDPHENO_0000298	aberrant lipid binding	http://purl.obolibrary.org/obo/GO_0008289	lipid binding
http://purl.obolibrary.org/obo/DDPHENO_0001171	aberrant molecular function	http://purl.obolibrary.org/obo/GO_0003674	gene product or complex activity
http://purl.obolibrary.org/obo/DDPHENO_0001171	aberrant molecular function	http://purl.obolibrary.org/obo/GO_0003674	molecular_function
http://purl.obolibrary.org/obo/DDPHENO_0000785	aberrant molecular function regulator activity	http://purl.obolibrary.org/obo/GO_0098772	molecular function regulator activity
http://purl.obolibrary.org/obo/DDPHENO_0000735	aberrant myosin heavy chain kinase activity	http://purl.obolibrary.org/obo/GO_0016905	myosin heavy chain kinase activity
http://purl.obolibrary.org/obo/DDPHENO_0001321	aberrant peptidyl-proline 4-dioxygenase activity	http://purl.obolibrary.org/obo/GO_0031545	peptidyl-proline 4-dioxygenase activity
http://purl.obolibrary.org/obo/DDPHENO_0000748	aberrant phosphatase activity	http://purl.obolibrary.org/obo/GO_0016791	phosphatase activity
http://purl.obolibrary.org/obo/DDPHENO_0000320	aberrant polysaccharide binding	http://purl.obolibrary.org/obo/GO_0030247	polysaccharide binding
http://purl.obolibrary.org/obo/DDPHENO_0000745	aberrant prenylcysteine carboxyl methyltransferase activity	http://purl.obolibrary.org/obo/GO_0004671	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity
http://purl.obolibrary.org/obo/DDPHENO_0000294	aberrant protein binding	http://purl.obolibrary.org/obo/GO_0005515	protein binding
http://purl.obolibrary.org/obo/DDPHENO_0000723	aberrant protein kinase activity	http://purl.obolibrary.org/obo/GO_0004672	protein kinase activity
http://purl.obolibrary.org/obo/DDPHENO_0000792	aberrant protein kinase regulator activity	http://purl.obolibrary.org/obo/GO_0019887	protein kinase regulator activity
http://purl.obolibrary.org/obo/DDPHENO_0000727	aberrant protein tyrosine kinase activity	http://purl.obolibrary.org/obo/GO_0004713	protein tyrosine kinase activity
http://purl.obolibrary.org/obo/DDPHENO_0000752	aberrant protein tyrosine phosphatase activity	http://purl.obolibrary.org/obo/GO_0004725	protein tyrosine phosphatase activity
http://purl.obolibrary.org/obo/DDPHENO_0000773	aberrant signaling receptor activity	http://purl.obolibrary.org/obo/GO_0005102	signaling receptor binding
http://purl.obolibrary.org/obo/DDPHENO_0000327	aberrant small molecule binding	http://purl.obolibrary.org/obo/GO_0036094	small molecule binding
http://purl.obolibrary.org/obo/DDPHENO_0000728	aberrant transferase activity	http://purl.obolibrary.org/obo/GO_0016740	transferase activity
