defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/FBcv_0000717	increased cell growth rate	http://purl.obolibrary.org/obo/GO_0016049	cell growth
http://purl.obolibrary.org/obo/FBcv_0007538	increased rate of adult locomotory behavior	http://purl.obolibrary.org/obo/GO_0008344	adult locomotory behavior
http://purl.obolibrary.org/obo/FBcv_0007536	increased rate of adult walking behavior	http://purl.obolibrary.org/obo/GO_0007628	adult walking behavior
http://purl.obolibrary.org/obo/FBcv_0007511	increased rate of cell adhesion	http://purl.obolibrary.org/obo/GO_0007155	cell adhesion
http://purl.obolibrary.org/obo/FBcv_0007532	increased rate of chemosensory behavior	http://purl.obolibrary.org/obo/GO_0007635	chemosensory behavior
http://purl.obolibrary.org/obo/FBcv_0007543	increased rate of copulation	http://purl.obolibrary.org/obo/GO_0007620	copulation
http://purl.obolibrary.org/obo/FBcv_0007540	increased rate of courtship behavior	http://purl.obolibrary.org/obo/GO_0007619	courtship behavior
http://purl.obolibrary.org/obo/FBcv_0007515	increased rate of feeding behavior	http://purl.obolibrary.org/obo/GO_0007631	feeding behavior
http://purl.obolibrary.org/obo/FBcv_0007541	increased rate of flight behavior	http://purl.obolibrary.org/obo/GO_0007629	flight behavior
http://purl.obolibrary.org/obo/FBcv_0007534	increased rate of grooming behavior	http://purl.obolibrary.org/obo/GO_0007625	grooming behavior
http://purl.obolibrary.org/obo/FBcv_0007542	increased rate of jump response	http://purl.obolibrary.org/obo/GO_0007630	jump response
http://purl.obolibrary.org/obo/FBcv_0007537	increased rate of larval locomotory behavior	http://purl.obolibrary.org/obo/GO_0008345	larval locomotory behavior
http://purl.obolibrary.org/obo/FBcv_0007535	increased rate of locomotory behavior	http://purl.obolibrary.org/obo/GO_0007626	locomotory behavior
http://purl.obolibrary.org/obo/FBcv_0007539	increased rate of mating behavior	http://purl.obolibrary.org/obo/GO_0007617	mating behavior
http://purl.obolibrary.org/obo/FBcv_0000392	increased rate of movement	http://purl.obolibrary.org/obo/GO_0050879	multicellular organismal movement
http://purl.obolibrary.org/obo/FBcv_0007509	increased rate of phototaxis	http://purl.obolibrary.org/obo/GO_0042331	phototaxis
http://purl.obolibrary.org/obo/FBcv_0007533	increased rate of proboscis extension reflex	http://purl.obolibrary.org/obo/GO_0007637	proboscis extension reflex
http://purl.obolibrary.org/obo/FBcv_0007513	increased sleep	http://purl.obolibrary.org/obo/GO_0030431	sleep
