defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/MP_0008494	absence of all nails	http://purl.obolibrary.org/obo/UBERON_0001705	nail
http://purl.obolibrary.org/obo/MP_0008071	absent B cells	http://purl.obolibrary.org/obo/CL_0000236	B cell
http://purl.obolibrary.org/obo/MP_0008202	absent B-1 B cells	http://purl.obolibrary.org/obo/CL_0000819	B-1 B cell
http://purl.obolibrary.org/obo/MP_0012520	absent Brunner's glands	http://purl.obolibrary.org/obo/UBERON_0001212	duodenal gland
http://purl.obolibrary.org/obo/MP_0008360	absent CD4-positive, gamma-delta intraepithelial T cells	http://purl.obolibrary.org/obo/CL_0000803	CD4-negative CD8-negative gamma-delta intraepithelial T cell
http://purl.obolibrary.org/obo/MP_0000727	absent CD8-positive, alpha-beta T cells	http://purl.obolibrary.org/obo/CL_0000625	CD8-positive, alpha-beta T cell
http://purl.obolibrary.org/obo/MP_0008364	absent CD8-positive, gamma-delta intraepithelial T cells	http://purl.obolibrary.org/obo/CL_0000802	CD8-alpha alpha positive, gamma-delta intraepithelial T cell
http://purl.obolibrary.org/obo/MP_0004285	absent Descemet membrane	http://purl.obolibrary.org/obo/UBERON_0004367	Descemet's membrane
http://purl.obolibrary.org/obo/MP_0008881	absent Harderian gland	http://purl.obolibrary.org/obo/UBERON_0004187	Harderian gland
http://purl.obolibrary.org/obo/MP_0009540	absent Hassall's corpuscle	http://purl.obolibrary.org/obo/UBERON_0003987	Hassall's corpuscle
http://purl.obolibrary.org/obo/MP_0008118	absent Langerhans cell	http://purl.obolibrary.org/obo/CL_0000453	Langerhans cell
http://purl.obolibrary.org/obo/MP_0002785	absent Leydig cells	http://purl.obolibrary.org/obo/CL_0000178	Leydig cell
http://purl.obolibrary.org/obo/MP_0004146	absent M line	http://purl.obolibrary.org/obo/GO_0031430	M band
http://purl.obolibrary.org/obo/MP_0004439	absent Meckel's cartilage	http://purl.obolibrary.org/obo/UBERON_0003107	Meckel's cartilage
http://purl.obolibrary.org/obo/MP_0008041	absent NK T cells	http://purl.obolibrary.org/obo/CL_0000814	mature NK T cell
http://purl.obolibrary.org/obo/MP_0009187	absent PP cells	http://purl.obolibrary.org/obo/CL_0000696	PP cell
http://purl.obolibrary.org/obo/MP_0009718	absent Purkinje cell layer	http://purl.obolibrary.org/obo/UBERON_0002979	Purkinje cell layer of cerebellar cortex
http://purl.obolibrary.org/obo/MP_0011759	absent Rathke's pouch	http://purl.obolibrary.org/obo/UBERON_0005356	Rathke's pouch
http://purl.obolibrary.org/obo/MP_0004916	absent Reichert cartilage	http://purl.obolibrary.org/obo/UBERON_0004368	Reichert's cartilage
http://purl.obolibrary.org/obo/MP_0011116	absent Reichert's membrane	http://purl.obolibrary.org/obo/UBERON_0004369	Reichert's membrane
http://purl.obolibrary.org/obo/MP_0001109	absent Schwann cell precursors	http://purl.obolibrary.org/obo/CL_0002375	Schwann cell precursor
http://purl.obolibrary.org/obo/MP_0008070	absent T cells	http://purl.obolibrary.org/obo/CL_0000084	T cell
http://purl.obolibrary.org/obo/MP_0009073	absent Wolffian ducts	http://purl.obolibrary.org/obo/UBERON_0003074	mesonephric duct
http://purl.obolibrary.org/obo/MP_0004092	absent Z line	http://purl.obolibrary.org/obo/GO_0030018	Z disc
http://purl.obolibrary.org/obo/MP_0013849	absent abducens nerve	http://purl.obolibrary.org/obo/UBERON_0001646	abducens nerve
http://purl.obolibrary.org/obo/MP_0004346	absent acromion	http://purl.obolibrary.org/obo/UBERON_0002497	acromion
