defined_class	defined_class_label	entity	entity_label	shape	shape_label
http://purl.obolibrary.org/obo/MP_0000022	abnormal ear shape	http://purl.obolibrary.org/obo/UBERON_0001691	external ear	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/MP_0030071	abnormal face shape	http://purl.obolibrary.org/obo/UBERON_0001456	face	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/MP_0030045	abnormal forehead shape	http://purl.obolibrary.org/obo/UBERON_0008200	forehead	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/MP_0011495	abnormal head shape	http://purl.obolibrary.org/obo/UBERON_0000033	head	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/MP_0031562	abnormal heart atrium shape	http://purl.obolibrary.org/obo/UBERON_0002081	cardiac atrium	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/MP_0000277	abnormal heart shape	http://purl.obolibrary.org/obo/UBERON_0000948	heart	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/MP_0031530	abnormal heart ventricle shape	http://purl.obolibrary.org/obo/UBERON_0002082	cardiac ventricle	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/MP_0003771	abnormal lip shape	http://purl.obolibrary.org/obo/UBERON_0001833	lip	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/MP_0001068	abnormal mandibular nerve branching	http://purl.obolibrary.org/obo/UBERON_0000375	mandibular nerve	http://purl.obolibrary.org/obo/PATO_0000402	branched
http://purl.obolibrary.org/obo/MP_0011633	abnormal mitochondrial shape	http://purl.obolibrary.org/obo/GO_0005739	mitochondrion	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/MP_0031501	abnormal mouth shape	http://purl.obolibrary.org/obo/UBERON_0000165	mouth	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/MP_0030103	abnormal orbit shape	http://purl.obolibrary.org/obo/UBERON_0001697	orbit of skull	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/MP_0003405	abnormal platelet shape	http://purl.obolibrary.org/obo/CL_0000233	platelet	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/MP_0001691	abnormal somite shape	http://purl.obolibrary.org/obo/UBERON_0002329	somite	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/MP_0010099	abnormal thoracic cage shape	http://purl.obolibrary.org/obo/UBERON_0003252	thoracic rib cage	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/MP_0021136	abnormal vertebrae shape	http://purl.obolibrary.org/obo/UBERON_0002412	vertebra	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/MP_0006261	annular pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreas	http://purl.obolibrary.org/obo/PATO_0002539	ring shaped
http://purl.obolibrary.org/obo/MP_0004044	aortic dissection	http://purl.obolibrary.org/obo/UBERON_0000947	aorta	http://purl.obolibrary.org/obo/PATO_0001786	split
http://purl.obolibrary.org/obo/MP_0003761	arched palate	http://purl.obolibrary.org/obo/UBERON_0001716	secondary palate	http://purl.obolibrary.org/obo/PATO_0001594	arched
http://purl.obolibrary.org/obo/MP_0010047	axonal spheroids	http://purl.obolibrary.org/obo/GO_0030424	axon	http://purl.obolibrary.org/obo/PATO_0001865	spheroid
http://purl.obolibrary.org/obo/MP_0010484	bicuspid aortic valve	http://purl.obolibrary.org/obo/UBERON_0002137	aortic valve	http://purl.obolibrary.org/obo/PATO_0002281	biscupidate
http://purl.obolibrary.org/obo/MP_0010527	bicuspid pulmonary valve	http://purl.obolibrary.org/obo/UBERON_0002146	pulmonary valve	http://purl.obolibrary.org/obo/PATO_0002281	biscupidate
http://purl.obolibrary.org/obo/MP_0010623	bicuspid tricuspid valve	http://purl.obolibrary.org/obo/UBERON_0002134	tricuspid valve	http://purl.obolibrary.org/obo/PATO_0002281	biscupidate
http://purl.obolibrary.org/obo/MP_0004253	bifid atrial appendage	http://purl.obolibrary.org/obo/UBERON_0006618	atrium auricular region	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/MP_0003601	bifid kidney	http://purl.obolibrary.org/obo/UBERON_0002113	kidney	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/MP_0030116	bifid nasal tip	http://purl.obolibrary.org/obo/UBERON_0012128	nose tip	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/MP_0030117	bifid nose	http://purl.obolibrary.org/obo/UBERON_0000004	nose	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/MP_0003612	bifid scrotum	http://purl.obolibrary.org/obo/UBERON_0001300	scrotum	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/MP_0009909	bifid tongue	http://purl.obolibrary.org/obo/UBERON_0001723	tongue	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/MP_0003584	bifid ureter	http://purl.obolibrary.org/obo/UBERON_0000056	ureter	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/MP_0003559	bifid uterus	http://purl.obolibrary.org/obo/UBERON_0000995	uterus	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/MP_0003533	bifid vagina	http://purl.obolibrary.org/obo/UBERON_0000996	vagina	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/MP_0013342	bifurcated Rathke's pouch	http://purl.obolibrary.org/obo/UBERON_0005356	Rathke's pouch	http://purl.obolibrary.org/obo/PATO_0001784	bifurcated
http://purl.obolibrary.org/obo/MP_0013175	bifurcated tail	http://purl.obolibrary.org/obo/UBERON_0002415	tail	http://purl.obolibrary.org/obo/PATO_0001784	bifurcated
http://purl.obolibrary.org/obo/MP_0031448	bilateral cleft upper lip	http://purl.obolibrary.org/obo/UBERON_0001834	upper lip	http://purl.obolibrary.org/obo/PATO_0002171	split bilaterally
http://purl.obolibrary.org/obo/MP_0014083	blunted small intestinal villi	http://purl.obolibrary.org/obo/UBERON_0001213	intestinal villus	http://purl.obolibrary.org/obo/PATO_0001950	blunt
