defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/MP_0031176	abnormal Descemet membrane thickness	http://purl.obolibrary.org/obo/UBERON_0004367	Descemet's membrane
http://purl.obolibrary.org/obo/MP_0000134	abnormal compact bone thickness	http://purl.obolibrary.org/obo/UBERON_0001439	compact bone tissue
http://purl.obolibrary.org/obo/MP_0020853	abnormal cornea epithelium thickness	http://purl.obolibrary.org/obo/UBERON_0001772	corneal epithelium
http://purl.obolibrary.org/obo/MP_0011961	abnormal cornea thickness	http://purl.obolibrary.org/obo/UBERON_0000964	cornea
http://purl.obolibrary.org/obo/MP_0021155	abnormal heart left ventricle wall thickness	http://purl.obolibrary.org/obo/UBERON_0036285	wall of left ventricle
http://purl.obolibrary.org/obo/MP_0021156	abnormal heart right ventricle wall thickness	http://purl.obolibrary.org/obo/UBERON_0036286	wall of right ventricle
http://purl.obolibrary.org/obo/MP_0020135	abnormal heart ventricle wall thickness	http://purl.obolibrary.org/obo/UBERON_0004784	heart ventricle wall
http://purl.obolibrary.org/obo/MP_0020136	abnormal interventricular septum thickness	http://purl.obolibrary.org/obo/UBERON_0002094	interventricular septum
http://purl.obolibrary.org/obo/MP_0014217	abnormal intestinal mucosa thickness	http://purl.obolibrary.org/obo/UBERON_0001242	intestinal mucosa
http://purl.obolibrary.org/obo/MP_0010928	abnormal osteoid thickness	http://purl.obolibrary.org/obo/UBERON_0008883	osteoid
http://purl.obolibrary.org/obo/MP_0011349	abnormal renal glomerulus basement membrane thickness	http://purl.obolibrary.org/obo/UBERON_0005777	glomerular basement membrane
http://purl.obolibrary.org/obo/MP_0011996	abnormal retina inner nuclear layer thickness	http://purl.obolibrary.org/obo/UBERON_0001791	inner nuclear layer of retina
http://purl.obolibrary.org/obo/MP_0011997	abnormal retina outer nuclear layer thickness	http://purl.obolibrary.org/obo/UBERON_0001789	outer nuclear layer of retina
http://purl.obolibrary.org/obo/MP_0031351	abnormal sperm flagellum thickness	http://purl.obolibrary.org/obo/GO_0036126	sperm flagellum
http://purl.obolibrary.org/obo/MP_0009345	abnormal trabecular bone thickness	http://purl.obolibrary.org/obo/UBERON_0002483	trabecular bone tissue
