defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/MP_0014301	decreased cochlea width	http://purl.obolibrary.org/obo/UBERON_0001844	cochlea
http://purl.obolibrary.org/obo/MP_0008526	decreased cranium width	http://purl.obolibrary.org/obo/UBERON_0003128	cranium
http://purl.obolibrary.org/obo/MP_0031505	decreased mouth width	http://purl.obolibrary.org/obo/UBERON_0000165	mouth
http://purl.obolibrary.org/obo/MP_0003409	decreased width of hypertrophic chondrocyte zone	http://purl.obolibrary.org/obo/UBERON_0006772	long bone epiphyseal plate hypertrophic zone
http://purl.obolibrary.org/obo/MP_0005287	narrow eye opening	http://purl.obolibrary.org/obo/UBERON_0001819	palpebral fissure
http://purl.obolibrary.org/obo/MP_0030067	narrow face	http://purl.obolibrary.org/obo/UBERON_0001456	face
http://purl.obolibrary.org/obo/MP_0030252	narrow frontonasal prominence	http://purl.obolibrary.org/obo/UBERON_0004066	frontonasal prominence
http://purl.obolibrary.org/obo/MP_0003742	narrow head	http://purl.obolibrary.org/obo/UBERON_0000033	head
http://purl.obolibrary.org/obo/MP_0030248	narrow maxilla	http://purl.obolibrary.org/obo/UBERON_0002397	maxilla
http://purl.obolibrary.org/obo/MP_0003758	narrow palate	http://purl.obolibrary.org/obo/UBERON_0001716	secondary palate
http://purl.obolibrary.org/obo/MP_0000620	narrow salivary ducts	http://purl.obolibrary.org/obo/UBERON_0001837	duct of salivary gland
http://purl.obolibrary.org/obo/MP_0030191	narrow snout	http://purl.obolibrary.org/obo/UBERON_0006333	snout
http://purl.obolibrary.org/obo/MP_0030206	thin nasal septum	http://purl.obolibrary.org/obo/UBERON_0001706	nasal septum
http://purl.obolibrary.org/obo/MP_0013829	thin splanchnic nerve	http://purl.obolibrary.org/obo/UBERON_0003715	splanchnic nerve
