defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/MP_0010403	atrial septal defect	http://purl.obolibrary.org/obo/UBERON_0002085	interatrial septum
http://purl.obolibrary.org/obo/MP_0013545	cleft hard palate	http://purl.obolibrary.org/obo/UBERON_0003216	hard palate
http://purl.obolibrary.org/obo/MP_0013546	cleft soft palate	http://purl.obolibrary.org/obo/UBERON_0001733	soft palate
http://purl.obolibrary.org/obo/MP_0000919	cranioschisis	http://purl.obolibrary.org/obo/UBERON_0003128	cranium
http://purl.obolibrary.org/obo/MP_0012707	incomplete caudal neuropore closure	http://purl.obolibrary.org/obo/UBERON_0005071	posterior neuropore
http://purl.obolibrary.org/obo/MP_0000928	incomplete rostral neuropore closure	http://purl.obolibrary.org/obo/UBERON_0005070	anterior neuropore
http://purl.obolibrary.org/obo/MP_0006248	lagophthalmos	http://purl.obolibrary.org/obo/UBERON_0000019	camera-type eye
http://purl.obolibrary.org/obo/MP_0003139	patent ductus arteriosus	http://purl.obolibrary.org/obo/UBERON_0005440	ductus arteriosus
http://purl.obolibrary.org/obo/MP_0004004	patent ductus venosus	http://purl.obolibrary.org/obo/UBERON_0002083	ductus venosus
http://purl.obolibrary.org/obo/MP_0011852	patent urachus	http://purl.obolibrary.org/obo/UBERON_0002068	urachus
http://purl.obolibrary.org/obo/MP_0013548	submucous cleft hard palate	http://purl.obolibrary.org/obo/UBERON_0012074	bony part of hard palate
http://purl.obolibrary.org/obo/MP_0013547	submucous cleft soft palate	http://purl.obolibrary.org/obo/UBERON_0003682	palatal muscle
http://purl.obolibrary.org/obo/MP_0010402	ventricular septal defect	http://purl.obolibrary.org/obo/UBERON_0002094	interventricular septum
