defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/MP_0010127	hypervolemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/MP_0010875	increased bone volume	http://purl.obolibrary.org/obo/UBERON_0001474	bone element
http://purl.obolibrary.org/obo/MP_0010964	increased compact bone volume	http://purl.obolibrary.org/obo/UBERON_0001439	compact bone tissue
http://purl.obolibrary.org/obo/MP_0012560	increased forebrain volume	http://purl.obolibrary.org/obo/UBERON_0001890	forebrain
http://purl.obolibrary.org/obo/MP_0020132	increased gallbladder volume	http://purl.obolibrary.org/obo/UBERON_0002110	gallbladder
http://purl.obolibrary.org/obo/MP_0020082	increased hippocampus volume	http://purl.obolibrary.org/obo/UBERON_0001954	Ammon's horn
http://purl.obolibrary.org/obo/MP_0002590	increased mean corpuscular volume	http://purl.obolibrary.org/obo/CL_0000232	erythrocyte
http://purl.obolibrary.org/obo/MP_0002599	increased mean platelet volume	http://purl.obolibrary.org/obo/CL_0000233	platelet
http://purl.obolibrary.org/obo/MP_0020068	increased neocortex volume	http://purl.obolibrary.org/obo/UBERON_0001950	neocortex
http://purl.obolibrary.org/obo/MP_0010926	increased osteoid volume	http://purl.obolibrary.org/obo/UBERON_0008883	osteoid
http://purl.obolibrary.org/obo/MP_0010878	increased trabecular bone volume	http://purl.obolibrary.org/obo/UBERON_0002483	trabecular bone tissue
http://purl.obolibrary.org/obo/MP_0001183	overexpanded pulmonary alveolus	http://purl.obolibrary.org/obo/UBERON_0006524	alveolar system
