defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/MP_0000263	absent organized vascular network	http://purl.obolibrary.org/obo/UBERON_0007798	vascular system
http://purl.obolibrary.org/obo/MP_0000861	disorganized barrel cortex	http://purl.obolibrary.org/obo/UBERON_0010415	barrel cortex
http://purl.obolibrary.org/obo/MP_0020859	disorganized cornea epithelium	http://purl.obolibrary.org/obo/UBERON_0001772	corneal epithelium
http://purl.obolibrary.org/obo/MP_0008442	disorganized cortical plate	http://purl.obolibrary.org/obo/UBERON_0005343	cortical plate
http://purl.obolibrary.org/obo/MP_0000962	disorganized dorsal root ganglion	http://purl.obolibrary.org/obo/UBERON_0000044	dorsal root ganglion
http://purl.obolibrary.org/obo/MP_0003988	disorganized embryonic tissue	http://purl.obolibrary.org/obo/UBERON_0005291	embryonic tissue
http://purl.obolibrary.org/obo/MP_0002582	disorganized extraembryonic tissue	http://purl.obolibrary.org/obo/UBERON_0000478	extraembryonic structure
http://purl.obolibrary.org/obo/MP_0010142	disorganized hair shaft	http://purl.obolibrary.org/obo/UBERON_0002074	hair shaft
http://purl.obolibrary.org/obo/MP_0000387	disorganized inner root sheath cells	http://purl.obolibrary.org/obo/CL_0002560	inner root sheath cell
http://purl.obolibrary.org/obo/MP_0006397	disorganized long bone epiphyseal plate	http://purl.obolibrary.org/obo/UBERON_0002516	epiphyseal plate
http://purl.obolibrary.org/obo/MP_0011636	disorganized mitochondrial cristae	http://purl.obolibrary.org/obo/GO_0030061	mitochondrial crista
http://purl.obolibrary.org/obo/MP_0002190	disorganized myocardium	http://purl.obolibrary.org/obo/UBERON_0002349	myocardium
http://purl.obolibrary.org/obo/MP_0000389	disorganized outer root sheath cells	http://purl.obolibrary.org/obo/CL_0002561	outer root sheath cell
http://purl.obolibrary.org/obo/MP_0009254	disorganized pancreatic islets	http://purl.obolibrary.org/obo/UBERON_0000006	islet of Langerhans
http://purl.obolibrary.org/obo/MP_0008581	disorganized photoreceptor inner segment	http://purl.obolibrary.org/obo/GO_0001917	photoreceptor inner segment
http://purl.obolibrary.org/obo/MP_0008586	disorganized photoreceptor outer segment	http://purl.obolibrary.org/obo/GO_0001750	photoreceptor outer segment
http://purl.obolibrary.org/obo/MP_0011527	disorganized placental labyrinth	http://purl.obolibrary.org/obo/UBERON_0003946	placenta labyrinth
http://purl.obolibrary.org/obo/MP_0008509	disorganized retina ganglion layer	http://purl.obolibrary.org/obo/UBERON_0001792	ganglionic layer of retina
http://purl.obolibrary.org/obo/MP_0008512	disorganized retina inner nuclear layer	http://purl.obolibrary.org/obo/UBERON_0001791	inner nuclear layer of retina
http://purl.obolibrary.org/obo/MP_0008516	disorganized retina outer nuclear layer	http://purl.obolibrary.org/obo/UBERON_0001789	outer nuclear layer of retina
http://purl.obolibrary.org/obo/MP_0008520	disorganized retina outer plexiform layer	http://purl.obolibrary.org/obo/UBERON_0001790	outer plexiform layer of retina
http://purl.obolibrary.org/obo/MP_0005210	disorganized stomach mucosa	http://purl.obolibrary.org/obo/UBERON_0001199	mucosa of stomach
http://purl.obolibrary.org/obo/MP_0001235	disorganized suprabasal layer	http://purl.obolibrary.org/obo/UBERON_0010402	epidermis suprabasal layer
http://purl.obolibrary.org/obo/MP_0006419	disorganized testis cords	http://purl.obolibrary.org/obo/UBERON_0005297	testis sex cord
http://purl.obolibrary.org/obo/MP_0020530	disorganized thalamus	http://purl.obolibrary.org/obo/UBERON_0001897	dorsal plus ventral thalamus
http://purl.obolibrary.org/obo/MP_0000608	dissociated hepatocytes	http://purl.obolibrary.org/obo/CL_0000182	hepatocyte
http://purl.obolibrary.org/obo/MP_0031613	fetal cardiomyocyte disarray	http://purl.obolibrary.org/obo/CL_0002495	fetal cardiomyocyte
http://purl.obolibrary.org/obo/MP_0031131	myocardial fiber disarray	http://purl.obolibrary.org/obo/CL_0000746	cardiac muscle cell
