defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/MP_0013249	adipose tissue necrosis	http://purl.obolibrary.org/obo/UBERON_0001013	adipose tissue
http://purl.obolibrary.org/obo/MP_0020225	bone necrosis	http://purl.obolibrary.org/obo/UBERON_0002481	bone tissue
http://purl.obolibrary.org/obo/MP_0010632	cardiac muscle necrosis	http://purl.obolibrary.org/obo/UBERON_0001133	cardiac muscle tissue
http://purl.obolibrary.org/obo/MP_0001652	colonic necrosis	http://purl.obolibrary.org/obo/UBERON_0001155	colon
http://purl.obolibrary.org/obo/MP_0013251	dental pulp necrosis	http://purl.obolibrary.org/obo/UBERON_0001754	dental pulp
http://purl.obolibrary.org/obo/MP_0013241	embryo tissue necrosis	http://purl.obolibrary.org/obo/UBERON_0005291	embryonic tissue
http://purl.obolibrary.org/obo/MP_0001220	epidermal necrosis	http://purl.obolibrary.org/obo/UBERON_0001003	skin epidermis
http://purl.obolibrary.org/obo/MP_0001653	gastric necrosis	http://purl.obolibrary.org/obo/UBERON_0000945	stomach
http://purl.obolibrary.org/obo/MP_0013252	head mesenchyme necrosis	http://purl.obolibrary.org/obo/UBERON_0005253	head mesenchyme
http://purl.obolibrary.org/obo/MP_0001654	hepatic necrosis	http://purl.obolibrary.org/obo/UBERON_0002107	liver
http://purl.obolibrary.org/obo/MP_0014147	lacrimal gland necrosis	http://purl.obolibrary.org/obo/UBERON_0001817	lacrimal gland
http://purl.obolibrary.org/obo/MP_0031052	lymph node necrosis	http://purl.obolibrary.org/obo/UBERON_0000029	lymph node
http://purl.obolibrary.org/obo/MP_0006085	myocardium necrosis	http://purl.obolibrary.org/obo/UBERON_0002349	myocardium
http://purl.obolibrary.org/obo/MP_0011291	nephron necrosis	http://purl.obolibrary.org/obo/UBERON_0001285	nephron
http://purl.obolibrary.org/obo/MP_0013253	outer ear necrosis	http://purl.obolibrary.org/obo/UBERON_0001691	external ear
http://purl.obolibrary.org/obo/MP_0009148	pancreas necrosis	http://purl.obolibrary.org/obo/UBERON_0001264	pancreas
http://purl.obolibrary.org/obo/MP_0030515	periodontal ligament necrosis	http://purl.obolibrary.org/obo/UBERON_0008266	periodontal ligament
http://purl.obolibrary.org/obo/MP_0013248	placenta junctional zone necrosis	http://purl.obolibrary.org/obo/UBERON_0003972	placenta junctional zone
http://purl.obolibrary.org/obo/MP_0013247	placenta necrosis	http://purl.obolibrary.org/obo/UBERON_0001987	placenta
http://purl.obolibrary.org/obo/MP_0010858	pulmonary epithelial necrosis	http://purl.obolibrary.org/obo/UBERON_0000115	lung epithelium
http://purl.obolibrary.org/obo/MP_0010857	pulmonary necrosis	http://purl.obolibrary.org/obo/UBERON_0002048	lung
http://purl.obolibrary.org/obo/MP_0003946	renal necrosis	http://purl.obolibrary.org/obo/UBERON_0002113	kidney
http://purl.obolibrary.org/obo/MP_0004154	renal tubular necrosis	http://purl.obolibrary.org/obo/UBERON_0001231	nephron tubule
http://purl.obolibrary.org/obo/MP_0009414	skeletal muscle fiber necrosis	http://purl.obolibrary.org/obo/CL_0000188	cell of skeletal muscle
http://purl.obolibrary.org/obo/MP_0003852	skeletal muscle necrosis	http://purl.obolibrary.org/obo/UBERON_0001134	skeletal muscle tissue
http://purl.obolibrary.org/obo/MP_0013178	tail necrosis	http://purl.obolibrary.org/obo/UBERON_0002415	tail
