defined_class	defined_class_label	biological_process	biological_process_label	location	location_label
http://purl.obolibrary.org/obo/WBPhenotype_0000097	AB lineage variant	http://purl.obolibrary.org/obo/GO_0032502	developmental process	http://purl.obolibrary.org/obo/WBbt_0008611	AB lineage cell
http://purl.obolibrary.org/obo/WBPhenotype_0000830	B lineage variant	http://purl.obolibrary.org/obo/GO_0032502	developmental process	http://purl.obolibrary.org/obo/WBbt_0008608	B lineage cell
http://purl.obolibrary.org/obo/WBPhenotype_0000832	C lineage variant	http://purl.obolibrary.org/obo/GO_0032502	developmental process	http://purl.obolibrary.org/obo/WBbt_0008588	C lineage cell
http://purl.obolibrary.org/obo/WBPhenotype_0000935	D lineage variant	http://purl.obolibrary.org/obo/GO_0032502	developmental process	http://purl.obolibrary.org/obo/WBbt_0008589	D lineage cell
http://purl.obolibrary.org/obo/WBPhenotype_0000834	E lineage variant	http://purl.obolibrary.org/obo/GO_0032502	developmental process	http://purl.obolibrary.org/obo/WBbt_0005208	E lineage cell
http://purl.obolibrary.org/obo/WBPhenotype_0000095	M lineage variant	http://purl.obolibrary.org/obo/GO_0032502	developmental process	http://purl.obolibrary.org/obo/WBbt_0008439	M lineage cell
http://purl.obolibrary.org/obo/WBPhenotype_0000933	MS lineage variant	http://purl.obolibrary.org/obo/GO_0032502	developmental process	http://purl.obolibrary.org/obo/WBbt_0008627	MS lineage cell
http://purl.obolibrary.org/obo/WBPhenotype_0000099	P lineages variant	http://purl.obolibrary.org/obo/GO_0032502	developmental process	http://purl.obolibrary.org/obo/WBbt_0008590	P lineage cell
http://purl.obolibrary.org/obo/WBPhenotype_0000829	Q lineage variant	http://purl.obolibrary.org/obo/GO_0032502	developmental process	http://purl.obolibrary.org/obo/WBbt_0008593	Q lineage cell
http://purl.obolibrary.org/obo/WBPhenotype_0000974	accessory cell physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological process	http://purl.obolibrary.org/obo/WBbt_0005762	accessory cell
http://purl.obolibrary.org/obo/WBPhenotype_0000974	accessory cell physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological_process	http://purl.obolibrary.org/obo/WBbt_0005762	accessory cell
http://purl.obolibrary.org/obo/WBPhenotype_0000168	alae secretion variant	http://purl.obolibrary.org/obo/GO_0046903	secretion	http://purl.obolibrary.org/obo/WBbt_0007832	cuticular ala
http://purl.obolibrary.org/obo/WBPhenotype_0000606	alimentary system physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological process	http://purl.obolibrary.org/obo/WBbt_0005748	alimentary system
http://purl.obolibrary.org/obo/WBPhenotype_0000606	alimentary system physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological_process	http://purl.obolibrary.org/obo/WBbt_0005748	alimentary system
http://purl.obolibrary.org/obo/WBPhenotype_0000849	amphid physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological process	http://purl.obolibrary.org/obo/WBbt_0005391	amphid sensillum
http://purl.obolibrary.org/obo/WBPhenotype_0000849	amphid physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological_process	http://purl.obolibrary.org/obo/WBbt_0005391	amphid sensillum
http://purl.obolibrary.org/obo/WBPhenotype_0000865	amphid sheath cell physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological process	http://purl.obolibrary.org/obo/WBbt_0006754	amphid sheath cell
http://purl.obolibrary.org/obo/WBPhenotype_0000865	amphid sheath cell physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological_process	http://purl.obolibrary.org/obo/WBbt_0006754	amphid sheath cell
http://purl.obolibrary.org/obo/WBPhenotype_0000985	blast cell physiology phenotype	http://purl.obolibrary.org/obo/GO_0008150	biological process	http://purl.obolibrary.org/obo/WBbt_0006783	blast cell
http://purl.obolibrary.org/obo/WBPhenotype_0000985	blast cell physiology phenotype	http://purl.obolibrary.org/obo/GO_0008150	biological_process	http://purl.obolibrary.org/obo/WBbt_0006783	blast cell
http://purl.obolibrary.org/obo/WBPhenotype_0000153	body wall muscle contraction abnormal	http://purl.obolibrary.org/obo/GO_0006936	muscle contraction	http://purl.obolibrary.org/obo/WBbt_0005813	body wall musculature
http://purl.obolibrary.org/obo/WBPhenotype_0000861	body wall muscle development variant	http://purl.obolibrary.org/obo/GO_0032502	developmental process	http://purl.obolibrary.org/obo/WBbt_0006804	body wall muscle cell
http://purl.obolibrary.org/obo/WBPhenotype_0001292	body wall muscle physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological process	http://purl.obolibrary.org/obo/WBbt_0006804	body wall muscle cell
http://purl.obolibrary.org/obo/WBPhenotype_0001292	body wall muscle physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological_process	http://purl.obolibrary.org/obo/WBbt_0006804	body wall muscle cell
http://purl.obolibrary.org/obo/WBPhenotype_0001192	calcium signaling in pharynx variant	http://purl.obolibrary.org/obo/GO_0019722	calcium-mediated signaling	http://purl.obolibrary.org/obo/WBbt_0003681	pharynx
http://purl.obolibrary.org/obo/WBPhenotype_0002538	calcium signaling in spermatheca variant	http://purl.obolibrary.org/obo/GO_0019722	calcium-mediated signaling	http://purl.obolibrary.org/obo/WBbt_0005319	spermatheca
http://purl.obolibrary.org/obo/WBPhenotype_0000536	cell physiology phenotype	http://purl.obolibrary.org/obo/GO_0008150	biological process	http://purl.obolibrary.org/obo/WBbt_0004017	Cell
http://purl.obolibrary.org/obo/WBPhenotype_0000536	cell physiology phenotype	http://purl.obolibrary.org/obo/GO_0008150	biological_process	http://purl.obolibrary.org/obo/WBbt_0004017	Cell
http://purl.obolibrary.org/obo/WBPhenotype_0000851	ciliated neuron physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological process	http://purl.obolibrary.org/obo/WBbt_0006816	ciliated neuron
http://purl.obolibrary.org/obo/WBPhenotype_0000851	ciliated neuron physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological_process	http://purl.obolibrary.org/obo/WBbt_0006816	ciliated neuron
http://purl.obolibrary.org/obo/WBPhenotype_0000607	coelomic system physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological process	http://purl.obolibrary.org/obo/WBbt_0005749	coelomic system
http://purl.obolibrary.org/obo/WBPhenotype_0000607	coelomic system physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological_process	http://purl.obolibrary.org/obo/WBbt_0005749	coelomic system
http://purl.obolibrary.org/obo/WBPhenotype_0001423	coelomocyte physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological process	http://purl.obolibrary.org/obo/WBbt_0005751	coelomocyte
http://purl.obolibrary.org/obo/WBPhenotype_0001423	coelomocyte physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological_process	http://purl.obolibrary.org/obo/WBbt_0005751	coelomocyte
http://purl.obolibrary.org/obo/WBPhenotype_0000763	embryonic cell physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological process	http://purl.obolibrary.org/obo/WBbt_0007028	embryonic cell
http://purl.obolibrary.org/obo/WBPhenotype_0000763	embryonic cell physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological_process	http://purl.obolibrary.org/obo/WBbt_0007028	embryonic cell
http://purl.obolibrary.org/obo/WBPhenotype_0001352	endoplasmic reticulum metabolism variant	http://purl.obolibrary.org/obo/GO_0008152	metabolic process	http://purl.obolibrary.org/obo/GO_0005783	endoplasmic reticulum
http://purl.obolibrary.org/obo/WBPhenotype_0000986	epithelial cell physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological process	http://purl.obolibrary.org/obo/WBbt_0003672	epithelial cell
http://purl.obolibrary.org/obo/WBPhenotype_0000986	epithelial cell physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological_process	http://purl.obolibrary.org/obo/WBbt_0003672	epithelial cell
http://purl.obolibrary.org/obo/WBPhenotype_0000608	epithelial system physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological process	http://purl.obolibrary.org/obo/WBbt_0005730	epithelial system
http://purl.obolibrary.org/obo/WBPhenotype_0000608	epithelial system physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological_process	http://purl.obolibrary.org/obo/WBbt_0005730	epithelial system
http://purl.obolibrary.org/obo/WBPhenotype_0000609	excretory secretory system physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological process	http://purl.obolibrary.org/obo/WBbt_0006850	excretory secretory system
http://purl.obolibrary.org/obo/WBPhenotype_0000609	excretory secretory system physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological_process	http://purl.obolibrary.org/obo/WBbt_0006850	excretory secretory system
http://purl.obolibrary.org/obo/WBPhenotype_0000610	excretory system physiology variant	http://purl.obolibrary.org/obo/GO_0008150	biological process	http://purl.obolibrary.org/obo/WBbt_0005736	excretory system
