defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/WBPhenotype_0000884	AWB morphology variant	http://purl.obolibrary.org/obo/WBbt_0005671	AWB
http://purl.obolibrary.org/obo/WBPhenotype_0001301	P granule abnormal	http://purl.obolibrary.org/obo/GO_0043186	P granule
http://purl.obolibrary.org/obo/WBPhenotype_0000969	accessory cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0005762	accessory cell
http://purl.obolibrary.org/obo/WBPhenotype_0001354	actin cytoskeleton filament morphology phenotype	http://purl.obolibrary.org/obo/GO_0005884	actin filament
http://purl.obolibrary.org/obo/WBPhenotype_0001412	alae morphology variant	http://purl.obolibrary.org/obo/WBbt_0007832	cuticular ala
http://purl.obolibrary.org/obo/WBPhenotype_0000598	alimentary system morphology variant	http://purl.obolibrary.org/obo/WBbt_0005748	alimentary system
http://purl.obolibrary.org/obo/WBPhenotype_0000256	amphid neuron morphology variant	http://purl.obolibrary.org/obo/WBbt_0005391	amphid sensillum
http://purl.obolibrary.org/obo/WBPhenotype_0000300	amphid sheath cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0006754	amphid sheath cell
http://purl.obolibrary.org/obo/WBPhenotype_0001517	annulae morphology variant	http://purl.obolibrary.org/obo/GO_0060107	annuli extracellular matrix
http://purl.obolibrary.org/obo/WBPhenotype_0000907	anus morphology variant	http://purl.obolibrary.org/obo/WBbt_0005364	anus
http://purl.obolibrary.org/obo/WBPhenotype_0000180	axon morphology variant	http://purl.obolibrary.org/obo/GO_0030424	axon
http://purl.obolibrary.org/obo/WBPhenotype_0000262	axoneme morphology variant	http://purl.obolibrary.org/obo/GO_0005930	axoneme
http://purl.obolibrary.org/obo/WBPhenotype_0000913	basal lamina morphology variant	http://purl.obolibrary.org/obo/GO_0005604	basement membrane
http://purl.obolibrary.org/obo/WBPhenotype_0000898	blast cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0006783	blast cell
http://purl.obolibrary.org/obo/WBPhenotype_0000581	body axis morphology variant	http://purl.obolibrary.org/obo/WBbt_0005768	axis
http://purl.obolibrary.org/obo/WBPhenotype_0000072	body morphology variant	http://purl.obolibrary.org/obo/WBbt_0005740	midbody
http://purl.obolibrary.org/obo/WBPhenotype_0000532	body region morphology variant	http://purl.obolibrary.org/obo/WBbt_0005738	body region
http://purl.obolibrary.org/obo/WBPhenotype_0000926	body wall muscle morphology variant	http://purl.obolibrary.org/obo/WBbt_0005813	body wall musculature
http://purl.obolibrary.org/obo/WBPhenotype_0001657	cell junction variant	http://purl.obolibrary.org/obo/GO_0030054	cell junction
http://purl.obolibrary.org/obo/WBPhenotype_0001399	cell membrane morphology variant	http://purl.obolibrary.org/obo/GO_0005886	plasma membrane
http://purl.obolibrary.org/obo/WBPhenotype_0000533	cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0004017	Cell
http://purl.obolibrary.org/obo/WBPhenotype_0001530	cephalic sensillum morphology variant	http://purl.obolibrary.org/obo/WBbt_0006920	cephalic sensillum
http://purl.obolibrary.org/obo/WBPhenotype_0001348	chromosome morphology variant	http://purl.obolibrary.org/obo/GO_0005694	chromosome
http://purl.obolibrary.org/obo/WBPhenotype_0000615	cilia morphology variant	http://purl.obolibrary.org/obo/GO_0005929	cilium
http://purl.obolibrary.org/obo/WBPhenotype_0001526	ciliated neuron morphology variant	http://purl.obolibrary.org/obo/WBbt_0006816	ciliated neuron
http://purl.obolibrary.org/obo/WBPhenotype_0000908	cloacal morphology variant	http://purl.obolibrary.org/obo/WBbt_0005774	cloaca
http://purl.obolibrary.org/obo/WBPhenotype_0000599	coelomic system morphology variant	http://purl.obolibrary.org/obo/WBbt_0005749	coelomic system
http://purl.obolibrary.org/obo/WBPhenotype_0000911	coelomocyte morphology variant	http://purl.obolibrary.org/obo/WBbt_0005751	coelomocyte
http://purl.obolibrary.org/obo/WBPhenotype_0000492	corpus morphology defective	http://purl.obolibrary.org/obo/WBbt_0003733	corpus
http://purl.obolibrary.org/obo/WBPhenotype_0000948	cuticle morphology variant	http://purl.obolibrary.org/obo/WBbt_0005755	cuticle
http://purl.obolibrary.org/obo/WBPhenotype_0001794	cytoplasmic processing body variant	http://purl.obolibrary.org/obo/GO_0000932	P-body
http://purl.obolibrary.org/obo/WBPhenotype_0001535	deirid sensillum morphology variant	http://purl.obolibrary.org/obo/WBbt_0006926	deirid sensillum
http://purl.obolibrary.org/obo/WBPhenotype_0002647	dendrite morphology variant	http://purl.obolibrary.org/obo/GO_0030425	dendrite
http://purl.obolibrary.org/obo/WBPhenotype_0000196	distal tip cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0006865	distal tip cell
http://purl.obolibrary.org/obo/WBPhenotype_0002092	early endosome morphology variant	http://purl.obolibrary.org/obo/GO_0005769	early endosome
http://purl.obolibrary.org/obo/WBPhenotype_0001836	eggshell morphology variant	http://purl.obolibrary.org/obo/WBbt_0005843	eggshell
http://purl.obolibrary.org/obo/WBPhenotype_0000770	embryonic cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0007028	embryonic cell
http://purl.obolibrary.org/obo/WBPhenotype_0001880	endoplasmic reticulum morphology variant	http://purl.obolibrary.org/obo/GO_0005783	endoplasmic reticulum
http://purl.obolibrary.org/obo/WBPhenotype_0002090	endosome morphology variant	http://purl.obolibrary.org/obo/GO_0005768	endosome
http://purl.obolibrary.org/obo/WBPhenotype_0000899	epithelial cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0003672	epithelial cell
http://purl.obolibrary.org/obo/WBPhenotype_0000600	epithelial system morphology variant	http://purl.obolibrary.org/obo/WBbt_0005730	epithelial system
http://purl.obolibrary.org/obo/WBPhenotype_0000704	excretory canal morphology variant	http://purl.obolibrary.org/obo/WBbt_0005775	excretory canal
http://purl.obolibrary.org/obo/WBPhenotype_0000916	excretory cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0005812	excretory cell
http://purl.obolibrary.org/obo/WBPhenotype_0000917	excretory duct cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0004540	excretory duct cell
http://purl.obolibrary.org/obo/WBPhenotype_0000914	excretory gland cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0005776	excretory gland cell
http://purl.obolibrary.org/obo/WBPhenotype_0000601	excretory secretory system morphology variant	http://purl.obolibrary.org/obo/WBbt_0005736	excretory system
http://purl.obolibrary.org/obo/WBPhenotype_0000918	excretory socket cell morphology variant	http://purl.obolibrary.org/obo/WBbt_0004534	excretory socket cell
http://purl.obolibrary.org/obo/WBPhenotype_0001523	extracellular matrix variant	http://purl.obolibrary.org/obo/GO_0031012	extracellular matrix
