defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/XPO_0133043	abnormal development of B cell	http://purl.obolibrary.org/obo/XAO_0003158	B-cell
http://purl.obolibrary.org/obo/XPO_0132791	abnormal development of Bowman's gland	http://purl.obolibrary.org/obo/XAO_0005075	Bowman's gland
http://purl.obolibrary.org/obo/XPO_0133098	abnormal development of Brachet's cleft	http://purl.obolibrary.org/obo/XAO_0004456	Brachet's cleft
http://purl.obolibrary.org/obo/XPO_0133316	abnormal development of Eberth-Kastschenko layer	http://purl.obolibrary.org/obo/XAO_0005036	Eberth-Kastschenko layer
http://purl.obolibrary.org/obo/XPO_0132722	abnormal development of Jacobson's organ	http://purl.obolibrary.org/obo/XAO_0000272	Jacobson's organ
http://purl.obolibrary.org/obo/XPO_0132307	abnormal development of Jacobson's vein	http://purl.obolibrary.org/obo/XAO_0004257	Jacobson's vein
http://purl.obolibrary.org/obo/XPO_0133175	abnormal development of Leydig cell	http://purl.obolibrary.org/obo/XAO_0004405	Leydig cell
http://purl.obolibrary.org/obo/XPO_0132892	abnormal development of M band	http://purl.obolibrary.org/obo/XAO_0005312	M band
http://purl.obolibrary.org/obo/XPO_0132239	abnormal development of Mauthner cell	http://purl.obolibrary.org/obo/XAO_0005035	Mauthner cell
http://purl.obolibrary.org/obo/XPO_0133039	abnormal development of Meckel's cartilage	http://purl.obolibrary.org/obo/XAO_0003085	Meckel's cartilage
http://purl.obolibrary.org/obo/XPO_0132614	abnormal development of Merkel cell	http://purl.obolibrary.org/obo/XAO_0003254	Merkel cell
http://purl.obolibrary.org/obo/XPO_0132698	abnormal development of Muller cell	http://purl.obolibrary.org/obo/XAO_0005007	Mueller cell
http://purl.obolibrary.org/obo/XPO_0132723	abnormal development of Mullerian duct	http://purl.obolibrary.org/obo/XAO_0000330	Mullerian duct
http://purl.obolibrary.org/obo/XPO_0133229	abnormal development of Rathke's pouch	http://purl.obolibrary.org/obo/XAO_0000430	Rathke's pouch
http://purl.obolibrary.org/obo/XPO_0133128	abnormal development of Rohon-Beard neuron	http://purl.obolibrary.org/obo/XAO_0003022	Rohon-Beard neuron
http://purl.obolibrary.org/obo/XPO_0133042	abnormal development of Roux spot	http://purl.obolibrary.org/obo/XAO_0005290	Roux spot
http://purl.obolibrary.org/obo/XPO_0132941	abnormal development of Schwann cell	http://purl.obolibrary.org/obo/XAO_0005044	Schwann cell
http://purl.obolibrary.org/obo/XPO_0132409	abnormal development of Stirnorgan	http://purl.obolibrary.org/obo/XAO_0001012	Stirnorgan
http://purl.obolibrary.org/obo/XPO_0132408	abnormal development of T cell	http://purl.obolibrary.org/obo/XAO_0003157	T-cell
http://purl.obolibrary.org/obo/XPO_0132827	abnormal development of abdominal myoblast	http://purl.obolibrary.org/obo/XAO_0001016	abdominal myoblast
http://purl.obolibrary.org/obo/XPO_0142012	abnormal development of abdominal wall	http://purl.obolibrary.org/obo/XAO_0005504	abdominal wall
http://purl.obolibrary.org/obo/XPO_0133070	abnormal development of abducens nerve	http://purl.obolibrary.org/obo/XAO_0003093	abducens nerve
http://purl.obolibrary.org/obo/XPO_0132074	abnormal development of absorptive cell	http://purl.obolibrary.org/obo/XAO_0003231	absorptive cell
http://purl.obolibrary.org/obo/XPO_0132471	abnormal development of accessory nerve	http://purl.obolibrary.org/obo/XAO_0004214	accessory nerve
http://purl.obolibrary.org/obo/XPO_0132725	abnormal development of accessory olfactory bulb	http://purl.obolibrary.org/obo/XAO_0004530	accessory olfactory bulb
http://purl.obolibrary.org/obo/XPO_0131940	abnormal development of acellular anatomical structure	http://purl.obolibrary.org/obo/XAO_0003162	acellular anatomical structure
http://purl.obolibrary.org/obo/XPO_0132050	abnormal development of acellular bone tissue	http://purl.obolibrary.org/obo/XAO_0005001	acellular bone tissue
http://purl.obolibrary.org/obo/XPO_0133101	abnormal development of acid secreting cell	http://purl.obolibrary.org/obo/XAO_0003232	acid secreting cell
http://purl.obolibrary.org/obo/XPO_0133007	abnormal development of acinar cell	http://purl.obolibrary.org/obo/XAO_0003233	acinar cell
http://purl.obolibrary.org/obo/XPO_0132231	abnormal development of actin cytoskeleton	http://purl.obolibrary.org/obo/XAO_0005313	actin cytoskeleton
http://purl.obolibrary.org/obo/XPO_0133198	abnormal development of actin filament	http://purl.obolibrary.org/obo/XAO_0005319	actin filament
http://purl.obolibrary.org/obo/XPO_0132031	abnormal development of adenohypophyseal placode	http://purl.obolibrary.org/obo/XAO_0004208	adenohypophyseal placode
http://purl.obolibrary.org/obo/XPO_0132644	abnormal development of adenohypophysis	http://purl.obolibrary.org/obo/XAO_0005186	adenohypophysis
http://purl.obolibrary.org/obo/XPO_0133215	abnormal development of adherens junction	http://purl.obolibrary.org/obo/XAO_0005296	adherens junction
http://purl.obolibrary.org/obo/XPO_0132358	abnormal development of adipose tissue	http://purl.obolibrary.org/obo/XAO_0003049	adipose tissue
http://purl.obolibrary.org/obo/XPO_0133118	abnormal development of adrenal cortex	http://purl.obolibrary.org/obo/XAO_0000165	adrenal cortex
http://purl.obolibrary.org/obo/XPO_0131815	abnormal development of adrenal gland	http://purl.obolibrary.org/obo/XAO_0000164	adrenal gland
http://purl.obolibrary.org/obo/XPO_0132871	abnormal development of adrenal medulla	http://purl.obolibrary.org/obo/XAO_0000166	adrenal medulla
http://purl.obolibrary.org/obo/XPO_0133041	abnormal development of adult immune system	http://purl.obolibrary.org/obo/XAO_0003154	adult immune system
http://purl.obolibrary.org/obo/XPO_0132890	abnormal development of adult intestinal epithelium	http://purl.obolibrary.org/obo/XAO_0005004	adult intestinal epithelium
http://purl.obolibrary.org/obo/XPO_0131822	abnormal development of adult kidney	http://purl.obolibrary.org/obo/XAO_0005244	adult kidney
http://purl.obolibrary.org/obo/XPO_0132442	abnormal development of adult thrombocyte	http://purl.obolibrary.org/obo/XAO_0005268	adult thrombocyte
http://purl.obolibrary.org/obo/XPO_0132519	abnormal development of afferent neuron	http://purl.obolibrary.org/obo/XAO_0005229	afferent neuron
http://purl.obolibrary.org/obo/XPO_0131927	abnormal development of alimentary system	http://purl.obolibrary.org/obo/XAO_0000125	alimentary system
http://purl.obolibrary.org/obo/XPO_0132804	abnormal development of alkali secreting cell	http://purl.obolibrary.org/obo/XAO_0003234	alkali secreting cell
http://purl.obolibrary.org/obo/XPO_0132260	abnormal development of alpha cell	http://purl.obolibrary.org/obo/XAO_0005164	alpha cell
http://purl.obolibrary.org/obo/XPO_0132524	abnormal development of amacrine cell	http://purl.obolibrary.org/obo/XAO_0004099	amacrine cell
http://purl.obolibrary.org/obo/XPO_0132980	abnormal development of amphibian papilla	http://purl.obolibrary.org/obo/XAO_0003144	amphibian papilla
http://purl.obolibrary.org/obo/XPO_0132172	abnormal development of ampullary nerve	http://purl.obolibrary.org/obo/XAO_0004058	ampullary nerve
http://purl.obolibrary.org/obo/XPO_0132312	abnormal development of amputated fin	http://purl.obolibrary.org/obo/XAO_0004318	amputated fin
http://purl.obolibrary.org/obo/XPO_0132340	abnormal development of amputated limb	http://purl.obolibrary.org/obo/XAO_0004319	amputated limb
http://purl.obolibrary.org/obo/XPO_0132313	abnormal development of amputated tissue	http://purl.obolibrary.org/obo/XAO_0004317	amputated tissue
http://purl.obolibrary.org/obo/XPO_0132063	abnormal development of amygdala	http://purl.obolibrary.org/obo/XAO_0004531	amygdala
http://purl.obolibrary.org/obo/XPO_0132559	abnormal development of anatomical axis	http://purl.obolibrary.org/obo/XAO_0005200	anatomical axis
http://purl.obolibrary.org/obo/XPO_0131774	abnormal development of anatomical cluster	http://purl.obolibrary.org/obo/XAO_0003160	anatomical cluster
http://purl.obolibrary.org/obo/XPO_0131807	abnormal development of anatomical group	http://purl.obolibrary.org/obo/XAO_0003001	anatomical group
http://purl.obolibrary.org/obo/XPO_0131975	abnormal development of anatomical line	http://purl.obolibrary.org/obo/XAO_0004003	anatomical line
http://purl.obolibrary.org/obo/XPO_0131765	abnormal development of anatomical region	http://purl.obolibrary.org/obo/XAO_0003186	anatomical region
http://purl.obolibrary.org/obo/XPO_0131798	abnormal development of anatomical space	http://purl.obolibrary.org/obo/XAO_0003190	anatomical space
http://purl.obolibrary.org/obo/XPO_0131760	abnormal development of anatomical structure	http://purl.obolibrary.org/obo/XAO_0003000	anatomical structure
