defined_class	defined_class_label	molecular_function	molecular_function_label
http://purl.obolibrary.org/obo/XPO_0131692	abnormal MAP kinase activity	http://purl.obolibrary.org/obo/GO_0004707	MAP kinase activity
http://purl.obolibrary.org/obo/XPO_0131693	abnormal NAD-retinol dehydrogenase activity	http://purl.obolibrary.org/obo/GO_0004745	all-trans-retinol dehydrogenase (NAD+) activity
http://purl.obolibrary.org/obo/XPO_0131694	abnormal RNA polymerase II activity	http://purl.obolibrary.org/obo/GO_0001055	RNA polymerase II activity
http://purl.obolibrary.org/obo/XPO_0141809	abnormal catalytic activity	http://purl.obolibrary.org/obo/GO_0003824	catalytic activity
http://purl.obolibrary.org/obo/XPO_0141810	abnormal cyclase activity	http://purl.obolibrary.org/obo/GO_0009975	cyclase activity
http://purl.obolibrary.org/obo/XPO_0133392	abnormal cysteine-type endopeptidase activity	http://purl.obolibrary.org/obo/GO_0004197	cysteine-type endopeptidase activity
http://purl.obolibrary.org/obo/XPO_0141817	abnormal demethylase activity	http://purl.obolibrary.org/obo/GO_0032451	demethylase activity
http://purl.obolibrary.org/obo/XPO_0141878	abnormal histamine oxidase activity	http://purl.obolibrary.org/obo/GO_0052598	histamine oxidase activity
http://purl.obolibrary.org/obo/XPO_0141957	abnormal histone kinase activity	http://purl.obolibrary.org/obo/GO_0035173	histone kinase activity
http://purl.obolibrary.org/obo/XPO_0141813	abnormal hydrolase activity	http://purl.obolibrary.org/obo/GO_0016787	hydrolase activity
http://purl.obolibrary.org/obo/XPO_0141815	abnormal isomerase activity	http://purl.obolibrary.org/obo/GO_0016853	isomerase activity
http://purl.obolibrary.org/obo/XPO_0141816	abnormal ligase activity	http://purl.obolibrary.org/obo/GO_0016874	ligase activity
http://purl.obolibrary.org/obo/XPO_0141814	abnormal lyase activity	http://purl.obolibrary.org/obo/GO_0016829	lyase activity
http://purl.obolibrary.org/obo/XPO_0131691	abnormal molecular function	http://purl.obolibrary.org/obo/GO_0003674	gene product or complex activity
http://purl.obolibrary.org/obo/XPO_0131691	abnormal molecular function	http://purl.obolibrary.org/obo/GO_0003674	molecular_function
http://purl.obolibrary.org/obo/XPO_0141811	abnormal oxidoreductase activity	http://purl.obolibrary.org/obo/GO_0016491	oxidoreductase activity
http://purl.obolibrary.org/obo/XPO_0141818	abnormal peptidoglycan muralytic activity	http://purl.obolibrary.org/obo/GO_0061783	peptidoglycan muralytic activity
http://purl.obolibrary.org/obo/XPO_0133391	abnormal ribosomal protein S6 kinase activity	http://purl.obolibrary.org/obo/GO_0004711	ribosomal protein S6 kinase activity
http://purl.obolibrary.org/obo/XPO_0141812	abnormal transferase activity	http://purl.obolibrary.org/obo/GO_0016740	transferase activity
