defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	anatomical_entity_fused_with	anatomical_entity_fused_with_label
http://purl.obolibrary.org/obo/XPO_0133363	anterior branchial crest fused with posterior branchial crest	http://purl.obolibrary.org/obo/XAO_0004187	anterior branchial crest	http://purl.obolibrary.org/obo/XAO_0004188	posterior branchial crest
http://purl.obolibrary.org/obo/XPO_0133369	eye fused with brain	http://purl.obolibrary.org/obo/XAO_0000179	eye	http://purl.obolibrary.org/obo/XAO_0000010	brain
http://purl.obolibrary.org/obo/XPO_0133372	eye fused with olfactory epithelium	http://purl.obolibrary.org/obo/XAO_0000179	eye	http://purl.obolibrary.org/obo/XAO_0005024	olfactory epithelium
http://purl.obolibrary.org/obo/XPO_0133371	eye fused with olfactory pit	http://purl.obolibrary.org/obo/XAO_0000179	eye	http://purl.obolibrary.org/obo/XAO_0000275	olfactory pit
http://purl.obolibrary.org/obo/XPO_0133356	forelimb fused with trunk	http://purl.obolibrary.org/obo/XAO_0003030	forelimb	http://purl.obolibrary.org/obo/XAO_0003025	trunk
http://purl.obolibrary.org/obo/XPO_0133362	fused carpi	http://purl.obolibrary.org/obo/XAO_0003207	carpus	http://purl.obolibrary.org/obo/XAO_0003207	carpus
http://purl.obolibrary.org/obo/XPO_0133354	fused eyes	http://purl.obolibrary.org/obo/XAO_0000179	eye	http://purl.obolibrary.org/obo/XAO_0000179	eye
http://purl.obolibrary.org/obo/XPO_0133358	fused forelimb digits	http://purl.obolibrary.org/obo/XAO_0003036	forelimb digit	http://purl.obolibrary.org/obo/XAO_0003036	forelimb digit
http://purl.obolibrary.org/obo/XPO_0133357	fused hindlimb digits	http://purl.obolibrary.org/obo/XAO_0003035	hindlimb digit	http://purl.obolibrary.org/obo/XAO_0003035	hindlimb digit
http://purl.obolibrary.org/obo/XPO_0133367	fused metacarpals	http://purl.obolibrary.org/obo/XAO_0003208	metacarpus	http://purl.obolibrary.org/obo/XAO_0003208	metacarpus
http://purl.obolibrary.org/obo/XPO_0133360	fused metatarsals	http://purl.obolibrary.org/obo/XAO_0003212	metatarsus	http://purl.obolibrary.org/obo/XAO_0003212	metatarsus
http://purl.obolibrary.org/obo/XPO_0133368	fused olfactory epithelia	http://purl.obolibrary.org/obo/XAO_0005024	olfactory epithelium	http://purl.obolibrary.org/obo/XAO_0005024	olfactory epithelium
http://purl.obolibrary.org/obo/XPO_0133365	fused optic stalks	http://purl.obolibrary.org/obo/XAO_0000475	optic stalk	http://purl.obolibrary.org/obo/XAO_0000475	optic stalk
http://purl.obolibrary.org/obo/XPO_0133359	fused somites	http://purl.obolibrary.org/obo/XAO_0000058	somite	http://purl.obolibrary.org/obo/XAO_0000058	somite
http://purl.obolibrary.org/obo/XPO_0133366	fused spikes	http://purl.obolibrary.org/obo/XAO_0004489	spike	http://purl.obolibrary.org/obo/XAO_0004489	spike
http://purl.obolibrary.org/obo/XPO_0133361	fused tarsi	http://purl.obolibrary.org/obo/XAO_0003211	tarsus	http://purl.obolibrary.org/obo/XAO_0003211	tarsus
http://purl.obolibrary.org/obo/XPO_0133355	hindlimb fused with trunk	http://purl.obolibrary.org/obo/XAO_0003031	hindlimb	http://purl.obolibrary.org/obo/XAO_0003025	trunk
http://purl.obolibrary.org/obo/XPO_0133370	olfactory pit fused with brain	http://purl.obolibrary.org/obo/XAO_0000275	olfactory pit	http://purl.obolibrary.org/obo/XAO_0000010	brain
http://purl.obolibrary.org/obo/XPO_0133364	tibia-fibula fused with autopod	http://purl.obolibrary.org/obo/XAO_0003213	tibia-fibula	http://purl.obolibrary.org/obo/XAO_0004265	autopod
