defined_class	defined_class_label	molecular_function	molecular_function_label
http://purl.obolibrary.org/obo/XPO_0131697	increased MAP kinase activity	http://purl.obolibrary.org/obo/GO_0004707	MAP kinase activity
http://purl.obolibrary.org/obo/XPO_0141725	increased catalytic activity	http://purl.obolibrary.org/obo/GO_0003824	catalytic activity
http://purl.obolibrary.org/obo/XPO_0141726	increased cyclase activity	http://purl.obolibrary.org/obo/GO_0009975	cyclase activity
http://purl.obolibrary.org/obo/XPO_0133399	increased cysteine-type endopeptidase activity	http://purl.obolibrary.org/obo/GO_0004197	cysteine-type endopeptidase activity
http://purl.obolibrary.org/obo/XPO_0141733	increased demethylase activity	http://purl.obolibrary.org/obo/GO_0032451	demethylase activity
http://purl.obolibrary.org/obo/XPO_0141729	increased hydrolase activity	http://purl.obolibrary.org/obo/GO_0016787	hydrolase activity
http://purl.obolibrary.org/obo/XPO_0141731	increased isomerase activity	http://purl.obolibrary.org/obo/GO_0016853	isomerase activity
http://purl.obolibrary.org/obo/XPO_0141732	increased ligase activity	http://purl.obolibrary.org/obo/GO_0016874	ligase activity
http://purl.obolibrary.org/obo/XPO_0141730	increased lyase activity	http://purl.obolibrary.org/obo/GO_0016829	lyase activity
http://purl.obolibrary.org/obo/XPO_0141727	increased oxidoreductase activity	http://purl.obolibrary.org/obo/GO_0016491	oxidoreductase activity
http://purl.obolibrary.org/obo/XPO_0141734	increased peptidoglycan muralytic activity	http://purl.obolibrary.org/obo/GO_0061783	peptidoglycan muralytic activity
http://purl.obolibrary.org/obo/XPO_0133398	increased ribosomal protein S6 kinase activity	http://purl.obolibrary.org/obo/GO_0004711	ribosomal protein S6 kinase activity
http://purl.obolibrary.org/obo/XPO_0141728	increased transferase activity	http://purl.obolibrary.org/obo/GO_0016740	transferase activity
