defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	location	location_label
http://purl.obolibrary.org/obo/XPO_0103608	increased size of the cell in cranial neural crest	http://purl.obolibrary.org/obo/XAO_0003012	cell	http://purl.obolibrary.org/obo/XAO_0001001	cranial neural crest
http://purl.obolibrary.org/obo/XPO_0131465	increased size of the cilium in alimentary system	http://purl.obolibrary.org/obo/XAO_0005008	cilium	http://purl.obolibrary.org/obo/XAO_0000125	alimentary system
http://purl.obolibrary.org/obo/XPO_0131463	increased size of the cilium in auditory hair cell	http://purl.obolibrary.org/obo/XAO_0005008	cilium	http://purl.obolibrary.org/obo/XAO_0004130	auditory hair cell
http://purl.obolibrary.org/obo/XPO_0131457	increased size of the cilium in brain	http://purl.obolibrary.org/obo/XAO_0005008	cilium	http://purl.obolibrary.org/obo/XAO_0000010	brain
http://purl.obolibrary.org/obo/XPO_0133484	increased size of the cilium in ciliated epidermal cell	http://purl.obolibrary.org/obo/XAO_0005008	cilium	http://purl.obolibrary.org/obo/XAO_0000031	ciliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0133485	increased size of the cilium in ciliated non-epidermal cell	http://purl.obolibrary.org/obo/XAO_0005008	cilium	http://purl.obolibrary.org/obo/XAO_0004517	ciliated non-epidermal cell
http://purl.obolibrary.org/obo/XPO_0131467	increased size of the cilium in esophagus	http://purl.obolibrary.org/obo/XAO_0005008	cilium	http://purl.obolibrary.org/obo/XAO_0000127	esophagus
http://purl.obolibrary.org/obo/XPO_0131456	increased size of the cilium in floor plate	http://purl.obolibrary.org/obo/XAO_0005008	cilium	http://purl.obolibrary.org/obo/XAO_0000306	floor plate
http://purl.obolibrary.org/obo/XPO_0141831	increased size of the cilium in gastrocoel roof plate	http://purl.obolibrary.org/obo/XAO_0005008	cilium	http://purl.obolibrary.org/obo/XAO_0000094	gastrocoel roof plate
http://purl.obolibrary.org/obo/XPO_0131464	increased size of the cilium in lateral line	http://purl.obolibrary.org/obo/XAO_0005008	cilium	http://purl.obolibrary.org/obo/XAO_0004002	lateral line
http://purl.obolibrary.org/obo/XPO_0131454	increased size of the cilium in left-right organizer	http://purl.obolibrary.org/obo/XAO_0005008	cilium	http://purl.obolibrary.org/obo/XAO_0005170	left-right organizer
http://purl.obolibrary.org/obo/XPO_0133482	increased size of the cilium in monociliated cell	http://purl.obolibrary.org/obo/XAO_0005008	cilium	http://purl.obolibrary.org/obo/XAO_0005137	monociliated cell
http://purl.obolibrary.org/obo/XPO_0133486	increased size of the cilium in monociliated epidermal cell	http://purl.obolibrary.org/obo/XAO_0005008	cilium	http://purl.obolibrary.org/obo/XAO_0005178	monociliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0131458	increased size of the cilium in mucociliary epithelium	http://purl.obolibrary.org/obo/XAO_0005008	cilium	http://purl.obolibrary.org/obo/XAO_0004393	mucociliary epithelium
http://purl.obolibrary.org/obo/XPO_0133483	increased size of the cilium in multiciliated cell	http://purl.obolibrary.org/obo/XAO_0005008	cilium	http://purl.obolibrary.org/obo/XAO_0005139	multiciliated cell
