defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/XPO_0127532	abnormally localised B cell	http://purl.obolibrary.org/obo/XAO_0003158	B-cell
http://purl.obolibrary.org/obo/XPO_0127855	abnormally localised Bowman's gland	http://purl.obolibrary.org/obo/XAO_0005075	Bowman's gland
http://purl.obolibrary.org/obo/XPO_0127090	abnormally localised Brachet's cleft	http://purl.obolibrary.org/obo/XAO_0004456	Brachet's cleft
http://purl.obolibrary.org/obo/XPO_0127289	abnormally localised Eberth-Kastschenko layer	http://purl.obolibrary.org/obo/XAO_0005036	Eberth-Kastschenko layer
http://purl.obolibrary.org/obo/XPO_0127893	abnormally localised Jacobson's organ	http://purl.obolibrary.org/obo/XAO_0000272	Jacobson's organ
http://purl.obolibrary.org/obo/XPO_0127755	abnormally localised Jacobson's vein	http://purl.obolibrary.org/obo/XAO_0004257	Jacobson's vein
http://purl.obolibrary.org/obo/XPO_0127450	abnormally localised Leydig cell	http://purl.obolibrary.org/obo/XAO_0004405	Leydig cell
http://purl.obolibrary.org/obo/XPO_0131570	abnormally localised M band	http://purl.obolibrary.org/obo/XAO_0005312	M band
http://purl.obolibrary.org/obo/XPO_0127322	abnormally localised Mauthner cell	http://purl.obolibrary.org/obo/XAO_0005035	Mauthner cell
http://purl.obolibrary.org/obo/XPO_0127437	abnormally localised Meckel's cartilage	http://purl.obolibrary.org/obo/XAO_0003085	Meckel's cartilage
http://purl.obolibrary.org/obo/XPO_0127653	abnormally localised Merkel cell	http://purl.obolibrary.org/obo/XAO_0003254	Merkel cell
http://purl.obolibrary.org/obo/XPO_0126402	abnormally localised Muller cell	http://purl.obolibrary.org/obo/XAO_0005007	Mueller cell
http://purl.obolibrary.org/obo/XPO_0127555	abnormally localised Mullerian duct	http://purl.obolibrary.org/obo/XAO_0000330	Mullerian duct
http://purl.obolibrary.org/obo/XPO_0127152	abnormally localised Rathke's pouch	http://purl.obolibrary.org/obo/XAO_0000430	Rathke's pouch
http://purl.obolibrary.org/obo/XPO_0127816	abnormally localised Rohon-Beard neuron	http://purl.obolibrary.org/obo/XAO_0003022	Rohon-Beard neuron
http://purl.obolibrary.org/obo/XPO_0131553	abnormally localised Roux spot	http://purl.obolibrary.org/obo/XAO_0005290	Roux spot
http://purl.obolibrary.org/obo/XPO_0127946	abnormally localised Schwann cell	http://purl.obolibrary.org/obo/XAO_0005044	Schwann cell
http://purl.obolibrary.org/obo/XPO_0127926	abnormally localised Stirnorgan	http://purl.obolibrary.org/obo/XAO_0001012	Stirnorgan
http://purl.obolibrary.org/obo/XPO_0127627	abnormally localised T cell	http://purl.obolibrary.org/obo/XAO_0003157	T-cell
http://purl.obolibrary.org/obo/XPO_0127156	abnormally localised abdominal myoblast	http://purl.obolibrary.org/obo/XAO_0001016	abdominal myoblast
http://purl.obolibrary.org/obo/XPO_0142026	abnormally localised abdominal wall	http://purl.obolibrary.org/obo/XAO_0005504	abdominal wall
http://purl.obolibrary.org/obo/XPO_0127043	abnormally localised abducens nerve	http://purl.obolibrary.org/obo/XAO_0003093	abducens nerve
http://purl.obolibrary.org/obo/XPO_0127979	abnormally localised absorptive cell	http://purl.obolibrary.org/obo/XAO_0003231	absorptive cell
http://purl.obolibrary.org/obo/XPO_0127299	abnormally localised accessory nerve	http://purl.obolibrary.org/obo/XAO_0004214	accessory nerve
http://purl.obolibrary.org/obo/XPO_0126322	abnormally localised accessory olfactory bulb	http://purl.obolibrary.org/obo/XAO_0004530	accessory olfactory bulb
http://purl.obolibrary.org/obo/XPO_0126562	abnormally localised acellular anatomical structure	http://purl.obolibrary.org/obo/XAO_0003162	acellular anatomical structure
http://purl.obolibrary.org/obo/XPO_0127497	abnormally localised acellular bone tissue	http://purl.obolibrary.org/obo/XAO_0005001	acellular bone tissue
http://purl.obolibrary.org/obo/XPO_0127160	abnormally localised acid secreting cell	http://purl.obolibrary.org/obo/XAO_0003232	acid secreting cell
http://purl.obolibrary.org/obo/XPO_0127656	abnormally localised acinar cell	http://purl.obolibrary.org/obo/XAO_0003233	acinar cell
http://purl.obolibrary.org/obo/XPO_0131551	abnormally localised actin cytoskeleton	http://purl.obolibrary.org/obo/XAO_0005313	actin cytoskeleton
http://purl.obolibrary.org/obo/XPO_0131561	abnormally localised actin filament	http://purl.obolibrary.org/obo/XAO_0005319	actin filament
http://purl.obolibrary.org/obo/XPO_0126869	abnormally localised adenohypophyseal placode	http://purl.obolibrary.org/obo/XAO_0004208	adenohypophyseal placode
http://purl.obolibrary.org/obo/XPO_0127050	abnormally localised adenohypophysis	http://purl.obolibrary.org/obo/XAO_0005186	adenohypophysis
http://purl.obolibrary.org/obo/XPO_0131550	abnormally localised adherens junction	http://purl.obolibrary.org/obo/XAO_0005296	adherens junction
http://purl.obolibrary.org/obo/XPO_0126990	abnormally localised adipose tissue	http://purl.obolibrary.org/obo/XAO_0003049	adipose tissue
http://purl.obolibrary.org/obo/XPO_0127939	abnormally localised adrenal cortex	http://purl.obolibrary.org/obo/XAO_0000165	adrenal cortex
http://purl.obolibrary.org/obo/XPO_0127300	abnormally localised adrenal gland	http://purl.obolibrary.org/obo/XAO_0000164	adrenal gland
http://purl.obolibrary.org/obo/XPO_0127723	abnormally localised adrenal medulla	http://purl.obolibrary.org/obo/XAO_0000166	adrenal medulla
http://purl.obolibrary.org/obo/XPO_0127710	abnormally localised adult immune system	http://purl.obolibrary.org/obo/XAO_0003154	adult immune system
http://purl.obolibrary.org/obo/XPO_0127191	abnormally localised adult intestinal epithelium	http://purl.obolibrary.org/obo/XAO_0005004	adult intestinal epithelium
http://purl.obolibrary.org/obo/XPO_0126885	abnormally localised adult kidney	http://purl.obolibrary.org/obo/XAO_0005244	adult kidney
http://purl.obolibrary.org/obo/XPO_0127070	abnormally localised adult thrombocyte	http://purl.obolibrary.org/obo/XAO_0005268	adult thrombocyte
http://purl.obolibrary.org/obo/XPO_0127386	abnormally localised afferent neuron	http://purl.obolibrary.org/obo/XAO_0005229	afferent neuron
http://purl.obolibrary.org/obo/XPO_0126466	abnormally localised alimentary system	http://purl.obolibrary.org/obo/XAO_0000125	alimentary system
http://purl.obolibrary.org/obo/XPO_0127824	abnormally localised alkali secreting cell	http://purl.obolibrary.org/obo/XAO_0003234	alkali secreting cell
http://purl.obolibrary.org/obo/XPO_0127724	abnormally localised alpha cell	http://purl.obolibrary.org/obo/XAO_0005164	alpha cell
http://purl.obolibrary.org/obo/XPO_0127623	abnormally localised amacrine cell	http://purl.obolibrary.org/obo/XAO_0004099	amacrine cell
http://purl.obolibrary.org/obo/XPO_0127629	abnormally localised amphibian papilla	http://purl.obolibrary.org/obo/XAO_0003144	amphibian papilla
http://purl.obolibrary.org/obo/XPO_0127841	abnormally localised ampullary nerve	http://purl.obolibrary.org/obo/XAO_0004058	ampullary nerve
http://purl.obolibrary.org/obo/XPO_0127784	abnormally localised amputated fin	http://purl.obolibrary.org/obo/XAO_0004318	amputated fin
http://purl.obolibrary.org/obo/XPO_0126881	abnormally localised amputated limb	http://purl.obolibrary.org/obo/XAO_0004319	amputated limb
http://purl.obolibrary.org/obo/XPO_0126829	abnormally localised amputated tissue	http://purl.obolibrary.org/obo/XAO_0004317	amputated tissue
http://purl.obolibrary.org/obo/XPO_0126687	abnormally localised amygdala	http://purl.obolibrary.org/obo/XAO_0004531	amygdala
http://purl.obolibrary.org/obo/XPO_0126414	abnormally localised anatomical cluster	http://purl.obolibrary.org/obo/XAO_0003160	anatomical cluster
