defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/ZP_0005664	bile ductule degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0005164	bile ductule
http://purl.obolibrary.org/obo/ZP_0005278	blood vasculature degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001079	blood vasculature
http://purl.obolibrary.org/obo/ZP_0001232	brain degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0000008	brain
http://purl.obolibrary.org/obo/ZP_0007483	caudal fin degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001058	caudal fin
http://purl.obolibrary.org/obo/ZP_0139954	caudal fin lepidotrichium degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001550	caudal fin lepidotrichium
http://purl.obolibrary.org/obo/ZP_0002528	central nervous system degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0000012	central nervous system
http://purl.obolibrary.org/obo/ZP_0148987	ceratobranchial cartilage degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001516	ceratobranchial cartilage
http://purl.obolibrary.org/obo/ZP_0005832	cerebellum degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0000100	cerebellum
http://purl.obolibrary.org/obo/ZP_0102634	chondrocyte degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0009084	chondrocyte
http://purl.obolibrary.org/obo/ZP_0142625	cloaca degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0005781	cloaca
http://purl.obolibrary.org/obo/ZP_0019108	cornea degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0000640	cornea
http://purl.obolibrary.org/obo/ZP_0140904	cranial blood vessel degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0005297	cranial blood vessel
http://purl.obolibrary.org/obo/ZP_0003644	cranial vasculature degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001267	cranial vasculature
http://purl.obolibrary.org/obo/ZP_0006742	diencephalon degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0000101	diencephalon
http://purl.obolibrary.org/obo/ZP_0015384	dorsal aorta degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0000014	dorsal aorta
http://purl.obolibrary.org/obo/ZP_0016984	epibranchial ganglion degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001555	epibranchial ganglion
http://purl.obolibrary.org/obo/ZP_0004124	exocrine pancreas degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001249	exocrine pancreas
http://purl.obolibrary.org/obo/ZP_0004986	extension degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0000106	extension
http://purl.obolibrary.org/obo/ZP_0000401	eye degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0000107	eye
http://purl.obolibrary.org/obo/ZP_0019823	eye photoreceptor cell degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0009154	eye photoreceptor cell
http://purl.obolibrary.org/obo/ZP_0016964	facial ganglion degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001291	facial ganglion
http://purl.obolibrary.org/obo/ZP_0142536	fast muscle cell degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0009117	fast muscle cell
http://purl.obolibrary.org/obo/ZP_0003275	fin degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0000108	fin
http://purl.obolibrary.org/obo/ZP_0016965	glossopharyngeal ganglion degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001301	glossopharyngeal ganglion
http://purl.obolibrary.org/obo/ZP_0000375	head degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001114	head
http://purl.obolibrary.org/obo/ZP_0010558	hepatocyte degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0009111	hepatocyte
http://purl.obolibrary.org/obo/ZP_0006740	hindbrain degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0000029	hindbrain
http://purl.obolibrary.org/obo/ZP_0016200	hypothalamus degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0000032	hypothalamus
http://purl.obolibrary.org/obo/ZP_0016202	immature eye degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001678	immature eye
http://purl.obolibrary.org/obo/ZP_0015330	inner ear degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0000217	inner ear
http://purl.obolibrary.org/obo/ZP_0140896	intersegmental vessel degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001285	intersegmental vessel
http://purl.obolibrary.org/obo/ZP_0003507	intestinal epithelium degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0005124	intestinal epithelium
http://purl.obolibrary.org/obo/ZP_0004128	intrahepatic bile duct degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0005169	intrahepatic bile duct
http://purl.obolibrary.org/obo/ZP_0002997	lens degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0000035	lens
http://purl.obolibrary.org/obo/ZP_0011306	mandibular arch skeleton degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001227	mandibular arch skeleton
http://purl.obolibrary.org/obo/ZP_0006146	median fin fold degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0000040	median fin fold
http://purl.obolibrary.org/obo/ZP_0003312	melanocyte degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0009091	melanocyte
http://purl.obolibrary.org/obo/ZP_0008928	midbrain degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0000128	midbrain
http://purl.obolibrary.org/obo/ZP_0012102	muscle cell degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0009114	muscle cell
http://purl.obolibrary.org/obo/ZP_0002918	muscle degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0005145	muscle
http://purl.obolibrary.org/obo/ZP_0007930	myocardium degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001319	myocardium
http://purl.obolibrary.org/obo/ZP_0001498	myotome degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001056	myotome
http://purl.obolibrary.org/obo/ZP_0145482	neural crest degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0000045	neural crest
http://purl.obolibrary.org/obo/ZP_0010491	neuroectoderm degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001120	neuroectoderm
http://purl.obolibrary.org/obo/ZP_0018161	neuromast hair cell degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0009367	neuromast hair cell
http://purl.obolibrary.org/obo/ZP_0000474	neuron degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0009248	neuron
http://purl.obolibrary.org/obo/ZP_0002674	notochord degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0000135	notochord
http://purl.obolibrary.org/obo/ZP_0015404	ocular blood vessel degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0007057	ocular blood vessel
http://purl.obolibrary.org/obo/ZP_0101880	oocyte degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001109	oocyte
http://purl.obolibrary.org/obo/ZP_0018400	oocyte stage II degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001565	oocyte stage II
http://purl.obolibrary.org/obo/ZP_0018401	oocyte stage III degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001566	oocyte stage III
http://purl.obolibrary.org/obo/ZP_0005834	optic tectum degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0000445	optic tectum
http://purl.obolibrary.org/obo/ZP_0104573	ovarian follicle degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001110	ovarian follicle
http://purl.obolibrary.org/obo/ZP_0103788	ovarian follicle stage IV degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0001264	ovarian follicle stage IV
http://purl.obolibrary.org/obo/ZP_0131253	ovary degenerate, abnormal	http://purl.obolibrary.org/obo/ZFA_0000403	ovary
