defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	location	location_label
http://purl.obolibrary.org/obo/ZP_0005725	actin cap epiblast position, abnormal	http://purl.obolibrary.org/obo/GO_0030478	actin cap	http://purl.obolibrary.org/obo/ZFA_0000018	epiblast
http://purl.obolibrary.org/obo/ZP_0022798	apical junction complex periderm position, abnormal	http://purl.obolibrary.org/obo/GO_0043296	apical junction complex	http://purl.obolibrary.org/obo/ZFA_0001185	periderm
http://purl.obolibrary.org/obo/ZP_0016053	axon motor neuron position, abnormal	http://purl.obolibrary.org/obo/GO_0030424	axon	http://purl.obolibrary.org/obo/ZFA_0009052	motor neuron
http://purl.obolibrary.org/obo/ZP_0001739	axon olfactory receptor cell position, abnormal	http://purl.obolibrary.org/obo/GO_0030424	axon	http://purl.obolibrary.org/obo/ZFA_0009125	olfactory receptor cell
http://purl.obolibrary.org/obo/ZP_0001569	axon trigeminal ganglion position, abnormal	http://purl.obolibrary.org/obo/GO_0030424	axon	http://purl.obolibrary.org/obo/ZFA_0000295	trigeminal ganglion
http://purl.obolibrary.org/obo/ZP_0015474	bicellular tight junction blood vessel endothelial cell position, abnormal	http://purl.obolibrary.org/obo/GO_0005923	bicellular tight junction	http://purl.obolibrary.org/obo/ZFA_0009036	blood vessel endothelial cell
http://purl.obolibrary.org/obo/ZP_0012942	branchiomotor neuron rhombomere 6 position, abnormal	http://purl.obolibrary.org/obo/ZFA_0005731	branchiomotor neuron	http://purl.obolibrary.org/obo/ZFA_0000069	rhombomere 6
http://purl.obolibrary.org/obo/ZP_0013318	branchiomotor neuron rhombomere 7 position, abnormal	http://purl.obolibrary.org/obo/ZFA_0005731	branchiomotor neuron	http://purl.obolibrary.org/obo/ZFA_0000949	rhombomere 7
http://purl.obolibrary.org/obo/ZP_0016513	cell body CaP motoneuron position, abnormal	http://purl.obolibrary.org/obo/GO_0044297	cell body	http://purl.obolibrary.org/obo/ZFA_0009243	CaP motoneuron
http://purl.obolibrary.org/obo/ZP_0138074	cell body MiD3cl position, abnormal	http://purl.obolibrary.org/obo/GO_0044297	cell body	http://purl.obolibrary.org/obo/ZFA_0005195	MiD3cl
http://purl.obolibrary.org/obo/ZP_0016511	cell body MiP motor neuron position, abnormal	http://purl.obolibrary.org/obo/GO_0044297	cell body	http://purl.obolibrary.org/obo/ZFA_0005179	MiP motor neuron
http://purl.obolibrary.org/obo/ZP_0137873	cell body Muller cell position, abnormal	http://purl.obolibrary.org/obo/GO_0044297	cell body	http://purl.obolibrary.org/obo/ZFA_0009280	Muller cell
http://purl.obolibrary.org/obo/ZP_0016512	cell body RoP motor neuron position, abnormal	http://purl.obolibrary.org/obo/GO_0044297	cell body	http://purl.obolibrary.org/obo/ZFA_0005180	RoP motor neuron
