defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	location	location_label
http://purl.obolibrary.org/obo/ZP_0022852	Z disc somite 6 decreased width, abnormal	http://purl.obolibrary.org/obo/GO_0030018	Z disc	http://purl.obolibrary.org/obo/ZFA_0000982	somite 6
http://purl.obolibrary.org/obo/ZP_0106591	actomyosin external yolk syncytial layer decreased width, abnormal	http://purl.obolibrary.org/obo/GO_0042641	actomyosin	http://purl.obolibrary.org/obo/ZFA_0000309	external yolk syncytial layer
http://purl.obolibrary.org/obo/ZP_0103871	anterior region basihyal cartilage decreased width, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0001510	basihyal cartilage
http://purl.obolibrary.org/obo/ZP_0143497	anterior region endoderm decreased width, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0000017	endoderm
http://purl.obolibrary.org/obo/ZP_0142711	anterior region head decreased width, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0001114	head
http://purl.obolibrary.org/obo/ZP_0104122	anterior-posterior axis somite decreased width, abnormal	http://purl.obolibrary.org/obo/BSPO_0000013	anterior-posterior axis	http://purl.obolibrary.org/obo/ZFA_0000155	somite
http://purl.obolibrary.org/obo/ZP_0146754	apical part of cell lysosome-rich enterocyte decreased width, abnormal	http://purl.obolibrary.org/obo/GO_0045177	apical part of cell	http://purl.obolibrary.org/obo/ZFA_0005942	lysosome-rich enterocyte
http://purl.obolibrary.org/obo/ZP_0001261	apical part of cell neuroepithelial cell decreased width, abnormal	http://purl.obolibrary.org/obo/GO_0045177	apical part of cell	http://purl.obolibrary.org/obo/ZFA_0009306	neuroepithelial cell
http://purl.obolibrary.org/obo/ZP_0146755	basal part of cell lysosome-rich enterocyte decreased width, abnormal	http://purl.obolibrary.org/obo/GO_0045178	basal part of cell	http://purl.obolibrary.org/obo/ZFA_0005942	lysosome-rich enterocyte
http://purl.obolibrary.org/obo/ZP_0101372	basement membrane pronephric tubule decreased width, abnormal	http://purl.obolibrary.org/obo/GO_0005604	basement membrane	http://purl.obolibrary.org/obo/ZFA_0001558	pronephric tubule
http://purl.obolibrary.org/obo/ZP_0021993	blood vessel trunk vasculature decreased width, abnormal	http://purl.obolibrary.org/obo/ZFA_0005314	blood vessel	http://purl.obolibrary.org/obo/ZFA_0005024	trunk vasculature
http://purl.obolibrary.org/obo/ZP_0140560	caudal fin principal ray regenerating fin decreased width, abnormal	http://purl.obolibrary.org/obo/ZFA_0001585	caudal fin principal ray	http://purl.obolibrary.org/obo/ZFA_0001269	regenerating fin
http://purl.obolibrary.org/obo/ZP_0008666	central region dorsal aorta decreased width, abnormal	http://purl.obolibrary.org/obo/BSPO_0000075	central region	http://purl.obolibrary.org/obo/ZFA_0000014	dorsal aorta
http://purl.obolibrary.org/obo/ZP_0008673	central region pectoral fin blood vessel decreased width, abnormal	http://purl.obolibrary.org/obo/BSPO_0000075	central region	http://purl.obolibrary.org/obo/ZFA_0005301	pectoral fin blood vessel
http://purl.obolibrary.org/obo/ZP_0008668	central region posterior cardinal vein decreased width, abnormal	http://purl.obolibrary.org/obo/BSPO_0000075	central region	http://purl.obolibrary.org/obo/ZFA_0000477	posterior cardinal vein
http://purl.obolibrary.org/obo/ZP_0008671	central region subintestinal vein decreased width, abnormal	http://purl.obolibrary.org/obo/BSPO_0000075	central region	http://purl.obolibrary.org/obo/ZFA_0005035	subintestinal vein
http://purl.obolibrary.org/obo/ZP_0138427	cranial vault female organism decreased width, abnormal	http://purl.obolibrary.org/obo/ZFA_0005606	cranial vault	http://purl.obolibrary.org/obo/ZFA_0000303	female organism
http://purl.obolibrary.org/obo/ZP_0138426	cranial vault male organism decreased width, abnormal	http://purl.obolibrary.org/obo/ZFA_0005606	cranial vault	http://purl.obolibrary.org/obo/ZFA_0000242	male organism
http://purl.obolibrary.org/obo/ZP_0146568	dendritic spine head pyramidal cell decreased width, abnormal	http://purl.obolibrary.org/obo/GO_0044327	dendritic spine head	http://purl.obolibrary.org/obo/ZFA_0009273	pyramidal cell
http://purl.obolibrary.org/obo/ZP_0020773	left-right axis roof plate rhombomere region decreased width, abnormal	http://purl.obolibrary.org/obo/BSPO_0000017	left-right axis	http://purl.obolibrary.org/obo/ZFA_0001311	roof plate rhombomere region
http://purl.obolibrary.org/obo/ZP_0144282	lumen intestinal bulb decreased width, abnormal	http://purl.obolibrary.org/obo/ZFA_0005930	lumen	http://purl.obolibrary.org/obo/ZFA_0001076	intestinal bulb
http://purl.obolibrary.org/obo/ZP_0012254	melanophore stripe anal fin decreased width, abnormal	http://purl.obolibrary.org/obo/ZFA_0001463	melanophore stripe	http://purl.obolibrary.org/obo/ZFA_0001162	anal fin
http://purl.obolibrary.org/obo/ZP_0004727	myofibril skeletal muscle cell decreased width, abnormal	http://purl.obolibrary.org/obo/GO_0030016	myofibril	http://purl.obolibrary.org/obo/ZFA_0009115	skeletal muscle cell
http://purl.obolibrary.org/obo/ZP_0100251	myofibril slow muscle cell decreased width, abnormal	http://purl.obolibrary.org/obo/GO_0030016	myofibril	http://purl.obolibrary.org/obo/ZFA_0009116	slow muscle cell
http://purl.obolibrary.org/obo/ZP_0022857	myosin filament somite 6 decreased width, abnormal	http://purl.obolibrary.org/obo/GO_0032982	myosin filament	http://purl.obolibrary.org/obo/ZFA_0000982	somite 6
http://purl.obolibrary.org/obo/ZP_0020744	neuromuscular junction fast muscle cell decreased width, abnormal	http://purl.obolibrary.org/obo/GO_0031594	neuromuscular junction	http://purl.obolibrary.org/obo/ZFA_0009117	fast muscle cell
http://purl.obolibrary.org/obo/ZP_0144907	posterior region head decreased width, abnormal	http://purl.obolibrary.org/obo/BSPO_0000072	posterior region	http://purl.obolibrary.org/obo/ZFA_0001114	head
http://purl.obolibrary.org/obo/ZP_0144095	sarcomere cardiac ventricle decreased width, abnormal	http://purl.obolibrary.org/obo/GO_0030017	sarcomere	http://purl.obolibrary.org/obo/ZFA_0000009	cardiac ventricle
http://purl.obolibrary.org/obo/ZP_0131203	skeletal muscle myofibril skeletal muscle decreased width, abnormal	http://purl.obolibrary.org/obo/GO_0098723	skeletal muscle myofibril	http://purl.obolibrary.org/obo/ZFA_0005277	skeletal muscle
http://purl.obolibrary.org/obo/ZP_0144354	stereocilium bundle anterior macula decreased width, abnormal	http://purl.obolibrary.org/obo/GO_0032421	stereocilium bundle	http://purl.obolibrary.org/obo/ZFA_0000168	anterior macula
http://purl.obolibrary.org/obo/ZP_0008449	stereocilium bundle hair cell decreased width, abnormal	http://purl.obolibrary.org/obo/GO_0032421	stereocilium bundle	http://purl.obolibrary.org/obo/ZFA_0009366	hair cell
http://purl.obolibrary.org/obo/ZP_0020110	stereocilium inner ear decreased width, abnormal	http://purl.obolibrary.org/obo/GO_0032420	stereocilium	http://purl.obolibrary.org/obo/ZFA_0000217	inner ear
http://purl.obolibrary.org/obo/ZP_0020742	synaptic cleft fast muscle cell decreased width, abnormal	http://purl.obolibrary.org/obo/GO_0043083	synaptic cleft	http://purl.obolibrary.org/obo/ZFA_0009117	fast muscle cell
http://purl.obolibrary.org/obo/ZP_0138425	ventral region cranial vault decreased width, abnormal	http://purl.obolibrary.org/obo/BSPO_0000084	ventral region	http://purl.obolibrary.org/obo/ZFA_0005606	cranial vault
