defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/ZP_0006586	G2/M transition of mitotic cell cycle delayed, abnormal	http://purl.obolibrary.org/obo/GO_0000086	G2/M transition of mitotic cell cycle
http://purl.obolibrary.org/obo/ZP_0002686	S phase delayed, abnormal	http://purl.obolibrary.org/obo/GO_0051320	S phase
http://purl.obolibrary.org/obo/ZP_0008076	T cell differentiation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0030217	T cell differentiation
http://purl.obolibrary.org/obo/ZP_0010917	angioblast cell migration delayed, abnormal	http://purl.obolibrary.org/obo/GO_0035476	angioblast cell migration
http://purl.obolibrary.org/obo/ZP_0007587	angioblast cell migration from lateral mesoderm to midline delayed, abnormal	http://purl.obolibrary.org/obo/GO_0035479	angioblast cell migration from lateral mesoderm to midline
http://purl.obolibrary.org/obo/ZP_0003746	angiogenesis delayed, abnormal	http://purl.obolibrary.org/obo/GO_0001525	angiogenesis
http://purl.obolibrary.org/obo/ZP_0008063	apoptotic process delayed, abnormal	http://purl.obolibrary.org/obo/GO_0006915	apoptotic process
http://purl.obolibrary.org/obo/ZP_0000699	artery morphogenesis delayed, abnormal	http://purl.obolibrary.org/obo/GO_0048844	artery morphogenesis
http://purl.obolibrary.org/obo/ZP_0138314	axis elongation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0003401	axis elongation
http://purl.obolibrary.org/obo/ZP_0004529	axon extension delayed, abnormal	http://purl.obolibrary.org/obo/GO_0048675	axon extension
http://purl.obolibrary.org/obo/ZP_0138003	blastoderm segmentation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0007350	blastoderm segmentation
http://purl.obolibrary.org/obo/ZP_0007527	blood circulation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0008015	blood circulation
http://purl.obolibrary.org/obo/ZP_0101296	blood coagulation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0007596	blood coagulation
http://purl.obolibrary.org/obo/ZP_0019320	blood coagulation, fibrin clot formation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0072378	blood coagulation, fibrin clot formation
http://purl.obolibrary.org/obo/ZP_0005283	blood vessel development delayed, abnormal	http://purl.obolibrary.org/obo/GO_0001568	blood vessel development
http://purl.obolibrary.org/obo/ZP_0007594	blood vessel morphogenesis delayed, abnormal	http://purl.obolibrary.org/obo/GO_0048514	blood vessel morphogenesis
http://purl.obolibrary.org/obo/ZP_0020789	bone development delayed, abnormal	http://purl.obolibrary.org/obo/GO_0060348	bone development
http://purl.obolibrary.org/obo/ZP_0002637	bone mineralization delayed, abnormal	http://purl.obolibrary.org/obo/GO_0030282	bone mineralization
http://purl.obolibrary.org/obo/ZP_0003170	brain development delayed, abnormal	http://purl.obolibrary.org/obo/GO_0007420	brain development
