defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	location	location_label
http://purl.obolibrary.org/obo/ZP_0144685	A band muscle increased size, abnormal	http://purl.obolibrary.org/obo/GO_0031672	A band	http://purl.obolibrary.org/obo/ZFA_0005145	muscle
http://purl.obolibrary.org/obo/ZP_0144686	I band muscle increased size, abnormal	http://purl.obolibrary.org/obo/GO_0031674	I band	http://purl.obolibrary.org/obo/ZFA_0005145	muscle
http://purl.obolibrary.org/obo/ZP_0018924	T-tubule muscle increased size, abnormal	http://purl.obolibrary.org/obo/GO_0030315	T-tubule	http://purl.obolibrary.org/obo/ZFA_0005145	muscle
http://purl.obolibrary.org/obo/ZP_0007068	actin filament bundle endodermal cell increased size, abnormal	http://purl.obolibrary.org/obo/GO_0032432	actin filament bundle	http://purl.obolibrary.org/obo/ZFA_0009139	endodermal cell
http://purl.obolibrary.org/obo/ZP_0007063	actin filament bundle lateral plate mesoderm increased size, abnormal	http://purl.obolibrary.org/obo/GO_0032432	actin filament bundle	http://purl.obolibrary.org/obo/ZFA_0000121	lateral plate mesoderm
http://purl.obolibrary.org/obo/ZP_0146920	actin-based cell projection fast muscle myoblast increased size, abnormal	http://purl.obolibrary.org/obo/GO_0098858	actin-based cell projection	http://purl.obolibrary.org/obo/ZFA_0009369	fast muscle myoblast
http://purl.obolibrary.org/obo/ZP_0008392	adherens junction retina increased size, abnormal	http://purl.obolibrary.org/obo/GO_0005912	adherens junction	http://purl.obolibrary.org/obo/ZFA_0000152	retina
http://purl.obolibrary.org/obo/ZP_0014857	anatomical region motor nucleus of vagal nerve increased size, abnormal	http://purl.obolibrary.org/obo/BSPO_0000070	anatomical region	http://purl.obolibrary.org/obo/ZFA_0000387	motor nucleus of vagal nerve
http://purl.obolibrary.org/obo/ZP_0017472	anatomical region statoacoustic (VIII) ganglion increased size, abnormal	http://purl.obolibrary.org/obo/BSPO_0000070	anatomical region	http://purl.obolibrary.org/obo/ZFA_0000588	statoacoustic (VIII) ganglion
http://purl.obolibrary.org/obo/ZP_0145982	anatomical surface gut increased size, abnormal	http://purl.obolibrary.org/obo/BSPO_0000005	anatomical surface	http://purl.obolibrary.org/obo/ZFA_0000112	gut
http://purl.obolibrary.org/obo/ZP_0140733	anterior region eye increased size, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0000107	eye
http://purl.obolibrary.org/obo/ZP_0015563	anterior region neuroectoderm increased size, abnormal	http://purl.obolibrary.org/obo/BSPO_0000071	anterior region	http://purl.obolibrary.org/obo/ZFA_0001120	neuroectoderm
http://purl.obolibrary.org/obo/ZP_0015859	antero-dorsal region forebrain neural keel increased size, abnormal	http://purl.obolibrary.org/obo/BSPO_0000026	antero-dorsal region	http://purl.obolibrary.org/obo/ZFA_0007026	forebrain neural keel
http://purl.obolibrary.org/obo/ZP_0143664	apical part of cell EVL increased size, abnormal	http://purl.obolibrary.org/obo/GO_0045177	apical part of cell	http://purl.obolibrary.org/obo/ZFA_0000086	EVL
http://purl.obolibrary.org/obo/ZP_0008100	apical surface cell increased size, abnormal	http://purl.obolibrary.org/obo/BSPO_0000373	apical surface	http://purl.obolibrary.org/obo/ZFA_0009000	cell
http://purl.obolibrary.org/obo/ZP_0149675	artery pharyngeal arch 4 increased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0000005	artery	http://purl.obolibrary.org/obo/ZFA_0001607	pharyngeal arch 4
http://purl.obolibrary.org/obo/ZP_0106897	autophagosome pronephric tubule increased size, abnormal	http://purl.obolibrary.org/obo/GO_0005776	autophagosome	http://purl.obolibrary.org/obo/ZFA_0001558	pronephric tubule
http://purl.obolibrary.org/obo/ZP_0009264	axon terminus olfactory receptor cell increased size, abnormal	http://purl.obolibrary.org/obo/GO_0043679	axon terminus	http://purl.obolibrary.org/obo/ZFA_0009125	olfactory receptor cell
http://purl.obolibrary.org/obo/ZP_0007872	bleb anterior axial hypoblast increased size, abnormal	http://purl.obolibrary.org/obo/GO_0032059	bleb	http://purl.obolibrary.org/obo/ZFA_0000004	anterior axial hypoblast
http://purl.obolibrary.org/obo/ZP_0141061	blood vessel integument increased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0005314	blood vessel	http://purl.obolibrary.org/obo/ZFA_0000368	integument
http://purl.obolibrary.org/obo/ZP_0140928	blood vessel retina increased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0005314	blood vessel	http://purl.obolibrary.org/obo/ZFA_0000152	retina
