defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/ZP_0144845	Bruch's membrane increased thickness, abnormal	http://purl.obolibrary.org/obo/ZFA_0005562	Bruch's membrane
http://purl.obolibrary.org/obo/ZP_0011804	DEL increased thickness, abnormal	http://purl.obolibrary.org/obo/ZFA_0000711	DEL
http://purl.obolibrary.org/obo/ZP_0003610	Meckel's cartilage increased thickness, abnormal	http://purl.obolibrary.org/obo/ZFA_0001205	Meckel's cartilage
http://purl.obolibrary.org/obo/ZP_0137285	Weberian apparatus increased thickness, abnormal	http://purl.obolibrary.org/obo/ZFA_0001188	Weberian apparatus
http://purl.obolibrary.org/obo/ZP_0010187	anterior axial hypoblast increased thickness, abnormal	http://purl.obolibrary.org/obo/ZFA_0000004	anterior axial hypoblast
http://purl.obolibrary.org/obo/ZP_0005895	anterior cerebral vein increased thickness, abnormal	http://purl.obolibrary.org/obo/ZFA_0001067	anterior cerebral vein
http://purl.obolibrary.org/obo/ZP_0010358	atrium increased thickness, abnormal	http://purl.obolibrary.org/obo/ZFA_0000471	atrium
http://purl.obolibrary.org/obo/ZP_0106937	axis increased thickness, abnormal	http://purl.obolibrary.org/obo/ZFA_0000092	axis
http://purl.obolibrary.org/obo/ZP_0105963	bile ductule increased thickness, abnormal	http://purl.obolibrary.org/obo/ZFA_0005164	bile ductule
http://purl.obolibrary.org/obo/ZP_0004514	blastoderm increased thickness, abnormal	http://purl.obolibrary.org/obo/ZFA_0001176	blastoderm
http://purl.obolibrary.org/obo/ZP_0018152	cardiac jelly increased thickness, abnormal	http://purl.obolibrary.org/obo/ZFA_0001318	cardiac jelly
http://purl.obolibrary.org/obo/ZP_0016147	cardiac ventricle increased thickness, abnormal	http://purl.obolibrary.org/obo/ZFA_0000009	cardiac ventricle
http://purl.obolibrary.org/obo/ZP_0007233	cartilage element increased thickness, abnormal	http://purl.obolibrary.org/obo/ZFA_0001501	cartilage element
http://purl.obolibrary.org/obo/ZP_0005853	caudal fin increased thickness, abnormal	http://purl.obolibrary.org/obo/ZFA_0001058	caudal fin
http://purl.obolibrary.org/obo/ZP_0020428	centrum increased thickness, abnormal	http://purl.obolibrary.org/obo/ZFA_0000126	centrum
