defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/ZP_0007920	Kupffer's vesicle hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle
http://purl.obolibrary.org/obo/ZP_0002153	Meckel's cartilage hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0001205	Meckel's cartilage
http://purl.obolibrary.org/obo/ZP_0141709	Reissner's fiber hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0005906	Reissner's fiber
http://purl.obolibrary.org/obo/ZP_0010492	anal fin hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0001162	anal fin
http://purl.obolibrary.org/obo/ZP_0138637	anterior migratory muscle precursor stream hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0005923	anterior migratory muscle precursor stream
http://purl.obolibrary.org/obo/ZP_0009828	anterior pancreatic bud hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0001369	anterior pancreatic bud
http://purl.obolibrary.org/obo/ZP_0012591	anterior segment eye hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0005566	anterior segment eye
http://purl.obolibrary.org/obo/ZP_0004252	aortic arch hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0005004	aortic arch
http://purl.obolibrary.org/obo/ZP_0021997	atrioventricular valve hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0005064	atrioventricular valve
http://purl.obolibrary.org/obo/ZP_0139890	atrium hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0000471	atrium
http://purl.obolibrary.org/obo/ZP_0015200	auditory capsule hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0001500	auditory capsule
http://purl.obolibrary.org/obo/ZP_0017292	axial chorda mesoderm hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0000091	axial chorda mesoderm
http://purl.obolibrary.org/obo/ZP_0010591	basibranchial hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0000170	basibranchial
http://purl.obolibrary.org/obo/ZP_0010600	basihyal cartilage hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0001510	basihyal cartilage
http://purl.obolibrary.org/obo/ZP_0012193	basipterygium hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0000623	basipterygium
http://purl.obolibrary.org/obo/ZP_0143103	bile canaliculus hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0005163	bile canaliculus
http://purl.obolibrary.org/obo/ZP_0015102	blastema hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0001270	blastema
http://purl.obolibrary.org/obo/ZP_0106276	blastodisc hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0001175	blastodisc
http://purl.obolibrary.org/obo/ZP_0004224	brain hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0000008	brain
http://purl.obolibrary.org/obo/ZP_0016784	bulbus arteriosus hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0000173	bulbus arteriosus
http://purl.obolibrary.org/obo/ZP_0002485	cardiac ventricle hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0000009	cardiac ventricle
http://purl.obolibrary.org/obo/ZP_0016129	cartilage element hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0001501	cartilage element
http://purl.obolibrary.org/obo/ZP_0003086	caudal fin hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0001058	caudal fin
http://purl.obolibrary.org/obo/ZP_0010586	caudal fin lepidotrichium hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0001550	caudal fin lepidotrichium
http://purl.obolibrary.org/obo/ZP_0005906	central artery hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0005020	central artery
http://purl.obolibrary.org/obo/ZP_0001647	central nervous system hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0000012	central nervous system
http://purl.obolibrary.org/obo/ZP_0008216	cephalic musculature hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0000328	cephalic musculature
http://purl.obolibrary.org/obo/ZP_0019950	ceratobranchial 1 cartilage hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0001520	ceratobranchial 1 cartilage
http://purl.obolibrary.org/obo/ZP_0142541	ceratobranchial 5 bone hypoplastic, abnormal	http://purl.obolibrary.org/obo/ZFA_0001239	ceratobranchial 5 bone
