#curie_map:
#  AAO: http://purl.obolibrary.org/obo/AAO_
#  AEO: http://purl.obolibrary.org/obo/AEO_
#  BFO: http://purl.obolibrary.org/obo/BFO_
#  BILA: http://purl.obolibrary.org/obo/BILA_
#  CARO: http://purl.obolibrary.org/obo/CARO_
#  EHDAA: http://purl.obolibrary.org/obo/EHDAA_
#  EHDAA2: http://purl.obolibrary.org/obo/EHDAA2_
#  EMAPA: http://purl.obolibrary.org/obo/EMAPA_
#  EV: http://purl.obolibrary.org/obo/EV_
#  FBdv: http://purl.obolibrary.org/obo/FBdv_
#  FMA: http://purl.obolibrary.org/obo/FMA_
#  GO: http://purl.obolibrary.org/obo/GO_
#  HAO: http://purl.obolibrary.org/obo/HAO_
#  MA: http://purl.obolibrary.org/obo/MA_
#  NCIT: http://purl.obolibrary.org/obo/NCIT_
#  SPD: http://purl.obolibrary.org/obo/SPD_
#  TADS: http://purl.obolibrary.org/obo/TADS_
#  TAO: http://purl.obolibrary.org/obo/TAO_
#  TGMA: http://purl.obolibrary.org/obo/TGMA_
#  UBERON: http://purl.obolibrary.org/obo/UBERON_
#  VHOG: http://purl.obolibrary.org/obo/VHOG_
#  VSAO: http://purl.obolibrary.org/obo/VSAO_
#  WBbt: http://purl.obolibrary.org/obo/WBbt_
#  WBls: http://purl.obolibrary.org/obo/WBls_
#  XAO: http://purl.obolibrary.org/obo/XAO_
#  ZFA: http://purl.obolibrary.org/obo/ZFA_
#  ZFS: http://purl.obolibrary.org/obo/ZFS_
#mapping_set_id: http://purl.obolibrary.org/obo/uberon/uberon-base/mappings.sssom.tsv
#license: http://creativecommons.org/licenses/by/3.0/
#subject_source: http://purl.obolibrary.org/obo/uberon/uberon-base.owl
subject_id	subject_label	predicate_id	object_id	mapping_justification
UBERON:0000000	processual entity	skos:broadMatch	BFO:0000003	semapv:UnspecifiedMatching
UBERON:0000002	uterine cervix	skos:broadMatch	VHOG:0001359	semapv:UnspecifiedMatching
UBERON:0000002	uterine cervix	skos:narrowMatch	EV:0100114	semapv:UnspecifiedMatching
UBERON:0000002	uterine cervix	skos:narrowMatch	NCIT:C12311	semapv:UnspecifiedMatching
UBERON:0000002	uterine cervix	semapv:crossSpeciesExactMatch	EMAPA:29927	semapv:UnspecifiedMatching
UBERON:0000002	uterine cervix	semapv:crossSpeciesExactMatch	FMA:17740	semapv:UnspecifiedMatching
UBERON:0000002	uterine cervix	semapv:crossSpeciesExactMatch	MA:0000392	semapv:UnspecifiedMatching
UBERON:0000003	naris	skos:broadMatch	VHOG:0000663	semapv:UnspecifiedMatching
UBERON:0000003	naris	skos:narrowMatch	EHDAA:9083	semapv:UnspecifiedMatching
UBERON:0000003	naris	semapv:crossSpeciesExactMatch	AAO:0000311	semapv:UnspecifiedMatching
UBERON:0000003	naris	semapv:crossSpeciesExactMatch	EHDAA2:0001225	semapv:UnspecifiedMatching
UBERON:0000003	naris	semapv:crossSpeciesExactMatch	EMAPA:17847	semapv:UnspecifiedMatching
UBERON:0000003	naris	semapv:crossSpeciesExactMatch	MA:0000282	semapv:UnspecifiedMatching
UBERON:0000004	nose	skos:narrowMatch	EHDAA:1502	semapv:UnspecifiedMatching
UBERON:0000004	nose	skos:narrowMatch	EV:0100037	semapv:UnspecifiedMatching
UBERON:0000004	nose	skos:narrowMatch	EV:0100370	semapv:UnspecifiedMatching
UBERON:0000004	nose	skos:narrowMatch	NCIT:C12756	semapv:UnspecifiedMatching
UBERON:0000004	nose	semapv:crossSpeciesExactMatch	EHDAA2:0001274	semapv:UnspecifiedMatching
UBERON:0000004	nose	semapv:crossSpeciesExactMatch	EMAPA:16542	semapv:UnspecifiedMatching
UBERON:0000004	nose	semapv:crossSpeciesExactMatch	FMA:46472	semapv:UnspecifiedMatching
UBERON:0000004	nose	semapv:crossSpeciesExactMatch	MA:0000281	semapv:UnspecifiedMatching
UBERON:0000004	nose	semapv:crossSpeciesExactMatch	TAO:0000047	semapv:UnspecifiedMatching
UBERON:0000004	nose	semapv:crossSpeciesExactMatch	ZFA:0000047	semapv:UnspecifiedMatching
UBERON:0000006	islet of Langerhans	skos:broadMatch	VHOG:0000646	semapv:UnspecifiedMatching
UBERON:0000006	islet of Langerhans	skos:narrowMatch	EV:0100130	semapv:UnspecifiedMatching
UBERON:0000006	islet of Langerhans	skos:narrowMatch	NCIT:C12608	semapv:UnspecifiedMatching
UBERON:0000006	islet of Langerhans	semapv:crossSpeciesExactMatch	AAO:0010406	semapv:UnspecifiedMatching
UBERON:0000006	islet of Langerhans	semapv:crossSpeciesExactMatch	EMAPA:32927	semapv:UnspecifiedMatching
UBERON:0000006	islet of Langerhans	semapv:crossSpeciesExactMatch	FMA:16016	semapv:UnspecifiedMatching
UBERON:0000006	islet of Langerhans	semapv:crossSpeciesExactMatch	MA:0000127	semapv:UnspecifiedMatching
UBERON:0000006	islet of Langerhans	semapv:crossSpeciesExactMatch	XAO:0000159	semapv:UnspecifiedMatching
UBERON:0000007	pituitary gland	skos:broadMatch	VHOG:0000143	semapv:UnspecifiedMatching
UBERON:0000007	pituitary gland	skos:narrowMatch	EHDAA:2183	semapv:UnspecifiedMatching
UBERON:0000007	pituitary gland	skos:narrowMatch	EHDAA:4477	semapv:UnspecifiedMatching
UBERON:0000007	pituitary gland	skos:narrowMatch	EV:0100132	semapv:UnspecifiedMatching
UBERON:0000007	pituitary gland	skos:narrowMatch	NCIT:C12399	semapv:UnspecifiedMatching
UBERON:0000007	pituitary gland	semapv:crossSpeciesExactMatch	AAO:0010536	semapv:UnspecifiedMatching
UBERON:0000007	pituitary gland	semapv:crossSpeciesExactMatch	EHDAA2:0001471	semapv:UnspecifiedMatching
UBERON:0000007	pituitary gland	semapv:crossSpeciesExactMatch	EMAPA:35998	semapv:UnspecifiedMatching
UBERON:0000007	pituitary gland	semapv:crossSpeciesExactMatch	FMA:13889	semapv:UnspecifiedMatching
