biological_process	defined_class
http://purl.obolibrary.org/obo/GO_0001880	http://purl.obolibrary.org/obo/UPHENO_0078454
http://purl.obolibrary.org/obo/GO_0001542	http://purl.obolibrary.org/obo/UPHENO_0084435
http://purl.obolibrary.org/obo/GO_0007369	http://purl.obolibrary.org/obo/UPHENO_0078455
http://purl.obolibrary.org/obo/NBO_0000401	http://purl.obolibrary.org/obo/UPHENO_0080947
http://purl.obolibrary.org/obo/GO_0007601	http://purl.obolibrary.org/obo/UPHENO_0078456
http://purl.obolibrary.org/obo/GO_0044691	http://purl.obolibrary.org/obo/UPHENO_0078457
http://purl.obolibrary.org/obo/GO_0007605	http://purl.obolibrary.org/obo/UPHENO_0078458
http://purl.obolibrary.org/obo/NBO_0000449	http://purl.obolibrary.org/obo/UPHENO_0080948
http://purl.obolibrary.org/obo/GO_0007566	http://purl.obolibrary.org/obo/UPHENO_0078460
http://purl.obolibrary.org/obo/GO_0007585	http://purl.obolibrary.org/obo/UPHENO_0078461
http://purl.obolibrary.org/obo/GO_0048539	http://purl.obolibrary.org/obo/UPHENO_0078463
http://purl.obolibrary.org/obo/NBO_0000391	http://purl.obolibrary.org/obo/UPHENO_0080949
http://purl.obolibrary.org/obo/GO_0060004	http://purl.obolibrary.org/obo/UPHENO_0034031
http://purl.obolibrary.org/obo/GO_0001569	http://purl.obolibrary.org/obo/UPHENO_0078464
http://purl.obolibrary.org/obo/GO_0099129	http://purl.obolibrary.org/obo/UPHENO_0085907
http://purl.obolibrary.org/obo/GO_0001649	http://purl.obolibrary.org/obo/UPHENO_0078465
http://purl.obolibrary.org/obo/GO_0001825	http://purl.obolibrary.org/obo/UPHENO_0078466
http://purl.obolibrary.org/obo/NBO_0000332	http://purl.obolibrary.org/obo/UPHENO_0080950
http://purl.obolibrary.org/obo/GO_0001947	http://purl.obolibrary.org/obo/UPHENO_0078467
http://purl.obolibrary.org/obo/NBO_0000154	http://purl.obolibrary.org/obo/UPHENO_0080951
http://purl.obolibrary.org/obo/GO_0060209	http://purl.obolibrary.org/obo/UPHENO_0078468
http://purl.obolibrary.org/obo/GO_0010070	http://purl.obolibrary.org/obo/UPHENO_0078469
http://purl.obolibrary.org/obo/GO_0001550	http://purl.obolibrary.org/obo/UPHENO_0078470
http://purl.obolibrary.org/obo/NBO_0000334	http://purl.obolibrary.org/obo/UPHENO_0080952
http://purl.obolibrary.org/obo/NBO_0000576	http://purl.obolibrary.org/obo/UPHENO_0080953
http://purl.obolibrary.org/obo/GO_0048144	http://purl.obolibrary.org/obo/UPHENO_0078471
http://purl.obolibrary.org/obo/NBO_0000418	http://purl.obolibrary.org/obo/UPHENO_0080954
http://purl.obolibrary.org/obo/GO_0030317	http://purl.obolibrary.org/obo/UPHENO_0085908
http://purl.obolibrary.org/obo/NBO_0000416	http://purl.obolibrary.org/obo/UPHENO_0080955
