molecular_function	defined_class
http://purl.obolibrary.org/obo/GO_0005096	http://purl.obolibrary.org/obo/UPHENO_0089371
http://purl.obolibrary.org/obo/GO_0004383	http://purl.obolibrary.org/obo/UPHENO_0083894
http://purl.obolibrary.org/obo/GO_0016905	http://purl.obolibrary.org/obo/UPHENO_0089372
http://purl.obolibrary.org/obo/GO_0047555	http://purl.obolibrary.org/obo/UPHENO_0083895
http://purl.obolibrary.org/obo/GO_0008289	http://purl.obolibrary.org/obo/UPHENO_0083896
http://purl.obolibrary.org/obo/GO_0045499	http://purl.obolibrary.org/obo/UPHENO_0083898
http://purl.obolibrary.org/obo/GO_0031545	http://purl.obolibrary.org/obo/UPHENO_0089373
http://purl.obolibrary.org/obo/GO_0035091	http://purl.obolibrary.org/obo/UPHENO_0083902
http://purl.obolibrary.org/obo/GO_0003674	http://purl.obolibrary.org/obo/UPHENO_0081815
http://purl.obolibrary.org/obo/GO_0005515	http://purl.obolibrary.org/obo/UPHENO_0083905
http://purl.obolibrary.org/obo/GO_0004725	http://purl.obolibrary.org/obo/UPHENO_0089374
http://purl.obolibrary.org/obo/GO_0004129	http://purl.obolibrary.org/obo/UPHENO_0083906
http://purl.obolibrary.org/obo/GO_0004407	http://purl.obolibrary.org/obo/UPHENO_0083907
http://purl.obolibrary.org/obo/GO_0036094	http://purl.obolibrary.org/obo/UPHENO_0083908
http://purl.obolibrary.org/obo/GO_0030552	http://purl.obolibrary.org/obo/UPHENO_0083909
http://purl.obolibrary.org/obo/GO_0042800	http://purl.obolibrary.org/obo/UPHENO_0089375
http://purl.obolibrary.org/obo/GO_0004096	http://purl.obolibrary.org/obo/UPHENO_0083892
http://purl.obolibrary.org/obo/GO_0005085	http://purl.obolibrary.org/obo/UPHENO_0083893
http://purl.obolibrary.org/obo/GO_0010854	http://purl.obolibrary.org/obo/UPHENO_0089376
http://purl.obolibrary.org/obo/GO_0004672	http://purl.obolibrary.org/obo/UPHENO_0083897
http://purl.obolibrary.org/obo/GO_0046974	http://purl.obolibrary.org/obo/UPHENO_0089377
http://purl.obolibrary.org/obo/GO_0010856	http://purl.obolibrary.org/obo/UPHENO_0089378
http://purl.obolibrary.org/obo/GO_0005542	http://purl.obolibrary.org/obo/UPHENO_0083899
http://purl.obolibrary.org/obo/GO_0004671	http://purl.obolibrary.org/obo/UPHENO_0089379
http://purl.obolibrary.org/obo/GO_0004115	http://purl.obolibrary.org/obo/UPHENO_0083900
http://purl.obolibrary.org/obo/GO_0004016	http://purl.obolibrary.org/obo/UPHENO_0083901
http://purl.obolibrary.org/obo/GO_0005546	http://purl.obolibrary.org/obo/UPHENO_0083903
http://purl.obolibrary.org/obo/GO_0030248	http://purl.obolibrary.org/obo/UPHENO_0083904
http://purl.obolibrary.org/obo/GO_0004713	http://purl.obolibrary.org/obo/UPHENO_0089380
http://purl.obolibrary.org/obo/GO_0003886	http://purl.obolibrary.org/obo/UPHENO_0089381
http://purl.obolibrary.org/obo/GO_0016791	http://purl.obolibrary.org/obo/UPHENO_0089382
http://purl.obolibrary.org/obo/GO_0031151	http://purl.obolibrary.org/obo/UPHENO_0089383
http://purl.obolibrary.org/obo/GO_0003824	http://purl.obolibrary.org/obo/UPHENO_0081813
http://purl.obolibrary.org/obo/GO_0019887	http://purl.obolibrary.org/obo/UPHENO_0089384
http://purl.obolibrary.org/obo/GO_0030246	http://purl.obolibrary.org/obo/UPHENO_0081814
http://purl.obolibrary.org/obo/GO_0003723	http://purl.obolibrary.org/obo/UPHENO_0081816
http://purl.obolibrary.org/obo/GO_0008061	http://purl.obolibrary.org/obo/UPHENO_0081817
http://purl.obolibrary.org/obo/GO_0003677	http://purl.obolibrary.org/obo/UPHENO_0081818
http://purl.obolibrary.org/obo/GO_0004568	http://purl.obolibrary.org/obo/UPHENO_0081819
