cellular_component	defined_class	defined_class_name
http://purl.obolibrary.org/obo/GO_0005739	http://purl.obolibrary.org/obo/UPHENO_0082544	
http://purl.obolibrary.org/obo/GO_0005575	http://purl.obolibrary.org/obo/UPHENO_0006889	
http://purl.obolibrary.org/obo/GO_0005643	http://purl.obolibrary.org/obo/UPHENO_0082545	
http://purl.obolibrary.org/obo/GO_0005912	http://purl.obolibrary.org/obo/UPHENO_0082546	
http://purl.obolibrary.org/obo/GO_0032179	http://purl.obolibrary.org/obo/UPHENO_0082547	
http://purl.obolibrary.org/obo/GO_0005634	http://purl.obolibrary.org/obo/UPHENO_0082548	cell nucleus phenotype
http://purl.obolibrary.org/obo/GO_0001917	http://purl.obolibrary.org/obo/UPHENO_0006890	
http://purl.obolibrary.org/obo/GO_0000795	http://purl.obolibrary.org/obo/UPHENO_0006891	
http://purl.obolibrary.org/obo/CL_0000518	http://purl.obolibrary.org/obo/UPHENO_0006892	
http://purl.obolibrary.org/obo/CL_0000127	http://purl.obolibrary.org/obo/UPHENO_0006893	
http://purl.obolibrary.org/obo/CL_0000766	http://purl.obolibrary.org/obo/UPHENO_0006894	
http://purl.obolibrary.org/obo/CL_0000128	http://purl.obolibrary.org/obo/UPHENO_0006895	
http://purl.obolibrary.org/obo/CL_0000129	http://purl.obolibrary.org/obo/UPHENO_0006896	
http://purl.obolibrary.org/obo/CL_0000218	http://purl.obolibrary.org/obo/UPHENO_0006897	
http://purl.obolibrary.org/obo/CL_0000125	http://purl.obolibrary.org/obo/UPHENO_0006899	
http://purl.obolibrary.org/obo/GO_0005746	http://purl.obolibrary.org/obo/UPHENO_0006900	
http://purl.obolibrary.org/obo/CL_0000835	http://purl.obolibrary.org/obo/UPHENO_0080007	
http://purl.obolibrary.org/obo/CL_0000806	http://purl.obolibrary.org/obo/UPHENO_0080008	
http://purl.obolibrary.org/obo/CL_0002092	http://purl.obolibrary.org/obo/UPHENO_0080009	
http://purl.obolibrary.org/obo/CL_0000081	http://purl.obolibrary.org/obo/UPHENO_0080010	
http://purl.obolibrary.org/obo/CL_0000300	http://purl.obolibrary.org/obo/UPHENO_0080011	
http://purl.obolibrary.org/obo/CL_0000653	http://purl.obolibrary.org/obo/UPHENO_0080012	
http://purl.obolibrary.org/obo/CL_0000120	http://purl.obolibrary.org/obo/UPHENO_0080013	
http://purl.obolibrary.org/obo/CL_0000650	http://purl.obolibrary.org/obo/UPHENO_0080015	
http://purl.obolibrary.org/obo/CL_0000452	http://purl.obolibrary.org/obo/UPHENO_0080016	
