cellular_component	defined_class
http://purl.obolibrary.org/obo/GO_0005575	http://purl.obolibrary.org/obo/UPHENO_0079505
http://purl.obolibrary.org/obo/CL_0002608	http://purl.obolibrary.org/obo/UPHENO_0079502
http://purl.obolibrary.org/obo/CL_0002668	http://purl.obolibrary.org/obo/UPHENO_0079507
http://purl.obolibrary.org/obo/CL_0000609	http://purl.obolibrary.org/obo/UPHENO_0079510
http://purl.obolibrary.org/obo/CL_1000191	http://purl.obolibrary.org/obo/UPHENO_0079512
http://purl.obolibrary.org/obo/CL_0000740	http://purl.obolibrary.org/obo/UPHENO_0079513
http://purl.obolibrary.org/obo/CL_0000561	http://purl.obolibrary.org/obo/UPHENO_0079517
http://purl.obolibrary.org/obo/CL_0000100	http://purl.obolibrary.org/obo/UPHENO_0079518
http://purl.obolibrary.org/obo/CL_0000287	http://purl.obolibrary.org/obo/UPHENO_0079521
http://purl.obolibrary.org/obo/CL_0000059	http://purl.obolibrary.org/obo/UPHENO_0079527
http://purl.obolibrary.org/obo/CL_0000573	http://purl.obolibrary.org/obo/UPHENO_0079529
