biological_process	location	defined_class
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001621	http://purl.obolibrary.org/obo/UPHENO_0084416
http://purl.obolibrary.org/obo/GO_0008015	http://purl.obolibrary.org/obo/UBERON_0001869	http://purl.obolibrary.org/obo/UPHENO_0080219
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0000955	http://purl.obolibrary.org/obo/UPHENO_0080220
http://purl.obolibrary.org/obo/GO_0008015	http://purl.obolibrary.org/obo/UBERON_0002113	http://purl.obolibrary.org/obo/UPHENO_0080222
http://purl.obolibrary.org/obo/GO_0008015	http://purl.obolibrary.org/obo/UBERON_0001621	http://purl.obolibrary.org/obo/UPHENO_0084417
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001869	http://purl.obolibrary.org/obo/UPHENO_0080223
http://purl.obolibrary.org/obo/GO_0008015	http://purl.obolibrary.org/obo/UBERON_0000955	http://purl.obolibrary.org/obo/UPHENO_0080224
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0002113	http://purl.obolibrary.org/obo/UPHENO_0080226
http://purl.obolibrary.org/obo/GO_0035878	http://purl.obolibrary.org/obo/UBERON_0001705	http://purl.obolibrary.org/obo/UPHENO_0080227
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001705	http://purl.obolibrary.org/obo/UPHENO_0080228
