anatomical_entity	location	shape	defined_class
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004330	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082045
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004320	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082046
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004331	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082047
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004313	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082050
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004316	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082051
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004316	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082052
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004311	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082053
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004311	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082054
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004312	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082055
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004312	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082056
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UBERON_0010708	http://purl.obolibrary.org/obo/PATO_0000411	http://purl.obolibrary.org/obo/UPHENO_0082059
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004314	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082060
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004314	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082061
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004317	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082062
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004317	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082063
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004315	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082065
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004315	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082066
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004321	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082067
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004321	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082068
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004324	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082070
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004324	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082071
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004327	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082072
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004327	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082073
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004314	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082074
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UBERON_0004334	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082075
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004322	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082076
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004322	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082077
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004329	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082079
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004329	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082080
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004323	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082081
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004311	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082083
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004318	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082084
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004318	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082086
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004312	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082087
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004313	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082089
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004319	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082091
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004319	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082092
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004320	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082094
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004320	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082095
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004331	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082096
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004331	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082097
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004330	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082098
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004337	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082099
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004337	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082100
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UBERON_0004336	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082101
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004325	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082102
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004325	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082103
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UBERON_0004332	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082104
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004328	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082105
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004328	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082106
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UBERON_0004335	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082107
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004326	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082108
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004338	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082109
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004326	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082110
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004338	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082111
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UBERON_0004333	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082112
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004328	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082116
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004321	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082117
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004322	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082118
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004323	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082120
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004320	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082123
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004313	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082125
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004312	http://purl.obolibrary.org/obo/PATO_0002142	http://purl.obolibrary.org/obo/UPHENO_0082126
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0004312	http://purl.obolibrary.org/obo/PATO_0002021	http://purl.obolibrary.org/obo/UPHENO_0082127
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004329	http://purl.obolibrary.org/obo/PATO_0001875	http://purl.obolibrary.org/obo/UPHENO_0082137
