anatomical_entity	location	defined_class
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0007721	http://purl.obolibrary.org/obo/UPHENO_0081913
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0001464	http://purl.obolibrary.org/obo/UPHENO_0081915
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0007735	http://purl.obolibrary.org/obo/UPHENO_0081914
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0003839	http://purl.obolibrary.org/obo/UPHENO_0081916
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0001461	http://purl.obolibrary.org/obo/UPHENO_0081917
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0007723	http://purl.obolibrary.org/obo/UPHENO_0081918
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0001467	http://purl.obolibrary.org/obo/UPHENO_0081919
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0001466	http://purl.obolibrary.org/obo/UPHENO_0081921
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0001465	http://purl.obolibrary.org/obo/UPHENO_0081922
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0007762	http://purl.obolibrary.org/obo/UPHENO_0081923
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0004452	http://purl.obolibrary.org/obo/UPHENO_0081924
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0011265	http://purl.obolibrary.org/obo/UPHENO_0081925
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0007753	http://purl.obolibrary.org/obo/UPHENO_0081926
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0001467	http://purl.obolibrary.org/obo/UPHENO_0081927
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0007759	http://purl.obolibrary.org/obo/UPHENO_0081928
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0001461	http://purl.obolibrary.org/obo/UPHENO_0081929
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0014507	http://purl.obolibrary.org/obo/UPHENO_0081930
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0001466	http://purl.obolibrary.org/obo/UPHENO_0081931
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0007721	http://purl.obolibrary.org/obo/UPHENO_0081932
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0007756	http://purl.obolibrary.org/obo/UPHENO_0081933
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0001465	http://purl.obolibrary.org/obo/UPHENO_0081934
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0007723	http://purl.obolibrary.org/obo/UPHENO_0081935
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0003839	http://purl.obolibrary.org/obo/UPHENO_0081936
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0001464	http://purl.obolibrary.org/obo/UPHENO_0081938
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0014668	http://purl.obolibrary.org/obo/UPHENO_0081939
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0007750	http://purl.obolibrary.org/obo/UPHENO_0081940
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0002389	http://purl.obolibrary.org/obo/UPHENO_0081941
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0002544	http://purl.obolibrary.org/obo/UPHENO_0081942
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0011265	http://purl.obolibrary.org/obo/UPHENO_0081944
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0007762	http://purl.obolibrary.org/obo/UPHENO_0081943
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004452	http://purl.obolibrary.org/obo/UPHENO_0081945
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0007759	http://purl.obolibrary.org/obo/UPHENO_0081946
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0007744	http://purl.obolibrary.org/obo/UPHENO_0081947
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0007753	http://purl.obolibrary.org/obo/UPHENO_0081948
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0002544	http://purl.obolibrary.org/obo/UPHENO_0081949
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0002389	http://purl.obolibrary.org/obo/UPHENO_0081950
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0014670	http://purl.obolibrary.org/obo/UPHENO_0081951
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0007756	http://purl.obolibrary.org/obo/UPHENO_0081952
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0014672	http://purl.obolibrary.org/obo/UPHENO_0081953
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0014668	http://purl.obolibrary.org/obo/UPHENO_0081954
http://purl.obolibrary.org/obo/UBERON_0000043	http://purl.obolibrary.org/obo/UBERON_0007741	http://purl.obolibrary.org/obo/UPHENO_0081955
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0007750	http://purl.obolibrary.org/obo/UPHENO_0081956
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0014674	http://purl.obolibrary.org/obo/UPHENO_0081957
