chemical_entity	defined_class
http://purl.obolibrary.org/obo/CHEBI_26125	http://purl.obolibrary.org/obo/UPHENO_0066724
http://purl.obolibrary.org/obo/CHEBI_24741	http://purl.obolibrary.org/obo/UPHENO_0066725
http://purl.obolibrary.org/obo/CHEBI_16919	http://purl.obolibrary.org/obo/UPHENO_0066726
http://purl.obolibrary.org/obo/CHEBI_28300	http://purl.obolibrary.org/obo/UPHENO_0066727
http://purl.obolibrary.org/obo/PR_000007785	http://purl.obolibrary.org/obo/UPHENO_0066728
http://purl.obolibrary.org/obo/CHEBI_15428	http://purl.obolibrary.org/obo/UPHENO_0066729
http://purl.obolibrary.org/obo/CHEBI_18132	http://purl.obolibrary.org/obo/UPHENO_0084471
http://purl.obolibrary.org/obo/CHEBI_16393	http://purl.obolibrary.org/obo/UPHENO_0066730
http://purl.obolibrary.org/obo/CHEBI_26607	http://purl.obolibrary.org/obo/UPHENO_0066731
http://purl.obolibrary.org/obo/CHEBI_8337	http://purl.obolibrary.org/obo/UPHENO_0066732
http://purl.obolibrary.org/obo/CHEBI_30660	http://purl.obolibrary.org/obo/UPHENO_0066733
http://purl.obolibrary.org/obo/CHEBI_18059	http://purl.obolibrary.org/obo/UPHENO_0066793
http://purl.obolibrary.org/obo/CHEBI_18257	http://purl.obolibrary.org/obo/UPHENO_0066734
http://purl.obolibrary.org/obo/CHEBI_17761	http://purl.obolibrary.org/obo/UPHENO_0066735
http://purl.obolibrary.org/obo/CHEBI_30860	http://purl.obolibrary.org/obo/UPHENO_0066736
http://purl.obolibrary.org/obo/CHEBI_16113	http://purl.obolibrary.org/obo/UPHENO_0066737
http://purl.obolibrary.org/obo/CHEBI_18258	http://purl.obolibrary.org/obo/UPHENO_0066738
http://purl.obolibrary.org/obo/CHEBI_24431	http://purl.obolibrary.org/obo/UPHENO_0066739
http://purl.obolibrary.org/obo/CHEBI_18295	http://purl.obolibrary.org/obo/UPHENO_0066740
http://purl.obolibrary.org/obo/CHEBI_28790	http://purl.obolibrary.org/obo/UPHENO_0066741
http://purl.obolibrary.org/obo/CHEBI_26333	http://purl.obolibrary.org/obo/UPHENO_0066742
http://purl.obolibrary.org/obo/CHEBI_27300	http://purl.obolibrary.org/obo/UPHENO_0066743
http://purl.obolibrary.org/obo/CHEBI_27266	http://purl.obolibrary.org/obo/UPHENO_0066744
http://purl.obolibrary.org/obo/CHEBI_17755	http://purl.obolibrary.org/obo/UPHENO_0066745
http://purl.obolibrary.org/obo/CHEBI_17754	http://purl.obolibrary.org/obo/UPHENO_0066746
http://purl.obolibrary.org/obo/PR_000000046	http://purl.obolibrary.org/obo/UPHENO_0066747
http://purl.obolibrary.org/obo/CHEBI_16865	http://purl.obolibrary.org/obo/UPHENO_0066748
http://purl.obolibrary.org/obo/CHEBI_35366	http://purl.obolibrary.org/obo/UPHENO_0066749
http://purl.obolibrary.org/obo/CHEBI_3892	http://purl.obolibrary.org/obo/UPHENO_0066750
http://purl.obolibrary.org/obo/CHEBI_18243	http://purl.obolibrary.org/obo/UPHENO_0066751
http://purl.obolibrary.org/obo/CHEBI_15891	http://purl.obolibrary.org/obo/UPHENO_0066752
http://purl.obolibrary.org/obo/CHEBI_25805	http://purl.obolibrary.org/obo/UPHENO_0066753
http://purl.obolibrary.org/obo/PR_000002107	http://purl.obolibrary.org/obo/UPHENO_0083854
http://purl.obolibrary.org/obo/CHEBI_26986	http://purl.obolibrary.org/obo/UPHENO_0066754
http://purl.obolibrary.org/obo/PR_000003809	http://purl.obolibrary.org/obo/UPHENO_0066784
http://purl.obolibrary.org/obo/CHEBI_22860	http://purl.obolibrary.org/obo/UPHENO_0084472
http://purl.obolibrary.org/obo/CHEBI_25017	http://purl.obolibrary.org/obo/UPHENO_0066755
http://purl.obolibrary.org/obo/CHEBI_28044	http://purl.obolibrary.org/obo/UPHENO_0066756
http://purl.obolibrary.org/obo/CHEBI_28087	http://purl.obolibrary.org/obo/UPHENO_0066757
http://purl.obolibrary.org/obo/CHEBI_29016	http://purl.obolibrary.org/obo/UPHENO_0066758
http://purl.obolibrary.org/obo/CHEBI_25094	http://purl.obolibrary.org/obo/UPHENO_0066759
http://purl.obolibrary.org/obo/CHEBI_16336	http://purl.obolibrary.org/obo/UPHENO_0089893
http://purl.obolibrary.org/obo/CHEBI_16811	http://purl.obolibrary.org/obo/UPHENO_0066760
http://purl.obolibrary.org/obo/PR_000036009	http://purl.obolibrary.org/obo/UPHENO_0081711
http://purl.obolibrary.org/obo/CHEBI_17822	http://purl.obolibrary.org/obo/UPHENO_0066761
http://purl.obolibrary.org/obo/CHEBI_16856	http://purl.obolibrary.org/obo/UPHENO_0066762
http://purl.obolibrary.org/obo/CHEBI_15889	http://purl.obolibrary.org/obo/UPHENO_0066763
http://purl.obolibrary.org/obo/CHEBI_15724	http://purl.obolibrary.org/obo/UPHENO_0084473
http://purl.obolibrary.org/obo/CHEBI_18237	http://purl.obolibrary.org/obo/UPHENO_0066764
http://purl.obolibrary.org/obo/CHEBI_22868	http://purl.obolibrary.org/obo/UPHENO_0066765
http://purl.obolibrary.org/obo/CHEBI_25029	http://purl.obolibrary.org/obo/UPHENO_0066766
http://purl.obolibrary.org/obo/CHEBI_24898	http://purl.obolibrary.org/obo/UPHENO_0066767
