biological_process	defined_class
http://purl.obolibrary.org/obo/NBO_0001987	http://purl.obolibrary.org/obo/UPHENO_0082002
http://purl.obolibrary.org/obo/GO_0001553	http://purl.obolibrary.org/obo/UPHENO_0085647
http://purl.obolibrary.org/obo/GO_0030317	http://purl.obolibrary.org/obo/UPHENO_0052749
http://purl.obolibrary.org/obo/GO_0097421	http://purl.obolibrary.org/obo/UPHENO_0083981
http://purl.obolibrary.org/obo/GO_0044321	http://purl.obolibrary.org/obo/UPHENO_0089771
http://purl.obolibrary.org/obo/GO_0007056	http://purl.obolibrary.org/obo/UPHENO_0089772
http://purl.obolibrary.org/obo/GO_0009566	http://purl.obolibrary.org/obo/UPHENO_0082001
http://purl.obolibrary.org/obo/GO_0043403	http://purl.obolibrary.org/obo/UPHENO_0082006
http://purl.obolibrary.org/obo/GO_0040038	http://purl.obolibrary.org/obo/UPHENO_0089773
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UPHENO_0052178
http://purl.obolibrary.org/obo/GO_0042628	http://purl.obolibrary.org/obo/UPHENO_0089774
http://purl.obolibrary.org/obo/GO_0061026	http://purl.obolibrary.org/obo/UPHENO_0052450
http://purl.obolibrary.org/obo/GO_0099129	http://purl.obolibrary.org/obo/UPHENO_0085648
http://purl.obolibrary.org/obo/GO_0006555	http://purl.obolibrary.org/obo/UPHENO_0052163
http://purl.obolibrary.org/obo/GO_0007601	http://purl.obolibrary.org/obo/UPHENO_0052164
http://purl.obolibrary.org/obo/GO_0043084	http://purl.obolibrary.org/obo/UPHENO_0082003
http://purl.obolibrary.org/obo/GO_0042692	http://purl.obolibrary.org/obo/UPHENO_0079485
http://purl.obolibrary.org/obo/GO_0048899	http://purl.obolibrary.org/obo/UPHENO_0052182
http://purl.obolibrary.org/obo/GO_0003146	http://purl.obolibrary.org/obo/UPHENO_0052183
http://purl.obolibrary.org/obo/GO_0006897	http://purl.obolibrary.org/obo/UPHENO_0052184
http://purl.obolibrary.org/obo/GO_0050975	http://purl.obolibrary.org/obo/UPHENO_0052185
http://purl.obolibrary.org/obo/GO_0006412	http://purl.obolibrary.org/obo/UPHENO_0052187
http://purl.obolibrary.org/obo/GO_0050973	http://purl.obolibrary.org/obo/UPHENO_0089775
http://purl.obolibrary.org/obo/GO_0007507	http://purl.obolibrary.org/obo/UPHENO_0052188
http://purl.obolibrary.org/obo/GO_0048894	http://purl.obolibrary.org/obo/UPHENO_0052189
http://purl.obolibrary.org/obo/GO_0007508	http://purl.obolibrary.org/obo/UPHENO_0052190
http://purl.obolibrary.org/obo/GO_1990266	http://purl.obolibrary.org/obo/UPHENO_0052191
http://purl.obolibrary.org/obo/GO_0007626	http://purl.obolibrary.org/obo/UPHENO_0052823
http://purl.obolibrary.org/obo/GO_0048896	http://purl.obolibrary.org/obo/UPHENO_0052193
http://purl.obolibrary.org/obo/GO_0030509	http://purl.obolibrary.org/obo/UPHENO_0052196
http://purl.obolibrary.org/obo/GO_0003260	http://purl.obolibrary.org/obo/UPHENO_0052826
http://purl.obolibrary.org/obo/GO_0003261	http://purl.obolibrary.org/obo/UPHENO_0052827
http://purl.obolibrary.org/obo/GO_0003140	http://purl.obolibrary.org/obo/UPHENO_0052198
http://purl.obolibrary.org/obo/GO_0003262	http://purl.obolibrary.org/obo/UPHENO_0052829
http://purl.obolibrary.org/obo/GO_0048538	http://purl.obolibrary.org/obo/UPHENO_0052830
http://purl.obolibrary.org/obo/GO_0003143	http://purl.obolibrary.org/obo/UPHENO_0052199
http://purl.obolibrary.org/obo/GO_0019722	http://purl.obolibrary.org/obo/UPHENO_0052203
http://purl.obolibrary.org/obo/GO_0014037	http://purl.obolibrary.org/obo/UPHENO_0052204
http://purl.obolibrary.org/obo/GO_0014033	http://purl.obolibrary.org/obo/UPHENO_0052205
http://purl.obolibrary.org/obo/GO_0018991	http://purl.obolibrary.org/obo/UPHENO_0052839
http://purl.obolibrary.org/obo/GO_0014032	http://purl.obolibrary.org/obo/UPHENO_0052207
http://purl.obolibrary.org/obo/GO_0021910	http://purl.obolibrary.org/obo/UPHENO_0052841
http://purl.obolibrary.org/obo/GO_0006888	http://purl.obolibrary.org/obo/UPHENO_0052208
http://purl.obolibrary.org/obo/GO_0007613	http://purl.obolibrary.org/obo/UPHENO_0052843
http://purl.obolibrary.org/obo/GO_0003014	http://purl.obolibrary.org/obo/UPHENO_0052844
http://purl.obolibrary.org/obo/GO_0007611	http://purl.obolibrary.org/obo/UPHENO_0052845
http://purl.obolibrary.org/obo/GO_0007612	http://purl.obolibrary.org/obo/UPHENO_0052848
http://purl.obolibrary.org/obo/GO_0050962	http://purl.obolibrary.org/obo/UPHENO_0052211
http://purl.obolibrary.org/obo/GO_0045494	http://purl.obolibrary.org/obo/UPHENO_0052850
http://purl.obolibrary.org/obo/GO_0030878	http://purl.obolibrary.org/obo/UPHENO_0052852
http://purl.obolibrary.org/obo/GO_0048885	http://purl.obolibrary.org/obo/UPHENO_0052214
http://purl.obolibrary.org/obo/GO_0002040	http://purl.obolibrary.org/obo/UPHENO_0052217
http://purl.obolibrary.org/obo/GO_0002042	http://purl.obolibrary.org/obo/UPHENO_0052218
http://purl.obolibrary.org/obo/GO_0006883	http://purl.obolibrary.org/obo/UPHENO_0052219
http://purl.obolibrary.org/obo/GO_0002043	http://purl.obolibrary.org/obo/UPHENO_0052222
http://purl.obolibrary.org/obo/GO_0016203	http://purl.obolibrary.org/obo/UPHENO_0052223
http://purl.obolibrary.org/obo/GO_0061744	http://purl.obolibrary.org/obo/UPHENO_0085649
http://purl.obolibrary.org/obo/GO_0060536	http://purl.obolibrary.org/obo/UPHENO_0052224
http://purl.obolibrary.org/obo/GO_0014021	http://purl.obolibrary.org/obo/UPHENO_0052227
http://purl.obolibrary.org/obo/GO_0050954	http://purl.obolibrary.org/obo/UPHENO_0052231
http://purl.obolibrary.org/obo/GO_0050830	http://purl.obolibrary.org/obo/UPHENO_0052864
http://purl.obolibrary.org/obo/GO_0007528	http://purl.obolibrary.org/obo/UPHENO_0052236
http://purl.obolibrary.org/obo/GO_0048512	http://purl.obolibrary.org/obo/UPHENO_0052871
http://purl.obolibrary.org/obo/GO_0003160	http://purl.obolibrary.org/obo/UPHENO_0052237
http://purl.obolibrary.org/obo/GO_0002072	http://purl.obolibrary.org/obo/UPHENO_0085650
http://purl.obolibrary.org/obo/GO_0050957	http://purl.obolibrary.org/obo/UPHENO_0052239
http://purl.obolibrary.org/obo/GO_0048514	http://purl.obolibrary.org/obo/UPHENO_0052877
http://purl.obolibrary.org/obo/GO_0070306	http://purl.obolibrary.org/obo/UPHENO_0052242
http://purl.obolibrary.org/obo/GO_0021935	http://purl.obolibrary.org/obo/UPHENO_0052881
http://purl.obolibrary.org/obo/GO_0036065	http://purl.obolibrary.org/obo/UPHENO_0052244
