biological_process	defined_class
http://purl.obolibrary.org/obo/GO_0007341	http://purl.obolibrary.org/obo/UPHENO_0076897
http://purl.obolibrary.org/obo/GO_0035036	http://purl.obolibrary.org/obo/UPHENO_0076898
http://purl.obolibrary.org/obo/NBO_0000097	http://purl.obolibrary.org/obo/UPHENO_0080253
http://purl.obolibrary.org/obo/NBO_0000131	http://purl.obolibrary.org/obo/UPHENO_0080254
http://purl.obolibrary.org/obo/GO_0030421	http://purl.obolibrary.org/obo/UPHENO_0005579
http://purl.obolibrary.org/obo/GO_0007339	http://purl.obolibrary.org/obo/UPHENO_0076899
http://purl.obolibrary.org/obo/NBO_0000037	http://purl.obolibrary.org/obo/UPHENO_0080257
http://purl.obolibrary.org/obo/GO_0070091	http://purl.obolibrary.org/obo/UPHENO_0005581
http://purl.obolibrary.org/obo/GO_0001951	http://purl.obolibrary.org/obo/UPHENO_0005503
http://purl.obolibrary.org/obo/NBO_0000318	http://purl.obolibrary.org/obo/UPHENO_0080258
http://purl.obolibrary.org/obo/GO_0042060	http://purl.obolibrary.org/obo/UPHENO_0005582
http://purl.obolibrary.org/obo/GO_0045453	http://purl.obolibrary.org/obo/UPHENO_0005584
http://purl.obolibrary.org/obo/GO_0003094	http://purl.obolibrary.org/obo/UPHENO_0005549
http://purl.obolibrary.org/obo/GO_0046541	http://purl.obolibrary.org/obo/UPHENO_0005585
http://purl.obolibrary.org/obo/NBO_0002065	http://purl.obolibrary.org/obo/UPHENO_0080260
http://purl.obolibrary.org/obo/GO_0006094	http://purl.obolibrary.org/obo/UPHENO_0005430
http://purl.obolibrary.org/obo/GO_0040007	http://purl.obolibrary.org/obo/UPHENO_0005431
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UPHENO_0005433
http://purl.obolibrary.org/obo/NBO_0000545	http://purl.obolibrary.org/obo/UPHENO_0080262
http://purl.obolibrary.org/obo/NBO_0001679	http://purl.obolibrary.org/obo/UPHENO_0080263
http://purl.obolibrary.org/obo/NBO_0000103	http://purl.obolibrary.org/obo/UPHENO_0080264
http://purl.obolibrary.org/obo/GO_0001542	http://purl.obolibrary.org/obo/UPHENO_0084419
http://purl.obolibrary.org/obo/GO_0050798	http://purl.obolibrary.org/obo/UPHENO_0005557
http://purl.obolibrary.org/obo/GO_0001541	http://purl.obolibrary.org/obo/UPHENO_0005439
http://purl.obolibrary.org/obo/GO_0007605	http://purl.obolibrary.org/obo/UPHENO_0005518
http://purl.obolibrary.org/obo/GO_0007566	http://purl.obolibrary.org/obo/UPHENO_0005605
http://purl.obolibrary.org/obo/GO_0005980	http://purl.obolibrary.org/obo/UPHENO_0005560
http://purl.obolibrary.org/obo/GO_0042730	http://purl.obolibrary.org/obo/UPHENO_0005607
http://purl.obolibrary.org/obo/NBO_0000391	http://purl.obolibrary.org/obo/UPHENO_0080268
http://purl.obolibrary.org/obo/NBO_0000110	http://purl.obolibrary.org/obo/UPHENO_0080270
http://purl.obolibrary.org/obo/NBO_0000578	http://purl.obolibrary.org/obo/UPHENO_0080271
http://purl.obolibrary.org/obo/NBO_0000015	http://purl.obolibrary.org/obo/UPHENO_0080273
http://purl.obolibrary.org/obo/NBO_0000412	http://purl.obolibrary.org/obo/UPHENO_0080274
http://purl.obolibrary.org/obo/NBO_0000339	http://purl.obolibrary.org/obo/UPHENO_0080275
http://purl.obolibrary.org/obo/GO_0042640	http://purl.obolibrary.org/obo/UPHENO_0005473
http://purl.obolibrary.org/obo/GO_0060073	http://purl.obolibrary.org/obo/UPHENO_0005474
http://purl.obolibrary.org/obo/NBO_0000223	http://purl.obolibrary.org/obo/UPHENO_0080279
http://purl.obolibrary.org/obo/GO_0030099	http://purl.obolibrary.org/obo/UPHENO_0005488
http://purl.obolibrary.org/obo/NBO_0000604	http://purl.obolibrary.org/obo/UPHENO_0080281
http://purl.obolibrary.org/obo/GO_0006955	http://purl.obolibrary.org/obo/UPHENO_0005638
http://purl.obolibrary.org/obo/GO_0042110	http://purl.obolibrary.org/obo/UPHENO_0005495
http://purl.obolibrary.org/obo/GO_0009790	http://purl.obolibrary.org/obo/UPHENO_0005642
http://purl.obolibrary.org/obo/GO_0002250	http://purl.obolibrary.org/obo/UPHENO_0005622
http://purl.obolibrary.org/obo/GO_0006012	http://purl.obolibrary.org/obo/UPHENO_0005624
http://purl.obolibrary.org/obo/GO_0014831	http://purl.obolibrary.org/obo/UPHENO_0080282
http://purl.obolibrary.org/obo/GO_0060004	http://purl.obolibrary.org/obo/UPHENO_0005625
http://purl.obolibrary.org/obo/GO_0060047	http://purl.obolibrary.org/obo/UPHENO_0005931
http://purl.obolibrary.org/obo/NBO_0000075	http://purl.obolibrary.org/obo/UPHENO_0080283
http://purl.obolibrary.org/obo/GO_0019221	http://purl.obolibrary.org/obo/UPHENO_0005643
http://purl.obolibrary.org/obo/GO_0097722	http://purl.obolibrary.org/obo/UPHENO_0005523
http://purl.obolibrary.org/obo/GO_0070166	http://purl.obolibrary.org/obo/UPHENO_0005627
http://purl.obolibrary.org/obo/GO_0070227	http://purl.obolibrary.org/obo/UPHENO_0005645
http://purl.obolibrary.org/obo/NBO_0000233	http://purl.obolibrary.org/obo/UPHENO_0080284
http://purl.obolibrary.org/obo/GO_0055127	http://purl.obolibrary.org/obo/UPHENO_0076901
http://purl.obolibrary.org/obo/GO_1990770	http://purl.obolibrary.org/obo/UPHENO_0080285
http://purl.obolibrary.org/obo/NBO_0000616	http://purl.obolibrary.org/obo/UPHENO_0080286
http://purl.obolibrary.org/obo/GO_0006000	http://purl.obolibrary.org/obo/UPHENO_0005630
http://purl.obolibrary.org/obo/GO_0007283	http://purl.obolibrary.org/obo/UPHENO_0005651
http://purl.obolibrary.org/obo/GO_0030252	http://purl.obolibrary.org/obo/UPHENO_0005652
http://purl.obolibrary.org/obo/GO_0050881	http://purl.obolibrary.org/obo/UPHENO_0005507
http://purl.obolibrary.org/obo/NBO_0000043	http://purl.obolibrary.org/obo/UPHENO_0080287
http://purl.obolibrary.org/obo/GO_0060756	http://purl.obolibrary.org/obo/UPHENO_0005674
http://purl.obolibrary.org/obo/GO_0032502	http://purl.obolibrary.org/obo/UPHENO_0005597
http://purl.obolibrary.org/obo/GO_0043050	http://purl.obolibrary.org/obo/UPHENO_0005672
http://purl.obolibrary.org/obo/GO_0051301	http://purl.obolibrary.org/obo/UPHENO_0005655
http://purl.obolibrary.org/obo/GO_0042073	http://purl.obolibrary.org/obo/UPHENO_0005656
http://purl.obolibrary.org/obo/GO_0048511	http://purl.obolibrary.org/obo/UPHENO_0005442
http://purl.obolibrary.org/obo/GO_0018991	http://purl.obolibrary.org/obo/UPHENO_0005659
http://purl.obolibrary.org/obo/GO_0040011	http://purl.obolibrary.org/obo/UPHENO_0005413
http://purl.obolibrary.org/obo/GO_0071929	http://purl.obolibrary.org/obo/UPHENO_0076902
http://purl.obolibrary.org/obo/GO_0007552	http://purl.obolibrary.org/obo/UPHENO_0080288
http://purl.obolibrary.org/obo/GO_0007635	http://purl.obolibrary.org/obo/UPHENO_0086160
http://purl.obolibrary.org/obo/GO_0007625	http://purl.obolibrary.org/obo/UPHENO_0086161
http://purl.obolibrary.org/obo/GO_0007628	http://purl.obolibrary.org/obo/UPHENO_0086162
http://purl.obolibrary.org/obo/GO_0007617	http://purl.obolibrary.org/obo/UPHENO_0086163
http://purl.obolibrary.org/obo/GO_0007629	http://purl.obolibrary.org/obo/UPHENO_0086164
http://purl.obolibrary.org/obo/GO_0007626	http://purl.obolibrary.org/obo/UPHENO_0005678
http://purl.obolibrary.org/obo/GO_0007637	http://purl.obolibrary.org/obo/UPHENO_0086165
http://purl.obolibrary.org/obo/GO_0007155	http://purl.obolibrary.org/obo/UPHENO_0080289
http://purl.obolibrary.org/obo/GO_0007620	http://purl.obolibrary.org/obo/UPHENO_0086166
http://purl.obolibrary.org/obo/GO_0007631	http://purl.obolibrary.org/obo/UPHENO_0005673
http://purl.obolibrary.org/obo/GO_0042331	http://purl.obolibrary.org/obo/UPHENO_0080290
http://purl.obolibrary.org/obo/GO_0008344	http://purl.obolibrary.org/obo/UPHENO_0086167
http://purl.obolibrary.org/obo/GO_0007630	http://purl.obolibrary.org/obo/UPHENO_0086168
http://purl.obolibrary.org/obo/GO_0008345	http://purl.obolibrary.org/obo/UPHENO_0005781
http://purl.obolibrary.org/obo/GO_0050879	http://purl.obolibrary.org/obo/UPHENO_0005521
http://purl.obolibrary.org/obo/GO_0016049	http://purl.obolibrary.org/obo/UPHENO_0076903
http://purl.obolibrary.org/obo/GO_0007619	http://purl.obolibrary.org/obo/UPHENO_0086169
http://purl.obolibrary.org/obo/GO_0030431	http://purl.obolibrary.org/obo/UPHENO_0005595
http://purl.obolibrary.org/obo/GO_0006777	http://purl.obolibrary.org/obo/UPHENO_0005676
http://purl.obolibrary.org/obo/GO_0032402	http://purl.obolibrary.org/obo/UPHENO_0005850
http://purl.obolibrary.org/obo/GO_0000278	http://purl.obolibrary.org/obo/UPHENO_0005851
http://purl.obolibrary.org/obo/GO_0006936	http://purl.obolibrary.org/obo/UPHENO_0005852
http://purl.obolibrary.org/obo/GO_1990266	http://purl.obolibrary.org/obo/UPHENO_0086170
http://purl.obolibrary.org/obo/GO_0006096	http://purl.obolibrary.org/obo/UPHENO_0005680
http://purl.obolibrary.org/obo/GO_0007586	http://purl.obolibrary.org/obo/UPHENO_0005857
http://purl.obolibrary.org/obo/GO_0061337	http://purl.obolibrary.org/obo/UPHENO_0005858
http://purl.obolibrary.org/obo/GO_0008283	http://purl.obolibrary.org/obo/UPHENO_0005415
http://purl.obolibrary.org/obo/GO_0030182	http://purl.obolibrary.org/obo/UPHENO_0005684
http://purl.obolibrary.org/obo/GO_0035630	http://purl.obolibrary.org/obo/UPHENO_0080291
