biological_process	location	defined_class
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0015249	http://purl.obolibrary.org/obo/UPHENO_0077870
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0000955	http://purl.obolibrary.org/obo/UPHENO_0081628
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0000019	http://purl.obolibrary.org/obo/UPHENO_0077871
http://purl.obolibrary.org/obo/GO_0008015	http://purl.obolibrary.org/obo/UBERON_0002113	http://purl.obolibrary.org/obo/UPHENO_0081629
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0002097	http://purl.obolibrary.org/obo/UPHENO_0077874
http://purl.obolibrary.org/obo/GO_0043473	http://purl.obolibrary.org/obo/UBERON_0001513	http://purl.obolibrary.org/obo/UPHENO_0077875
http://purl.obolibrary.org/obo/GO_0043473	http://purl.obolibrary.org/obo/UBERON_0000468	http://purl.obolibrary.org/obo/UPHENO_0077877
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001820	http://purl.obolibrary.org/obo/UPHENO_0077878
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001621	http://purl.obolibrary.org/obo/UPHENO_0081630
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0002115	http://purl.obolibrary.org/obo/UPHENO_0077879
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0002116	http://purl.obolibrary.org/obo/UPHENO_0077880
http://purl.obolibrary.org/obo/GO_0043473	http://purl.obolibrary.org/obo/UBERON_0001459	http://purl.obolibrary.org/obo/UPHENO_0077881
http://purl.obolibrary.org/obo/GO_0043473	http://purl.obolibrary.org/obo/UBERON_0016475	http://purl.obolibrary.org/obo/UPHENO_0077882
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0016475	http://purl.obolibrary.org/obo/UPHENO_0077883
http://purl.obolibrary.org/obo/GO_0014827	http://purl.obolibrary.org/obo/UBERON_0000381	http://purl.obolibrary.org/obo/UPHENO_0077884
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0002113	http://purl.obolibrary.org/obo/UPHENO_0081631
http://purl.obolibrary.org/obo/GO_0008015	http://purl.obolibrary.org/obo/UBERON_0001869	http://purl.obolibrary.org/obo/UPHENO_0081632
http://purl.obolibrary.org/obo/GO_0043473	http://purl.obolibrary.org/obo/UBERON_0002097	http://purl.obolibrary.org/obo/UPHENO_0077885
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001459	http://purl.obolibrary.org/obo/UPHENO_0077886
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0000007	http://purl.obolibrary.org/obo/UPHENO_0077887
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0001513	http://purl.obolibrary.org/obo/UPHENO_0077888
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0000468	http://purl.obolibrary.org/obo/UPHENO_0077889
http://purl.obolibrary.org/obo/GO_0046903	http://purl.obolibrary.org/obo/UBERON_0000007	http://purl.obolibrary.org/obo/UPHENO_0077890
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UBERON_0000381	http://purl.obolibrary.org/obo/UPHENO_0077891
