anatomical_entity	defined_class
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0080555
http://purl.obolibrary.org/obo/UBERON_0001630	http://purl.obolibrary.org/obo/UPHENO_0080556
http://purl.obolibrary.org/obo/UBERON_0001577	http://purl.obolibrary.org/obo/UPHENO_0083066
http://purl.obolibrary.org/obo/UBERON_0003663	http://purl.obolibrary.org/obo/UPHENO_0080557
http://purl.obolibrary.org/obo/UBERON_0004277	http://purl.obolibrary.org/obo/UPHENO_0080558
http://purl.obolibrary.org/obo/UBERON_0001474	http://purl.obolibrary.org/obo/UPHENO_0080559
http://purl.obolibrary.org/obo/UBERON_0003662	http://purl.obolibrary.org/obo/UPHENO_0080560
http://purl.obolibrary.org/obo/UBERON_0010952	http://purl.obolibrary.org/obo/UPHENO_0080561
http://purl.obolibrary.org/obo/UBERON_0008856	http://purl.obolibrary.org/obo/UPHENO_0080562
http://purl.obolibrary.org/obo/UBERON_0004481	http://purl.obolibrary.org/obo/UPHENO_0080563
http://purl.obolibrary.org/obo/UBERON_0001103	http://purl.obolibrary.org/obo/UPHENO_0080564
http://purl.obolibrary.org/obo/UBERON_0008196	http://purl.obolibrary.org/obo/UPHENO_0080565
http://purl.obolibrary.org/obo/UBERON_0001377	http://purl.obolibrary.org/obo/UPHENO_0080566
http://purl.obolibrary.org/obo/UBERON_0001578	http://purl.obolibrary.org/obo/UPHENO_0080567
http://purl.obolibrary.org/obo/UBERON_0003897	http://purl.obolibrary.org/obo/UPHENO_0080568
http://purl.obolibrary.org/obo/UBERON_0002377	http://purl.obolibrary.org/obo/UPHENO_0080569
http://purl.obolibrary.org/obo/UBERON_0001497	http://purl.obolibrary.org/obo/UPHENO_0080570
http://purl.obolibrary.org/obo/UBERON_0001111	http://purl.obolibrary.org/obo/UPHENO_0080571
http://purl.obolibrary.org/obo/UBERON_0003706	http://purl.obolibrary.org/obo/UPHENO_0080572
http://purl.obolibrary.org/obo/UBERON_0002988	http://purl.obolibrary.org/obo/UPHENO_0080573
http://purl.obolibrary.org/obo/UBERON_0001601	http://purl.obolibrary.org/obo/UPHENO_0080574
http://purl.obolibrary.org/obo/UBERON_0010890	http://purl.obolibrary.org/obo/UPHENO_0080575
http://purl.obolibrary.org/obo/UBERON_0014376	http://purl.obolibrary.org/obo/UPHENO_0080576
http://purl.obolibrary.org/obo/UBERON_0014398	http://purl.obolibrary.org/obo/UPHENO_0080577
