biological_process	defined_class
http://purl.obolibrary.org/obo/GO_0007567	http://purl.obolibrary.org/obo/UPHENO_0083037
http://purl.obolibrary.org/obo/GO_0003006	http://purl.obolibrary.org/obo/UPHENO_0000511
http://purl.obolibrary.org/obo/GO_0044691	http://purl.obolibrary.org/obo/UPHENO_0000512
http://purl.obolibrary.org/obo/GO_0042060	http://purl.obolibrary.org/obo/UPHENO_0000534
http://purl.obolibrary.org/obo/GO_0097421	http://purl.obolibrary.org/obo/UPHENO_0076948
http://purl.obolibrary.org/obo/GO_0061053	http://purl.obolibrary.org/obo/UPHENO_0000515
http://purl.obolibrary.org/obo/GO_0060186	http://purl.obolibrary.org/obo/UPHENO_0000517
http://purl.obolibrary.org/obo/GO_0060197	http://purl.obolibrary.org/obo/UPHENO_0000536
http://purl.obolibrary.org/obo/GO_0007566	http://purl.obolibrary.org/obo/UPHENO_0000519
http://purl.obolibrary.org/obo/GO_0042640	http://purl.obolibrary.org/obo/UPHENO_0000537
http://purl.obolibrary.org/obo/GO_0042696	http://purl.obolibrary.org/obo/UPHENO_0000522
http://purl.obolibrary.org/obo/GO_0060710	http://purl.obolibrary.org/obo/UPHENO_0076946
http://purl.obolibrary.org/obo/GO_0009566	http://purl.obolibrary.org/obo/UPHENO_0000523
http://purl.obolibrary.org/obo/GO_0043403	http://purl.obolibrary.org/obo/UPHENO_0083038
http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/UPHENO_0000543
http://purl.obolibrary.org/obo/GO_0061026	http://purl.obolibrary.org/obo/UPHENO_0083039
http://purl.obolibrary.org/obo/GO_0060322	http://purl.obolibrary.org/obo/UPHENO_0000526
http://purl.obolibrary.org/obo/GO_0001503	http://purl.obolibrary.org/obo/UPHENO_0000527
http://purl.obolibrary.org/obo/GO_0001822	http://purl.obolibrary.org/obo/UPHENO_0000528
http://purl.obolibrary.org/obo/GO_0001957	http://purl.obolibrary.org/obo/UPHENO_0000546
http://purl.obolibrary.org/obo/GO_0035483	http://purl.obolibrary.org/obo/UPHENO_0000547
http://purl.obolibrary.org/obo/GO_0001958	http://purl.obolibrary.org/obo/UPHENO_0000550
http://purl.obolibrary.org/obo/GO_0048839	http://purl.obolibrary.org/obo/UPHENO_0000531
http://purl.obolibrary.org/obo/GO_0060209	http://purl.obolibrary.org/obo/UPHENO_0000532
http://purl.obolibrary.org/obo/GO_0022011	http://purl.obolibrary.org/obo/UPHENO_0000551
http://purl.obolibrary.org/obo/GO_0042713	http://purl.obolibrary.org/obo/UPHENO_0080536
http://purl.obolibrary.org/obo/GO_0022010	http://purl.obolibrary.org/obo/UPHENO_0000552
http://purl.obolibrary.org/obo/GO_0040007	http://purl.obolibrary.org/obo/UPHENO_0000541
http://purl.obolibrary.org/obo/GO_0042552	http://purl.obolibrary.org/obo/UPHENO_0000553
http://purl.obolibrary.org/obo/GO_0045136	http://purl.obolibrary.org/obo/UPHENO_0000538
http://purl.obolibrary.org/obo/GO_0032502	http://purl.obolibrary.org/obo/UPHENO_0000508
http://purl.obolibrary.org/obo/GO_0035188	http://purl.obolibrary.org/obo/UPHENO_0000564
http://purl.obolibrary.org/obo/GO_0007283	http://purl.obolibrary.org/obo/UPHENO_0000565
http://purl.obolibrary.org/obo/GO_0007049	http://purl.obolibrary.org/obo/UPHENO_0000827
http://purl.obolibrary.org/obo/GO_0002164	http://purl.obolibrary.org/obo/UPHENO_0000563
http://purl.obolibrary.org/obo/GO_0009790	http://purl.obolibrary.org/obo/UPHENO_0000869
http://purl.obolibrary.org/obo/GO_0007552	http://purl.obolibrary.org/obo/UPHENO_0080537
http://purl.obolibrary.org/obo/GO_0033339	http://purl.obolibrary.org/obo/UPHENO_0000745
http://purl.obolibrary.org/obo/GO_0007623	http://purl.obolibrary.org/obo/UPHENO_0000569
http://purl.obolibrary.org/obo/GO_0007507	http://purl.obolibrary.org/obo/UPHENO_0000570
http://purl.obolibrary.org/obo/GO_0051146	http://purl.obolibrary.org/obo/UPHENO_0000747
http://purl.obolibrary.org/obo/GO_0003260	http://purl.obolibrary.org/obo/UPHENO_0000573
http://purl.obolibrary.org/obo/GO_0042670	http://purl.obolibrary.org/obo/UPHENO_0000748
http://purl.obolibrary.org/obo/GO_0003261	http://purl.obolibrary.org/obo/UPHENO_0000574
http://purl.obolibrary.org/obo/GO_0042551	http://purl.obolibrary.org/obo/UPHENO_0000750
http://purl.obolibrary.org/obo/GO_0048538	http://purl.obolibrary.org/obo/UPHENO_0000576
http://purl.obolibrary.org/obo/GO_0040016	http://purl.obolibrary.org/obo/UPHENO_0000753
http://purl.obolibrary.org/obo/GO_0042438	http://purl.obolibrary.org/obo/UPHENO_0000755
http://purl.obolibrary.org/obo/GO_0030182	http://purl.obolibrary.org/obo/UPHENO_0000754
http://purl.obolibrary.org/obo/GO_0001889	http://purl.obolibrary.org/obo/UPHENO_0000756
http://purl.obolibrary.org/obo/GO_0001525	http://purl.obolibrary.org/obo/UPHENO_0000757
http://purl.obolibrary.org/obo/GO_0001649	http://purl.obolibrary.org/obo/UPHENO_0000759
http://purl.obolibrary.org/obo/GO_0018991	http://purl.obolibrary.org/obo/UPHENO_0088445
http://purl.obolibrary.org/obo/GO_0033336	http://purl.obolibrary.org/obo/UPHENO_0000760
http://purl.obolibrary.org/obo/GO_0048883	http://purl.obolibrary.org/obo/UPHENO_0000584
http://purl.obolibrary.org/obo/GO_0001755	http://purl.obolibrary.org/obo/UPHENO_0000763
http://purl.obolibrary.org/obo/GO_0001754	http://purl.obolibrary.org/obo/UPHENO_0000764
http://purl.obolibrary.org/obo/GO_0048885	http://purl.obolibrary.org/obo/UPHENO_0000585
http://purl.obolibrary.org/obo/GO_0048644	http://purl.obolibrary.org/obo/UPHENO_0000587
http://purl.obolibrary.org/obo/GO_0048882	http://purl.obolibrary.org/obo/UPHENO_0000588
http://purl.obolibrary.org/obo/GO_0002040	http://purl.obolibrary.org/obo/UPHENO_0000589
http://purl.obolibrary.org/obo/GO_0007296	http://purl.obolibrary.org/obo/UPHENO_0000765
http://purl.obolibrary.org/obo/GO_0019953	http://purl.obolibrary.org/obo/UPHENO_0083040
http://purl.obolibrary.org/obo/GO_0071542	http://purl.obolibrary.org/obo/UPHENO_0000593
http://purl.obolibrary.org/obo/GO_0001756	http://purl.obolibrary.org/obo/UPHENO_0000769
http://purl.obolibrary.org/obo/GO_0014020	http://purl.obolibrary.org/obo/UPHENO_0085709
http://purl.obolibrary.org/obo/GO_0001541	http://purl.obolibrary.org/obo/UPHENO_0000770
http://purl.obolibrary.org/obo/GO_0048752	http://purl.obolibrary.org/obo/UPHENO_0088446
http://purl.obolibrary.org/obo/GO_0007528	http://purl.obolibrary.org/obo/UPHENO_0000599
http://purl.obolibrary.org/obo/GO_0050957	http://purl.obolibrary.org/obo/UPHENO_0000603
http://purl.obolibrary.org/obo/GO_0048514	http://purl.obolibrary.org/obo/UPHENO_0000604
http://purl.obolibrary.org/obo/GO_0016477	http://purl.obolibrary.org/obo/UPHENO_0000606
http://purl.obolibrary.org/obo/GO_0035775	http://purl.obolibrary.org/obo/UPHENO_0000773
http://purl.obolibrary.org/obo/GO_0031290	http://purl.obolibrary.org/obo/UPHENO_0000775
http://purl.obolibrary.org/obo/GO_0071872	http://purl.obolibrary.org/obo/UPHENO_0000608
http://purl.obolibrary.org/obo/GO_1990110	http://purl.obolibrary.org/obo/UPHENO_0083042
http://purl.obolibrary.org/obo/GO_0001654	http://purl.obolibrary.org/obo/UPHENO_0000777
http://purl.obolibrary.org/obo/GO_0007519	http://purl.obolibrary.org/obo/UPHENO_0000613
http://purl.obolibrary.org/obo/GO_0048066	http://purl.obolibrary.org/obo/UPHENO_0000780
http://purl.obolibrary.org/obo/GO_0045475	http://purl.obolibrary.org/obo/UPHENO_0000615
http://purl.obolibrary.org/obo/GO_0002062	http://purl.obolibrary.org/obo/UPHENO_0000616
http://purl.obolibrary.org/obo/GO_0048069	http://purl.obolibrary.org/obo/UPHENO_0000781
http://purl.obolibrary.org/obo/GO_0060876	http://purl.obolibrary.org/obo/UPHENO_0000619
http://purl.obolibrary.org/obo/GO_1903232	http://purl.obolibrary.org/obo/UPHENO_0000784
http://purl.obolibrary.org/obo/GO_0060872	http://purl.obolibrary.org/obo/UPHENO_0000620
http://purl.obolibrary.org/obo/GO_0030097	http://purl.obolibrary.org/obo/UPHENO_0000787
http://purl.obolibrary.org/obo/GO_0060879	http://purl.obolibrary.org/obo/UPHENO_0085710
http://purl.obolibrary.org/obo/GO_0021554	http://purl.obolibrary.org/obo/UPHENO_0000792
http://purl.obolibrary.org/obo/GO_0001843	http://purl.obolibrary.org/obo/UPHENO_0000794
http://purl.obolibrary.org/obo/GO_0001964	http://purl.obolibrary.org/obo/UPHENO_0000795
http://purl.obolibrary.org/obo/GO_0042471	http://purl.obolibrary.org/obo/UPHENO_0000797
http://purl.obolibrary.org/obo/GO_0048699	http://purl.obolibrary.org/obo/UPHENO_0000624
http://purl.obolibrary.org/obo/GO_0042472	http://purl.obolibrary.org/obo/UPHENO_0000799
