chemical_entity	defined_class
http://purl.obolibrary.org/obo/CHEBI_26125	http://purl.obolibrary.org/obo/UPHENO_0048691
http://purl.obolibrary.org/obo/CHEBI_24741	http://purl.obolibrary.org/obo/UPHENO_0048692
http://purl.obolibrary.org/obo/CHEBI_16919	http://purl.obolibrary.org/obo/UPHENO_0048693
http://purl.obolibrary.org/obo/CHEBI_28300	http://purl.obolibrary.org/obo/UPHENO_0048694
http://purl.obolibrary.org/obo/PR_000007785	http://purl.obolibrary.org/obo/UPHENO_0048695
http://purl.obolibrary.org/obo/CHEBI_15428	http://purl.obolibrary.org/obo/UPHENO_0048696
http://purl.obolibrary.org/obo/CHEBI_16958	http://purl.obolibrary.org/obo/UPHENO_0048697
http://purl.obolibrary.org/obo/CHEBI_18132	http://purl.obolibrary.org/obo/UPHENO_0084749
http://purl.obolibrary.org/obo/CHEBI_16393	http://purl.obolibrary.org/obo/UPHENO_0048698
http://purl.obolibrary.org/obo/CHEBI_26607	http://purl.obolibrary.org/obo/UPHENO_0048699
http://purl.obolibrary.org/obo/CHEBI_8337	http://purl.obolibrary.org/obo/UPHENO_0048700
http://purl.obolibrary.org/obo/CHEBI_30660	http://purl.obolibrary.org/obo/UPHENO_0048701
http://purl.obolibrary.org/obo/CHEBI_18059	http://purl.obolibrary.org/obo/UPHENO_0048763
http://purl.obolibrary.org/obo/CHEBI_18257	http://purl.obolibrary.org/obo/UPHENO_0048702
http://purl.obolibrary.org/obo/CHEBI_17761	http://purl.obolibrary.org/obo/UPHENO_0048703
http://purl.obolibrary.org/obo/CHEBI_30860	http://purl.obolibrary.org/obo/UPHENO_0048704
http://purl.obolibrary.org/obo/CHEBI_16113	http://purl.obolibrary.org/obo/UPHENO_0048705
http://purl.obolibrary.org/obo/CHEBI_18258	http://purl.obolibrary.org/obo/UPHENO_0048706
http://purl.obolibrary.org/obo/CHEBI_24431	http://purl.obolibrary.org/obo/UPHENO_0048707
http://purl.obolibrary.org/obo/CHEBI_18295	http://purl.obolibrary.org/obo/UPHENO_0048708
http://purl.obolibrary.org/obo/CHEBI_28790	http://purl.obolibrary.org/obo/UPHENO_0048709
http://purl.obolibrary.org/obo/CHEBI_26333	http://purl.obolibrary.org/obo/UPHENO_0048710
http://purl.obolibrary.org/obo/CHEBI_27300	http://purl.obolibrary.org/obo/UPHENO_0048711
http://purl.obolibrary.org/obo/CHEBI_27266	http://purl.obolibrary.org/obo/UPHENO_0048712
http://purl.obolibrary.org/obo/CHEBI_17755	http://purl.obolibrary.org/obo/UPHENO_0048713
http://purl.obolibrary.org/obo/CHEBI_17754	http://purl.obolibrary.org/obo/UPHENO_0048714
http://purl.obolibrary.org/obo/PR_000000046	http://purl.obolibrary.org/obo/UPHENO_0048715
http://purl.obolibrary.org/obo/CHEBI_16865	http://purl.obolibrary.org/obo/UPHENO_0048716
http://purl.obolibrary.org/obo/CHEBI_35366	http://purl.obolibrary.org/obo/UPHENO_0048717
http://purl.obolibrary.org/obo/CHEBI_3892	http://purl.obolibrary.org/obo/UPHENO_0048718
http://purl.obolibrary.org/obo/CHEBI_18243	http://purl.obolibrary.org/obo/UPHENO_0048719
http://purl.obolibrary.org/obo/CHEBI_25805	http://purl.obolibrary.org/obo/UPHENO_0048720
http://purl.obolibrary.org/obo/CHEBI_15891	http://purl.obolibrary.org/obo/UPHENO_0048721
http://purl.obolibrary.org/obo/PR_000002107	http://purl.obolibrary.org/obo/UPHENO_0084403
http://purl.obolibrary.org/obo/CHEBI_26986	http://purl.obolibrary.org/obo/UPHENO_0048722
http://purl.obolibrary.org/obo/PR_000003809	http://purl.obolibrary.org/obo/UPHENO_0048751
http://purl.obolibrary.org/obo/CHEBI_22860	http://purl.obolibrary.org/obo/UPHENO_0084750
http://purl.obolibrary.org/obo/CHEBI_25017	http://purl.obolibrary.org/obo/UPHENO_0048723
http://purl.obolibrary.org/obo/CHEBI_28044	http://purl.obolibrary.org/obo/UPHENO_0048724
http://purl.obolibrary.org/obo/CHEBI_28087	http://purl.obolibrary.org/obo/UPHENO_0048725
http://purl.obolibrary.org/obo/CHEBI_29016	http://purl.obolibrary.org/obo/UPHENO_0048726
http://purl.obolibrary.org/obo/CHEBI_25094	http://purl.obolibrary.org/obo/UPHENO_0048727
http://purl.obolibrary.org/obo/CHEBI_16336	http://purl.obolibrary.org/obo/UPHENO_0089355
