anatomical_entity	defined_class
http://purl.obolibrary.org/obo/CL_0000681	http://purl.obolibrary.org/obo/UPHENO_0085416
http://purl.obolibrary.org/obo/CL_0002066	http://purl.obolibrary.org/obo/UPHENO_0085417
http://purl.obolibrary.org/obo/CL_0000561	http://purl.obolibrary.org/obo/UPHENO_0085418
http://purl.obolibrary.org/obo/CL_0000202	http://purl.obolibrary.org/obo/UPHENO_0085422
http://purl.obolibrary.org/obo/UBERON_0003655	http://purl.obolibrary.org/obo/UPHENO_0014231
http://purl.obolibrary.org/obo/CL_0002063	http://purl.obolibrary.org/obo/UPHENO_0085425
http://purl.obolibrary.org/obo/CL_0002064	http://purl.obolibrary.org/obo/UPHENO_0085426
http://purl.obolibrary.org/obo/UBERON_0001348	http://purl.obolibrary.org/obo/UPHENO_0014236
http://purl.obolibrary.org/obo/CL_0000451	http://purl.obolibrary.org/obo/UPHENO_0085434
http://purl.obolibrary.org/obo/CL_0000573	http://purl.obolibrary.org/obo/UPHENO_0085435
http://purl.obolibrary.org/obo/CL_0000453	http://purl.obolibrary.org/obo/UPHENO_0085436
http://purl.obolibrary.org/obo/CL_0000696	http://purl.obolibrary.org/obo/UPHENO_0085439
http://purl.obolibrary.org/obo/CL_0000576	http://purl.obolibrary.org/obo/UPHENO_0085440
http://purl.obolibrary.org/obo/CL_0002633	http://purl.obolibrary.org/obo/UPHENO_0085441
http://purl.obolibrary.org/obo/UBERON_0001347	http://purl.obolibrary.org/obo/UPHENO_0014248
http://purl.obolibrary.org/obo/CL_0000216	http://purl.obolibrary.org/obo/UPHENO_0085444
http://purl.obolibrary.org/obo/CL_0002638	http://purl.obolibrary.org/obo/UPHENO_0085445
http://purl.obolibrary.org/obo/CL_0002166	http://purl.obolibrary.org/obo/UPHENO_0085447
http://purl.obolibrary.org/obo/CL_0002046	http://purl.obolibrary.org/obo/UPHENO_0085448
http://purl.obolibrary.org/obo/CL_0000782	http://purl.obolibrary.org/obo/UPHENO_0085449
http://purl.obolibrary.org/obo/CL_0002048	http://purl.obolibrary.org/obo/UPHENO_0085450
http://purl.obolibrary.org/obo/CL_0000542	http://purl.obolibrary.org/obo/UPHENO_0085451
http://purl.obolibrary.org/obo/CL_0000784	http://purl.obolibrary.org/obo/UPHENO_0085452
