anatomical_entity	defined_class
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0082498
http://purl.obolibrary.org/obo/UBERON_0000160	http://purl.obolibrary.org/obo/UPHENO_0082499
http://purl.obolibrary.org/obo/UBERON_0002240	http://purl.obolibrary.org/obo/UPHENO_0082500
http://purl.obolibrary.org/obo/UBERON_0001074	http://purl.obolibrary.org/obo/UPHENO_0082501
http://purl.obolibrary.org/obo/UBERON_0002072	http://purl.obolibrary.org/obo/UPHENO_0082502
http://purl.obolibrary.org/obo/UBERON_0035619	http://purl.obolibrary.org/obo/UPHENO_0082503
http://purl.obolibrary.org/obo/UBERON_0000982	http://purl.obolibrary.org/obo/UPHENO_0082505
http://purl.obolibrary.org/obo/UBERON_0002048	http://purl.obolibrary.org/obo/UPHENO_0082506
http://purl.obolibrary.org/obo/UBERON_0000014	http://purl.obolibrary.org/obo/UPHENO_0082507
http://purl.obolibrary.org/obo/UBERON_0000026	http://purl.obolibrary.org/obo/UPHENO_0082508
http://purl.obolibrary.org/obo/UBERON_0002299	http://purl.obolibrary.org/obo/UPHENO_0082509
http://purl.obolibrary.org/obo/UBERON_0001811	http://purl.obolibrary.org/obo/UPHENO_0082510
http://purl.obolibrary.org/obo/UBERON_0000941	http://purl.obolibrary.org/obo/UPHENO_0082511
http://purl.obolibrary.org/obo/UBERON_0001711	http://purl.obolibrary.org/obo/UPHENO_0082512
http://purl.obolibrary.org/obo/UBERON_0000955	http://purl.obolibrary.org/obo/UPHENO_0082513
http://purl.obolibrary.org/obo/UBERON_0000922	http://purl.obolibrary.org/obo/UPHENO_0082514
http://purl.obolibrary.org/obo/UBERON_0004090	http://purl.obolibrary.org/obo/UPHENO_0082515
http://purl.obolibrary.org/obo/UBERON_0012477	http://purl.obolibrary.org/obo/UPHENO_0082516
http://purl.obolibrary.org/obo/UBERON_0006761	http://purl.obolibrary.org/obo/UPHENO_0082517
http://purl.obolibrary.org/obo/UBERON_0001042	http://purl.obolibrary.org/obo/UPHENO_0082518
http://purl.obolibrary.org/obo/UBERON_0008878	http://purl.obolibrary.org/obo/UPHENO_0082519
http://purl.obolibrary.org/obo/UBERON_0010708	http://purl.obolibrary.org/obo/UPHENO_0082520
http://purl.obolibrary.org/obo/UBERON_0001630	http://purl.obolibrary.org/obo/UPHENO_0082521
http://purl.obolibrary.org/obo/UBERON_0001456	http://purl.obolibrary.org/obo/UPHENO_0082522
http://purl.obolibrary.org/obo/UBERON_0006558	http://purl.obolibrary.org/obo/UPHENO_0082523
http://purl.obolibrary.org/obo/UBERON_0002402	http://purl.obolibrary.org/obo/UPHENO_0082524
http://purl.obolibrary.org/obo/UBERON_0000053	http://purl.obolibrary.org/obo/UPHENO_0082525
http://purl.obolibrary.org/obo/UBERON_0002420	http://purl.obolibrary.org/obo/UPHENO_0082526
http://purl.obolibrary.org/obo/UBERON_0000978	http://purl.obolibrary.org/obo/UPHENO_0082527
http://purl.obolibrary.org/obo/UBERON_0001737	http://purl.obolibrary.org/obo/UPHENO_0082528
http://purl.obolibrary.org/obo/UBERON_0001723	http://purl.obolibrary.org/obo/UPHENO_0082529
http://purl.obolibrary.org/obo/UBERON_0001712	http://purl.obolibrary.org/obo/UPHENO_0082530
http://purl.obolibrary.org/obo/UBERON_0001777	http://purl.obolibrary.org/obo/UPHENO_0082531
http://purl.obolibrary.org/obo/UBERON_0001713	http://purl.obolibrary.org/obo/UPHENO_0082532
http://purl.obolibrary.org/obo/UBERON_0002224	http://purl.obolibrary.org/obo/UPHENO_0082504
