anatomical_entity	defined_class
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0086116
http://purl.obolibrary.org/obo/UBERON_0000160	http://purl.obolibrary.org/obo/UPHENO_0086117
http://purl.obolibrary.org/obo/UBERON_0002107	http://purl.obolibrary.org/obo/UPHENO_0086118
http://purl.obolibrary.org/obo/UBERON_0000998	http://purl.obolibrary.org/obo/UPHENO_0086119
http://purl.obolibrary.org/obo/UBERON_0001103	http://purl.obolibrary.org/obo/UPHENO_0086120
http://purl.obolibrary.org/obo/UBERON_0002331	http://purl.obolibrary.org/obo/UPHENO_0086121
http://purl.obolibrary.org/obo/UBERON_0003697	http://purl.obolibrary.org/obo/UPHENO_0086122
http://purl.obolibrary.org/obo/UBERON_0017672	http://purl.obolibrary.org/obo/UPHENO_0086123
http://purl.obolibrary.org/obo/UBERON_0000996	http://purl.obolibrary.org/obo/UPHENO_0086124
http://purl.obolibrary.org/obo/UBERON_0002242	http://purl.obolibrary.org/obo/UPHENO_0086125
